val_specificity,val_auroc,val_accuracy,step,val_precision,val_sensitivity,epoch,val_loss,unlabeled_data_utilization,train_loss,test_precision,test_auroc,test_sensitivity,test_specificity,test_accuracy
1.0,0.5,0.557894766330719,26,0.0,0.0,0,0.6178576946258545,,,,,,,
,,,26,,,0,,0.0016787927597761154,0.638599693775177,,,,,
0.9811320900917053,0.5381851196289062,0.5894736647605896,53,0.800000011920929,0.095238097012043,1,1.1524953842163086,,,,,,,
,,,53,,,1,,0.002758959773927927,0.6231035590171814,,,,,
0.9245282411575317,0.5098831653594971,0.557894766330719,80,0.5,0.095238097012043,2,2.845017194747925,,,,,,,
,,,80,,,2,,0.003424782073125243,0.618664026260376,,,,,
0.9433962106704712,0.6026504635810852,0.6421052813529968,107,0.7857142686843872,0.261904776096344,3,1.0570380687713623,,,,,,,
,,,107,,,3,,0.00775109650567174,0.5978400707244873,,,,,
0.849056601524353,0.6626235246658325,0.6842105388641357,134,0.7142857313156128,0.4761904776096344,4,1.2707486152648926,,,,,,,
,,,134,,,4,,0.00694856233894825,0.5810499787330627,,,,,
0.8867924809455872,0.6695866584777832,0.6947368383407593,161,0.7599999904632568,0.4523809850215912,5,1.60529363155365,,,,,,,
,,,161,,,5,,0.012833514250814915,0.5580457448959351,,,,,
0.9433962106704712,0.6502695679664612,0.6842105388641357,188,0.8333333134651184,0.3571428656578064,6,1.492463231086731,,,,,,,
,,,188,,,6,,0.009893778711557388,0.5529919266700745,,,,,
0.8679245114326477,0.6958670616149902,0.7157894968986511,215,0.7586206793785095,0.523809552192688,7,1.048571228981018,,,,,,,
,,,215,,,7,,0.014825337566435337,0.5417521595954895,,,,,
0.8679245114326477,0.7315813302993774,0.7473683953285217,242,0.78125,0.5952380895614624,8,1.0269644260406494,,,,,,,
,,,242,,,8,,0.019505342468619347,0.519836962223053,,,,,
0.8867924809455872,0.7410151958465576,0.75789475440979,269,0.806451678276062,0.5952380895614624,9,1.744464635848999,,,,,,,
,,,269,,,9,,0.021716047078371048,0.5267420411109924,,,,,
0.8867924809455872,0.7410151958465576,0.75789475440979,296,0.806451678276062,0.5952380895614624,10,0.940254271030426,,,,,,,
,,,296,,,10,,0.04503675177693367,0.5279449224472046,,,,,
0.8867924809455872,0.7648246884346008,0.7789473533630371,323,0.8181818127632141,0.6428571343421936,11,0.7277700901031494,,,,,,,
,,,323,,,11,,0.04666559770703316,0.5111500024795532,,,,,
0.9433962106704712,0.7336028814315796,0.75789475440979,350,0.8799999952316284,0.523809552192688,12,0.6742159128189087,,,,,,,
,,,350,,,12,,0.058015309274196625,0.5004732012748718,,,,,
0.9245282411575317,0.7241688966751099,0.7473683953285217,377,0.8461537957191467,0.523809552192688,13,1.5279364585876465,,,,,,,
,,,377,,,13,,0.06018539145588875,0.5031765699386597,,,,,
0.9433962106704712,0.8050314784049988,0.821052610874176,404,0.9032257795333862,0.6666666865348816,14,0.8521681427955627,,,,,,,
,,,404,,,14,,0.0674714744091034,0.5082553029060364,,,,,
0.8679245114326477,0.7315813302993774,0.7473683953285217,431,0.78125,0.5952380895614624,15,1.138265609741211,,,,,,,
,,,431,,,15,,0.08785384893417358,0.47958484292030334,,,,,
0.9622642397880554,0.7668463587760925,0.7894737124443054,458,0.9230769276618958,0.5714285969734192,16,0.7224905490875244,,,,,,,
,,,458,,,16,,0.09127341955900192,0.5237354040145874,,,,,
0.9622642397880554,0.7906559109687805,0.8105263113975525,485,0.9285714626312256,0.6190476417541504,17,1.1514389514923096,,,,,,,
,,,485,,,17,,0.07624994963407516,0.4828803539276123,,,,,
0.9622642397880554,0.7549417018890381,0.7789473533630371,512,0.9200000166893005,0.5476190447807312,18,0.6930569410324097,,,,,,,
,,,512,,,18,,0.09358826279640198,0.4957481622695923,,,,,
0.9245282411575317,0.7598832249641418,0.7789473533630371,539,0.8620689511299133,0.5952380895614624,19,0.5615118145942688,,,,,,,
,,,539,,,19,,0.10529206693172455,0.47475066781044006,,,,,
0.9433962106704712,0.7693171501159668,0.7894737124443054,566,0.8928571343421936,0.5952380895614624,20,0.6461972594261169,,,,,,,
,,,566,,,20,,0.12397198379039764,0.4911036491394043,,,,,
0.9433962106704712,0.7455076575279236,0.7684210538864136,593,0.8846153616905212,0.5476190447807312,21,0.5252111554145813,,,,,,,
,,,593,,,21,,0.11958400160074234,0.48237696290016174,,,,,
0.9622642397880554,0.7787511944770813,0.800000011920929,620,0.9259259104728699,0.5952380895614624,22,1.3944664001464844,,,,,,,
,,,620,,,22,,0.12487424910068512,0.4615483582019806,,,,,
0.9622642397880554,0.7906559109687805,0.8105263113975525,647,0.9285714626312256,0.6190476417541504,23,0.905977725982666,,,,,,,
,,,647,,,23,,0.13118040561676025,0.5029853582382202,,,,,
0.9245282411575317,0.7717880010604858,0.7894737124443054,674,0.8666666746139526,0.6190476417541504,24,1.2877360582351685,,,,,,,
,,,674,,,24,,0.13633543252944946,0.47140970826148987,,,,,
0.9433962106704712,0.8407456874847412,0.8526315689086914,701,0.9117646813392639,0.738095223903656,25,0.39757731556892395,,,,,,,
,,,701,,,25,,0.14591483771800995,0.4830983579158783,,,,,
0.9245282411575317,0.795597493648529,0.8105263113975525,728,0.875,0.6666666865348816,26,0.7944101691246033,,,,,,,
,,,728,,,26,,0.14493879675865173,0.4811193346977234,,,,,
0.9433962106704712,0.8407456874847412,0.8526315689086914,755,0.9117646813392639,0.738095223903656,27,0.520458459854126,,,,,,,
,,,755,,,27,,0.1414106786251068,0.4530547559261322,,,,,
0.9245282411575317,0.7836927175521851,0.800000011920929,782,0.8709677457809448,0.6428571343421936,28,0.7290935516357422,,,,,,,
