step,val_sensitivity,val_specificity,val_auroc,val_precision,val_accuracy,val_loss,epoch,unlabeled_data_utilization,train_loss,test_specificity,test_auroc,test_accuracy,test_sensitivity,test_precision
26,1.0,0.0,0.5,0.4421052634716034,0.4421052634716034,0.6212248802185059,0,,,,,,,
26,,,,,,,0,0.0,0.635025680065155,,,,,
53,0.1190476194024086,0.8301886916160583,0.47461816668510437,0.3571428656578064,0.5157894492149353,0.8195449113845825,1,,,,,,,
53,,,,,,,1,0.0,0.6253002882003784,,,,,
80,0.1666666716337204,0.9245282411575317,0.5455974340438843,0.6363636255264282,0.5894736647605896,2.3111891746520996,2,,,,,,,
80,,,,,,,2,0.0,0.6196438670158386,,,,,
107,0.380952388048172,0.9056603908538818,0.6433063745498657,0.761904776096344,0.6736842393875122,0.8866562843322754,3,,,,,,,
107,,,,,,,3,0.0,0.610306441783905,,,,,
134,0.3571428656578064,0.8867924809455872,0.6219676733016968,0.7142857313156128,0.6526315808296204,0.991331934928894,4,,,,,,,
134,,,,,,,4,0.0,0.6102278828620911,,,,,
161,0.5476190447807312,0.8867924809455872,0.7172057032585144,0.7931034564971924,0.7368420958518982,1.1421092748641968,5,,,,,,,
161,,,,,,,5,0.0,0.5877295732498169,,,,,
188,0.6666666865348816,0.8301886916160583,0.7484278082847595,0.7567567229270935,0.75789475440979,1.1339106559753418,6,,,,,,,
188,,,,,,,6,0.0,0.5558592677116394,,,,,
215,0.6666666865348816,0.8113208413124084,0.738993763923645,0.7368420958518982,0.7473683953285217,1.4926820993423462,7,,,,,,,
215,,,,,,,7,0.0,0.5643621683120728,,,,,
242,0.5714285969734192,0.849056601524353,0.7102425694465637,0.75,0.7263157963752747,1.2749216556549072,8,,,,,,,
242,,,,,,,8,0.0,0.5264207124710083,,,,,
269,0.5952380895614624,0.8301886916160583,0.712713360786438,0.7352941632270813,0.7263157963752747,0.8539912700653076,9,,,,,,,
269,,,,,,,9,0.0,0.537030041217804,,,,,
296,0.5714285969734192,0.9056603908538818,0.7385445237159729,0.8275862336158752,0.75789475440979,0.5599894523620605,10,,,,,,,
296,,,,,,,10,0.0,0.5208276510238647,,,,,
323,0.6190476417541504,0.8867924809455872,0.7529200315475464,0.8125,0.7684210538864136,0.5458371639251709,11,,,,,,,
323,,,,,,,11,0.0,0.5038958191871643,,,,,
350,0.6428571343421936,0.849056601524353,0.7459568381309509,0.7714285850524902,0.75789475440979,0.9776450991630554,12,,,,,,,
350,,,,,,,12,0.0,0.49573054909706116,,,,,
377,0.5952380895614624,0.8867924809455872,0.7410151958465576,0.806451678276062,0.75789475440979,0.9993930459022522,13,,,,,,,
377,,,,,,,13,0.0,0.4986698627471924,,,,,
404,0.5952380895614624,0.9245282411575317,0.7598832249641418,0.8620689511299133,0.7789473533630371,0.44198745489120483,14,,,,,,,
404,,,,,,,14,0.0,0.48355892300605774,,,,,
431,0.6428571343421936,0.9245282411575317,0.7836927175521851,0.8709677457809448,0.800000011920929,0.6822052001953125,15,,,,,,,
431,,,,,,,15,0.0,0.4543190002441406,,,,,
458,0.6666666865348816,0.8867924809455872,0.7767295241355896,0.8235294818878174,0.7894737124443054,0.6571514010429382,16,,,,,,,
458,,,,,,,16,0.0,0.4722220003604889,,,,,
485,0.6428571343421936,0.9245282411575317,0.7836927175521851,0.8709677457809448,0.800000011920929,0.5873569250106812,17,,,,,,,
485,,,,,,,17,0.0,0.464926540851593,,,,,
512,0.6666666865348816,0.8679245114326477,0.7672956585884094,0.800000011920929,0.7789473533630371,0.44750210642814636,18,,,,,,,
512,,,,,,,18,0.0,0.4707724153995514,,,,,
539,0.7142857313156128,0.849056601524353,0.7816711664199829,0.7894737124443054,0.7894737124443054,0.788185179233551,19,,,,,,,
539,,,,,,,19,0.0,0.45037612318992615,,,,,
566,0.7142857313156128,0.8867924809455872,0.8005390167236328,0.8333333134651184,0.8105263113975525,0.5216835141181946,20,,,,,,,
566,,,,,,,20,0.0,0.45164695382118225,,,,,
593,0.7142857313156128,0.8679245114326477,0.7911050915718079,0.8108107447624207,0.800000011920929,0.42827683687210083,21,,,,,,,
593,,,,,,,21,0.0,0.4406977891921997,,,,,
620,0.6190476417541504,0.8679245114326477,0.7434860467910767,0.7878788113594055,0.75789475440979,0.43367210030555725,22,,,,,,,
620,,,,,,,22,0.0,0.4436904788017273,,,,,
647,0.6428571343421936,0.8867924809455872,0.7648246884346008,0.8181818127632141,0.7789473533630371,0.6481280326843262,23,,,,,,,
647,,,,,,,23,0.0,0.42539480328559875,,,,,
674,0.6666666865348816,0.9056603908538818,0.7861635684967041,0.8484848737716675,0.800000011920929,0.5756688714027405,24,,,,,,,
674,,,,,,,24,0.0,0.43416985869407654,,,,,
701,0.6666666865348816,0.9056603908538818,0.7861635684967041,0.8484848737716675,0.800000011920929,0.47956839203834534,25,,,,,,,
701,,,,,,,25,0.0,0.42844778299331665,,,,,
728,0.6190476417541504,0.9056603908538818,0.7623540163040161,0.8387095928192139,0.7789473533630371,1.2096176147460938,26,,,,,,,
728,,,,,,,26,0.0,0.4392799139022827,,,,,
755,0.6666666865348816,0.8113208413124084,0.738993763923645,0.7368420958518982,0.7473683953285217,0.5741995573043823,27,,,,,,,
755,,,,,,,27,0.0,0.43574732542037964,,,,,
782,0.6666666865348816,0.8867924809455872,0.7767295241355896,0.8235294818878174,0.7894737124443054,0.591734766960144,28,,,,,,,
782,,,,,,,28,0.0,0.44134488701820374,,,,,
809,0.6904761791229248,0.8679245114326477,0.7792003154754639,0.8055555820465088,0.7894737124443054,0.5013651251792908,29,,,,,,,
809,,,,,,,29,0.0,0.4215683937072754,,,,,
836,0.6428571343421936,0.849056601524353,0.7459568381309509,0.7714285850524902,0.75789475440979,0.477068156003952,30,,,,,,,
836,,,,,,,30,0.0,0.43913495540618896,,,,,
863,0.6428571343421936,0.8867924809455872,0.7648246884346008,0.8181818127632141,0.7789473533630371,0.3595559895038605,31,,,,,,,
863,,,,,,,31,0.0,0.4060593247413635,,,,,
890,0.7142857313156128,0.8301886916160583,0.7722371816635132,0.7692307829856873,0.7789473533630371,0.47604164481163025,32,,,,,,,
890,,,,,,,32,0.0,0.4211049973964691,,,,,
917,0.6904761791229248,0.8867924809455872,0.7886343002319336,0.8285714387893677,0.800000011920929,0.48848211765289307,33,,,,,,,
917,,,,,,,33,0.0,0.43695175647735596,,,,,
944,0.738095223903656,0.849056601524353,0.7935759425163269,0.7948718667030334,0.800000011920929,0.7367245554924011,34,,,,,,,
944,,,,,,,34,0.0,0.4264214336872101,,,,,
971,0.6666666865348816,0.8679245114326477,0.7672956585884094,0.800000011920929,0.7789473533630371,0.7068208456039429,35,,,,,,,
971,,,,,,,35,0.0,0.4171927273273468,,,,,
998,0.738095223903656,0.8679245114326477,0.8030098080635071,0.8157894611358643,0.8105263113975525,0.442325621843338,36,,,,,,,
998,,,,,,,36,0.0,0.4118969440460205,,,,,
1025,0.7857142686843872,0.8867924809455872,0.83625328540802,0.8461537957191467,0.8421052694320679,0.37794995307922363,37,,,,,,,
1025,,,,,,,37,0.0,0.4194049835205078,,,,,
1052,0.7857142686843872,0.8679245114326477,0.8268193006515503,0.824999988079071,0.8315789699554443,0.4169400930404663,38,,,,,,,
1052,,,,,,,38,0.0,0.43228963017463684,,,,,
1079,0.738095223903656,0.8867924809455872,0.8124438524246216,0.8378377556800842,0.821052610874176,0.7371832728385925,39,,,,,,,
1079,,,,,,,39,0.0,0.40329107642173767,,,,,
1106,0.7142857313156128,0.8867924809455872,0.8005390167236328,0.8333333134651184,0.8105263113975525,0.5066424012184143,40,,,,,,,
1106,,,,,,,40,0.0,0.40014493465423584,,,,,
1133,0.738095223903656,0.9056603908538818,0.8218778371810913,0.8611111044883728,0.8315789699554443,1.2512016296386719,41,,,,,,,
1133,,,,,,,41,0.0,0.4248254895210266,,,,,
1160,0.738095223903656,0.8867924809455872,0.8124438524246216,0.8378377556800842,0.821052610874176,0.4827336072921753,42,,,,,,,
1160,,,,,,,42,0.0,0.40481799840927124,,,,,
1187,0.7142857313156128,0.8679245114326477,0.7911050915718079,0.8108107447624207,0.800000011920929,0.40681564807891846,43,,,,,,,
1187,,,,,,,43,0.0,0.41146793961524963,,,,,
1214,0.7142857313156128,0.9245282411575317,0.8194069862365723,0.8823529481887817,0.8315789699554443,0.701369047164917,44,,,,,,,
1214,,,,,,,44,0.0,0.4130920469760895,,,,,
1241,0.738095223903656,0.9245282411575317,0.831311821937561,0.8857142925262451,0.8421052694320679,0.36352720856666565,45,,,,,,,
1241,,,,,,,45,0.0,0.40185460448265076,,,,,
1268,0.7142857313156128,0.9245282411575317,0.8194069862365723,0.8823529481887817,0.8315789699554443,0.5027088522911072,46,,,,,,,
1268,,,,,,,46,0.0,0.39577943086624146,,,,,
1295,0.6190476417541504,0.9245282411575317,0.7717880010604858,0.8666666746139526,0.7894737124443054,0.4561566114425659,47,,,,,,,
1295,,,,,,,47,0.0,0.407972127199173,,,,,
1322,0.6666666865348816,0.9245282411575317,0.795597493648529,0.875,0.8105263113975525,0.5906361937522888,48,,,,,,,
1322,,,,,,,48,0.0,0.3905276358127594,,,,,
1349,0.6190476417541504,0.9245282411575317,0.7717880010604858,0.8666666746139526,0.7894737124443054,0.47576022148132324,49,,,,,,,
1349,,,,,,,49,0.0,0.4125661253929138,,,,,
1376,0.738095223903656,0.8867924809455872,0.8124438524246216,0.8378377556800842,0.821052610874176,0.4298638105392456,50,,,,,,,
1376,,,,,,,50,0.0,0.3953503668308258,,,,,
1403,0.7142857313156128,0.9056603908538818,0.8099730610847473,0.8571428656578064,0.821052610874176,0.45230990648269653,51,,,,,,,
1403,,,,,,,51,0.0,0.40208396315574646,,,,,
1430,0.6428571343421936,0.9245282411575317,0.7836927175521851,0.8709677457809448,0.800000011920929,0.4667569100856781,52,,,,,,,
1430,,,,,,,52,0.0,0.38638973236083984,,,,,
1457,0.6904761791229248,0.9056603908538818,0.7980683445930481,0.8529411554336548,0.8105263113975525,0.42345234751701355,53,,,,,,,
1457,,,,,,,53,0.0,0.3968554735183716,,,,,
1484,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.8787878751754761,0.821052610874176,0.38827258348464966,54,,,,,,,
1484,,,,,,,54,0.0,0.37995782494544983,,,,,
1511,0.738095223903656,0.9056603908538818,0.8218778371810913,0.8611111044883728,0.8315789699554443,0.4919874370098114,55,,,,,,,
1511,,,,,,,55,0.0,0.3989151418209076,,,,,
1538,0.6666666865348816,0.8867924809455872,0.7767295241355896,0.8235294818878174,0.7894737124443054,0.37072333693504333,56,,,,,,,
1538,,,,,,,56,0.0,0.4039821922779083,,,,,
1565,0.6904761791229248,0.8867924809455872,0.7886343002319336,0.8285714387893677,0.800000011920929,0.3676360547542572,57,,,,,,,
1565,,,,,,,57,0.0,0.37563419342041016,,,,,
1592,0.6904761791229248,0.8679245114326477,0.7792003154754639,0.8055555820465088,0.7894737124443054,0.375470906496048,58,,,,,,,
1592,,,,,,,58,0.0,0.3884357511997223,,,,,
1619,0.7142857313156128,0.9056603908538818,0.8099730610847473,0.8571428656578064,0.821052610874176,0.39453983306884766,59,,,,,,,
1619,,,,,,,59,0.0,0.35785040259361267,,,,,
1646,0.7142857313156128,0.9245282411575317,0.8194069862365723,0.8823529481887817,0.8315789699554443,0.3577406108379364,60,,,,,,,
1646,,,,,,,60,0.0,0.38416025042533875,,,,,
1673,0.7142857313156128,0.8679245114326477,0.7911050915718079,0.8108107447624207,0.800000011920929,0.39435192942619324,61,,,,,,,
1673,,,,,,,61,0.0,0.36910340189933777,,,,,
1700,0.6666666865348816,0.9245282411575317,0.795597493648529,0.875,0.8105263113975525,0.4207637310028076,62,,,,,,,
1700,,,,,,,62,0.0,0.36608657240867615,,,,,
1727,0.6666666865348816,0.8679245114326477,0.7672956585884094,0.800000011920929,0.7789473533630371,0.5386338233947754,63,,,,,,,
1727,,,,,,,63,0.0,0.379788339138031,,,,,
1754,0.6666666865348816,0.9056603908538818,0.7861635684967041,0.8484848737716675,0.800000011920929,0.3828786015510559,64,,,,,,,
1754,,,,,,,64,0.0,0.37469953298568726,,,,,
1781,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.8787878751754761,0.821052610874176,0.4444267153739929,65,,,,,,,
1781,,,,,,,65,0.0,0.38311967253685,,,,,
1808,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.572561502456665,66,,,,,,,
1808,,,,,,,66,0.0,0.37915724515914917,,,,,
1835,0.738095223903656,0.8867924809455872,0.8124438524246216,0.8378377556800842,0.821052610874176,0.32374703884124756,67,,,,,,,
1835,,,,,,,67,0.0,0.3686971068382263,,,,,
1862,0.761904776096344,0.8679245114326477,0.8149146437644958,0.8205127716064453,0.821052610874176,0.31753429770469666,68,,,,,,,
1862,,,,,,,68,0.0,0.3802947998046875,,,,,
1889,0.738095223903656,0.8679245114326477,0.8030098080635071,0.8157894611358643,0.8105263113975525,0.3932163119316101,69,,,,,,,
1889,,,,,,,69,0.0,0.3687421381473541,,,,,
1916,0.7857142686843872,0.8301886916160583,0.8079515099525452,0.7857142686843872,0.8105263113975525,0.33174097537994385,70,,,,,,,
1916,,,,,,,70,0.0,0.36308014392852783,,,,,
1943,0.8333333134651184,0.8867924809455872,0.860062837600708,0.8536585569381714,0.8631578683853149,0.33176878094673157,71,,,,,,,
1943,,,,,,,71,0.0,0.35456550121307373,,,,,
1970,0.8095238208770752,0.9056603908538818,0.8575921058654785,0.8717948794364929,0.8631578683853149,0.41593387722969055,72,,,,,,,
1970,,,,,,,72,0.0,0.3735211491584778,,,,,
1997,0.7857142686843872,0.9056603908538818,0.8456873297691345,0.8684210777282715,0.8526315689086914,0.5075521469116211,73,,,,,,,
1997,,,,,,,73,0.0,0.3715617060661316,,,,,
2024,0.7857142686843872,0.9056603908538818,0.8456873297691345,0.8684210777282715,0.8526315689086914,0.420423299074173,74,,,,,,,
2024,,,,,,,74,0.0,0.3685223162174225,,,,,
2051,0.761904776096344,0.9245282411575317,0.8432164788246155,0.8888888955116272,0.8526315689086914,0.4104612171649933,75,,,,,,,
2051,,,,,,,75,0.0,0.35168129205703735,,,,,
2078,0.761904776096344,0.9433962106704712,0.8526504635810852,0.9142856597900391,0.8631578683853149,0.5409684777259827,76,,,,,,,
2078,,,,,,,76,0.0,0.3647308051586151,,,,,
2105,0.738095223903656,0.9056603908538818,0.8218778371810913,0.8611111044883728,0.8315789699554443,0.3846035897731781,77,,,,,,,
2105,,,,,,,77,0.0,0.34870052337646484,,,,,
2132,0.761904776096344,0.9056603908538818,0.8337825536727905,0.8648648858070374,0.8421052694320679,0.33624202013015747,78,,,,,,,
2132,,,,,,,78,0.0,0.37410303950309753,,,,,
2159,0.738095223903656,0.9245282411575317,0.831311821937561,0.8857142925262451,0.8421052694320679,0.33468419313430786,79,,,,,,,
2159,,,,,,,79,0.0,0.35507267713546753,,,,,
2186,0.761904776096344,0.9056603908538818,0.8337825536727905,0.8648648858070374,0.8421052694320679,0.5107744932174683,80,,,,,,,
2186,,,,,,,80,0.0,0.3642773926258087,,,,,
2213,0.7857142686843872,0.9056603908538818,0.8456873297691345,0.8684210777282715,0.8526315689086914,0.39052054286003113,81,,,,,,,
2213,,,,,,,81,0.0,0.3549169898033142,,,,,
2240,0.7857142686843872,0.8679245114326477,0.8268193006515503,0.824999988079071,0.8315789699554443,0.38847142457962036,82,,,,,,,
2240,,,,,,,82,0.0,0.3394850194454193,,,,,
2267,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.3524700403213501,83,,,,,,,
2267,,,,,,,83,0.0,0.33815523982048035,,,,,
2294,0.8095238208770752,0.9056603908538818,0.8575921058654785,0.8717948794364929,0.8631578683853149,0.3922048509120941,84,,,,,,,
2294,,,,,,,84,0.0,0.3552699089050293,,,,,
2321,0.7857142686843872,0.8867924809455872,0.83625328540802,0.8461537957191467,0.8421052694320679,0.39035603404045105,85,,,,,,,
2321,,,,,,,85,0.0,0.33831092715263367,,,,,
2348,0.8095238208770752,0.9056603908538818,0.8575921058654785,0.8717948794364929,0.8631578683853149,0.2956944704055786,86,,,,,,,
2348,,,,,,,86,0.0,0.3439079523086548,,,,,
2375,0.8333333134651184,0.8867924809455872,0.860062837600708,0.8536585569381714,0.8631578683853149,0.4610978662967682,87,,,,,,,
2375,,,,,,,87,0.0,0.3333784341812134,,,,,
2402,0.8333333134651184,0.8867924809455872,0.860062837600708,0.8536585569381714,0.8631578683853149,0.3558245897293091,88,,,,,,,
2402,,,,,,,88,0.0,0.3664289712905884,,,,,
2429,0.738095223903656,0.9245282411575317,0.831311821937561,0.8857142925262451,0.8421052694320679,0.4886954724788666,89,,,,,,,
2429,,,,,,,89,0.0,0.3475971519947052,,,,,
2456,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.4604337513446808,90,,,,,,,
2456,,,,,,,90,0.0,0.34445539116859436,,,,,
2483,0.8095238208770752,0.9056603908538818,0.8575921058654785,0.8717948794364929,0.8631578683853149,0.5395374894142151,91,,,,,,,
2483,,,,,,,91,0.0,0.336139440536499,,,,,
2510,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.5505707263946533,92,,,,,,,
2510,,,,,,,92,0.0,0.34504255652427673,,,,,
2537,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.46742644906044006,93,,,,,,,
2537,,,,,,,93,0.0,0.32247817516326904,,,,,
2564,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.34321025013923645,94,,,,,,,
2564,,,,,,,94,0.0,0.3279791474342346,,,,,
2591,0.8095238208770752,0.849056601524353,0.8292902112007141,0.8095238208770752,0.8315789699554443,0.9648647308349609,95,,,,,,,
2591,,,,,,,95,0.0,0.35231882333755493,,,,,
2618,0.8095238208770752,0.8867924809455872,0.8481580018997192,0.8500000238418579,0.8526315689086914,0.428789347410202,96,,,,,,,
2618,,,,,,,96,0.0,0.330963134765625,,,,,
2645,0.7857142686843872,0.8867924809455872,0.83625328540802,0.8461537957191467,0.8421052694320679,0.31899434328079224,97,,,,,,,
2645,,,,,,,97,0.0,0.33865270018577576,,,,,
2672,0.7857142686843872,0.8867924809455872,0.83625328540802,0.8461537957191467,0.8421052694320679,0.3216528296470642,98,,,,,,,
2672,,,,,,,98,0.0,0.32487380504608154,,,,,
2699,0.8095238208770752,0.9056603908538818,0.8575921058654785,0.8717948794364929,0.8631578683853149,0.3817901909351349,99,,,,,,,
2699,,,,,,,99,0.0,0.3204193413257599,,,,,
2726,0.7857142686843872,0.8679245114326477,0.8268193006515503,0.824999988079071,0.8315789699554443,0.35812196135520935,100,,,,,,,
2726,,,,,,,100,0.0,0.35465094447135925,,,,,
2753,0.8333333134651184,0.849056601524353,0.8411949276924133,0.8139534592628479,0.8421052694320679,0.6273763179779053,101,,,,,,,
2753,,,,,,,101,0.0,0.33973488211631775,,,,,
2780,0.761904776096344,0.8867924809455872,0.824348509311676,0.8421052694320679,0.8315789699554443,0.6001368165016174,102,,,,,,,
2780,,,,,,,102,0.0,0.3382393419742584,,,,,
2807,0.7857142686843872,0.8867924809455872,0.83625328540802,0.8461537957191467,0.8421052694320679,0.31967660784721375,103,,,,,,,
2807,,,,,,,103,0.0,0.32965826988220215,,,,,
2834,0.8095238208770752,0.8679245114326477,0.8387241363525391,0.8292682766914368,0.8421052694320679,0.3367813527584076,104,,,,,,,
2834,,,,,,,104,0.0,0.32615017890930176,,,,,
2861,0.738095223903656,0.8679245114326477,0.8030098080635071,0.8157894611358643,0.8105263113975525,0.4977179169654846,105,,,,,,,
2861,,,,,,,105,0.0,0.3230212330818176,,,,,
2888,0.738095223903656,0.849056601524353,0.7935759425163269,0.7948718667030334,0.800000011920929,0.3175923824310303,106,,,,,,,
2888,,,,,,,106,0.0,0.3432915508747101,,,,,
2915,0.738095223903656,0.8867924809455872,0.8124438524246216,0.8378377556800842,0.821052610874176,0.44153258204460144,107,,,,,,,
2915,,,,,,,107,0.0,0.34700748324394226,,,,,
