val_loss,val_sensitivity,epoch,step,val_auroc,val_precision,val_specificity,val_accuracy,train_loss,unlabeled_data_utilization,test_specificity,test_sensitivity,test_auroc,test_precision,test_accuracy
0.6180318593978882,0.0,0,26,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,0,26,,,,,0.625627875328064,0.0,,,,,
0.6229369044303894,0.0,1,53,0.4811321198940277,0.0,0.9622642397880554,0.5368421077728271,,,,,,,
,,1,53,,,,,0.6249940395355225,0.0,,,,,
0.6898490786552429,0.02380952425301075,2,80,0.4930368661880493,0.3333333432674408,0.9622642397880554,0.5473684072494507,,,,,,,
,,2,80,,,,,0.6256687045097351,0.0,,,,,
0.6046743988990784,0.0,3,107,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,3,107,,,,,0.6206352710723877,0.0,,,,,
0.652802050113678,0.02380952425301075,4,134,0.4836028516292572,0.25,0.9433962106704712,0.5368421077728271,,,,,,,
,,4,134,,,,,0.6171029806137085,0.0,,,,,
0.6396245360374451,0.0,5,161,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,5,161,,,,,0.6211472749710083,0.0,,,,,
0.6375031471252441,0.0,6,188,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,6,188,,,,,0.6190475821495056,0.0,,,,,
0.6738939881324768,0.0,7,215,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,7,215,,,,,0.6217508912086487,0.0,,,,,
0.6940198540687561,0.0,8,242,0.4811321198940277,0.0,0.9622642397880554,0.5368421077728271,,,,,,,
,,8,242,,,,,0.6161426305770874,0.0,,,,,
0.6860693097114563,0.0,9,269,0.5,0.0,1.0,0.557894766330719,,,,,,,
,,9,269,,,,,0.6210641860961914,0.0,,,,,
0.7591840028762817,0.0,10,296,0.49056604504585266,0.0,0.9811320900917053,0.5473684072494507,,,,,,,
,,10,296,,,,,0.6140952706336975,0.0,,,,,
0.7398197650909424,0.0,11,323,0.49056604504585266,0.0,0.9811320900917053,0.5473684072494507,,,,,,,
,,11,323,,,,,0.6134039759635925,0.0,,,,,
0.6765978932380676,0.0,12,350,0.49056604504585266,0.0,0.9811320900917053,0.5473684072494507,,,,,,,
,,12,350,,,,,0.6149347424507141,0.0,,,,,
0.677741527557373,0.02380952425301075,13,377,0.5024707913398743,0.5,0.9811320900917053,0.557894766330719,,,,,,,
,,13,377,,,,,0.6022860407829285,0.0,,,,,
0.6229825615882874,0.0714285746216774,14,404,0.5357142686843872,1.0,1.0,0.5894736647605896,,,,,,,
,,14,404,,,,,0.5944430828094482,0.0,,,,,
0.6033062934875488,0.190476194024086,15,431,0.5763701796531677,0.800000011920929,0.9622642397880554,0.621052622795105,,,,,,,
,,15,431,,,,,0.593083381652832,0.0,,,,,
0.5680961608886719,0.4285714328289032,16,458,0.6859838366508484,0.8571428656578064,0.9433962106704712,0.7157894968986511,,,,,,,
,,16,458,,,,,0.5790837407112122,0.0,,,,,
0.9721298813819885,0.6190476417541504,17,485,0.7717880010604858,0.8666666746139526,0.9245282411575317,0.7894737124443054,,,,,,,
,,17,485,,,,,0.5469709634780884,0.0,,,,,
0.6418389678001404,0.5476190447807312,18,512,0.7360737323760986,0.8518518805503845,0.9245282411575317,0.75789475440979,,,,,,,
,,18,512,,,,,0.5336469411849976,0.0,,,,,
0.5703129172325134,0.5476190447807312,19,539,0.7266397476196289,0.8214285373687744,0.9056603908538818,0.7473683953285217,,,,,,,
,,19,539,,,,,0.5400563478469849,0.0,,,,,
0.5055841207504272,0.5714285969734192,20,566,0.7385445237159729,0.8275862336158752,0.9056603908538818,0.75789475440979,,,,,,,
,,20,566,,,,,0.518695056438446,0.0,,,,,
0.4937189519405365,0.5714285969734192,21,593,0.7385445237159729,0.8275862336158752,0.9056603908538818,0.75789475440979,,,,,,,
,,21,593,,,,,0.519370436668396,0.0,,,,,
0.48005059361457825,0.5952380895614624,22,620,0.7693171501159668,0.8928571343421936,0.9433962106704712,0.7894737124443054,,,,,,,
,,22,620,,,,,0.49566346406936646,0.0,,,,,
0.49232885241508484,0.5952380895614624,23,647,0.7693171501159668,0.8928571343421936,0.9433962106704712,0.7894737124443054,,,,,,,
,,23,647,,,,,0.49492546916007996,0.0,,,,,
0.46174243092536926,0.5714285969734192,24,674,0.7668463587760925,0.9230769276618958,0.9622642397880554,0.7894737124443054,,,,,,,
,,24,674,,,,,0.46617457270622253,0.0,,,,,
0.5078130960464478,0.6666666865348816,25,701,0.7767295241355896,0.8235294818878174,0.8867924809455872,0.7894737124443054,,,,,,,
,,25,701,,,,,0.46187838912010193,0.0,,,,,
0.45026805996894836,0.6428571343421936,26,728,0.7836927175521851,0.8709677457809448,0.9245282411575317,0.800000011920929,,,,,,,
,,26,728,,,,,0.46539533138275146,0.0,,,,,
0.5510929822921753,0.5714285969734192,27,755,0.7385445237159729,0.8275862336158752,0.9056603908538818,0.75789475440979,,,,,,,
,,27,755,,,,,0.4437951445579529,0.0,,,,,
0.43816661834716797,0.5714285969734192,28,782,0.7479784488677979,0.8571428656578064,0.9245282411575317,0.7684210538864136,,,,,,,
,,28,782,,,,,0.4569237530231476,0.0,,,,,
0.4299699366092682,0.6190476417541504,29,809,0.7717880010604858,0.8666666746139526,0.9245282411575317,0.7894737124443054,,,,,,,
,,29,809,,,,,0.4497963488101959,0.0,,,,,
0.44429129362106323,0.6666666865348816,30,836,0.7767295241355896,0.8235294818878174,0.8867924809455872,0.7894737124443054,,,,,,,
,,30,836,,,,,0.43276235461235046,0.0,,,,,
