val_loss,val_specificity,val_sensitivity,val_auroc,val_precision,val_accuracy,epoch,step,train_loss,unlabeled_data_utilization,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
0.6200270056724548,1.0,0.0,0.5,0.0,0.557894766330719,0,26,,,,,,,
,,,,,,0,26,0.63950115442276,0.0,,,,,
4.055636882781982,0.9811320900917053,0.02380952425301075,0.5024707913398743,0.5,0.557894766330719,1,53,,,,,,,
,,,,,,1,53,0.6229983568191528,0.0,,,,,
1.8663710355758667,0.9433962106704712,0.095238097012043,0.5193171501159668,0.5714285969734192,0.5684210658073425,2,80,,,,,,,
,,,,,,2,80,0.618545651435852,0.0,,,,,
1.9805164337158203,0.9811320900917053,0.261904776096344,0.6215183734893799,0.9166666865348816,0.6631578803062439,3,107,,,,,,,
,,,,,,3,107,0.6027517318725586,0.0,,,,,
2.190912961959839,0.9245282411575317,0.4285714328289032,0.6765499114990234,0.8181818127632141,0.7052631378173828,4,134,,,,,,,
,,,,,,4,134,0.5788789987564087,0.0,,,,,
0.7019163966178894,0.9811320900917053,0.4285714328289032,0.7048517465591431,0.9473684430122375,0.7368420958518982,5,161,,,,,,,
,,,,,,5,161,0.5430303812026978,0.0,,,,,
1.7924188375473022,0.9622642397880554,0.4047619104385376,0.6835130453109741,0.8947368264198303,0.7157894968986511,6,188,,,,,,,
,,,,,,6,188,0.520115077495575,0.0,,,,,
1.596599817276001,0.8867924809455872,0.5714285969734192,0.7291104793548584,0.800000011920929,0.7473683953285217,7,215,,,,,,,
,,,,,,7,215,0.5071782469749451,0.0,,,,,
1.180677890777588,0.9245282411575317,0.523809552192688,0.7241688966751099,0.8461537957191467,0.7473683953285217,8,242,,,,,,,
,,,,,,8,242,0.4909217357635498,0.0,,,,,
1.082465410232544,0.9433962106704712,0.4523809850215912,0.6978886127471924,0.8636363744735718,0.7263157963752747,9,269,,,,,,,
,,,,,,9,269,0.4824755787849426,0.0,,,,,
1.170434832572937,0.9622642397880554,0.5476190447807312,0.7549417018890381,0.9200000166893005,0.7789473533630371,10,296,,,,,,,
,,,,,,10,296,0.49386805295944214,0.0,,,,,
1.6599441766738892,0.9622642397880554,0.6190476417541504,0.7906559109687805,0.9285714626312256,0.8105263113975525,11,323,,,,,,,
,,,,,,11,323,0.46426472067832947,0.0,,,,,
1.0760939121246338,0.9433962106704712,0.4761904776096344,0.7097933292388916,0.8695652484893799,0.7368420958518982,12,350,,,,,,,
,,,,,,12,350,0.460653156042099,0.0,,,,,
1.2560818195343018,0.9622642397880554,0.4523809850215912,0.7073225378990173,0.9047619700431824,0.7368420958518982,13,377,,,,,,,
,,,,,,13,377,0.4604262709617615,0.0,,,,,
1.255776047706604,0.9622642397880554,0.4761904776096344,0.7192272543907166,0.9090909361839294,0.7473683953285217,14,404,,,,,,,
,,,,,,14,404,0.43850862979888916,0.0,,,,,
