val_precision,epoch,val_sensitivity,val_auroc,val_accuracy,step,val_specificity,val_loss,train_loss,unlabeled_data_utilization,test_sensitivity,test_precision,test_auroc,test_accuracy,test_specificity
0.3636363744735718,0,0.095238097012043,0.48158133029937744,0.5263158082962036,34,0.8679245114326477,0.7606847882270813,,,,,,,
,0,,,,34,,,0.6526421904563904,0.024731289595365524,,,,,
0.5333333611488342,1,0.190476194024086,0.5292003154754639,0.5684210658073425,69,0.8679245114326477,0.5901626944541931,,,,,,,
,1,,,,69,,,0.6230506300926208,0.0200776569545269,,,,,
0.7777778506278992,2,0.3333333432674408,0.6289308071136475,0.6631578803062439,104,0.9245282411575317,0.6289936304092407,,,,,,,
,2,,,,104,,,0.6171352863311768,0.025632398203015327,,,,,
0.6666666865348816,3,0.3333333432674408,0.6006289720535278,0.6315789222717285,139,0.8679245114326477,0.6272403001785278,,,,,,,
,3,,,,139,,,0.6039754152297974,0.025188209488987923,,,,,
0.7407407164573669,4,0.4761904776096344,0.6720574498176575,0.6947368383407593,174,0.8679245114326477,0.6188066601753235,,,,,,,
,4,,,,174,,,0.5781747698783875,0.028961986303329468,,,,,
0.8235294818878174,5,0.6666666865348816,0.7767295241355896,0.7894737124443054,209,0.8867924809455872,0.6007242798805237,,,,,,,
,5,,,,209,,,0.5498934388160706,0.0322929248213768,,,,,
0.8571428656578064,6,0.7142857313156128,0.8099730610847473,0.821052610874176,244,0.9056603908538818,0.5443513989448547,,,,,,,
,6,,,,244,,,0.5249096155166626,0.06627422571182251,,,,,
0.8285714387893677,7,0.6904761791229248,0.7886343002319336,0.800000011920929,279,0.8867924809455872,0.5216040015220642,,,,,,,
,7,,,,279,,,0.5303758382797241,0.12021727114915848,,,,,
0.8787878751754761,8,0.6904761791229248,0.8075022101402283,0.821052610874176,314,0.9245282411575317,0.5199904441833496,,,,,,,
,8,,,,314,,,0.5370725393295288,0.15579146146774292,,,,,
0.8571428656578064,9,0.7142857313156128,0.8099730610847473,0.821052610874176,349,0.9056603908538818,0.46799010038375854,,,,,,,
,9,,,,349,,,0.5051103234291077,0.20199820399284363,,,,,
0.800000011920929,10,0.761904776096344,0.8054806590080261,0.8105263113975525,384,0.849056601524353,0.4786645472049713,,,,,,,
,10,,,,384,,,0.5226379036903381,0.2752237021923065,,,,,
0.8421052694320679,11,0.761904776096344,0.824348509311676,0.8315789699554443,419,0.8867924809455872,0.4552781879901886,,,,,,,
,11,,,,419,,,0.5544551014900208,0.2931070625782013,,,,,
0.8571428656578064,12,0.7142857313156128,0.8099730610847473,0.821052610874176,454,0.9056603908538818,0.46313726902008057,,,,,,,
,12,,,,454,,,0.4945257306098938,0.3146396279335022,,,,,
0.8823529481887817,13,0.7142857313156128,0.8194069862365723,0.8315789699554443,489,0.9245282411575317,0.4962162971496582,,,,,,,
,13,,,,489,,,0.538043200969696,0.36768409609794617,,,,,
0.8823529481887817,14,0.7142857313156128,0.8194069862365723,0.8315789699554443,524,0.9245282411575317,0.508063018321991,,,,,,,
,14,,,,524,,,0.5264090895652771,0.39956942200660706,,,,,
0.939393937587738,15,0.738095223903656,0.8501797318458557,0.8631578683853149,559,0.9622642397880554,0.4700634479522705,,,,,,,
,15,,,,559,,,0.5076739192008972,0.3891587257385254,,,,,
0.8823529481887817,16,0.7142857313156128,0.8194069862365723,0.8315789699554443,594,0.9245282411575317,0.4219599962234497,,,,,,,
,16,,,,594,,,0.5131702423095703,0.42205724120140076,,,,,
0.8823529481887817,17,0.7142857313156128,0.8194069862365723,0.8315789699554443,629,0.9245282411575317,0.5029714107513428,,,,,,,
,17,,,,629,,,0.5118194818496704,0.43364349007606506,,,,,
0.8823529481887817,18,0.7142857313156128,0.8194069862365723,0.8315789699554443,664,0.9245282411575317,0.4673231542110443,,,,,,,
,18,,,,664,,,0.5121678113937378,0.44954714179039,,,,,
0.9090909361839294,19,0.7142857313156128,0.828840970993042,0.8421052694320679,699,0.9433962106704712,0.4753580093383789,,,,,,,
,19,,,,699,,,0.536946713924408,0.46570271253585815,,,,,
0.9117646813392639,20,0.738095223903656,0.8407456874847412,0.8526315689086914,734,0.9433962106704712,0.4410364329814911,,,,,,,
,20,,,,734,,,0.5124124884605408,0.4589557647705078,,,,,
0.8857142925262451,21,0.738095223903656,0.831311821937561,0.8421052694320679,769,0.9245282411575317,0.48599037528038025,,,,,,,
,21,,,,769,,,0.4991443157196045,0.4742986261844635,,,,,
0.8611111044883728,22,0.738095223903656,0.8218778371810913,0.8315789699554443,804,0.9056603908538818,0.46221214532852173,,,,,,,
,22,,,,804,,,0.5103292465209961,0.49693357944488525,,,,,
0.8823529481887817,23,0.7142857313156128,0.8194069862365723,0.8315789699554443,839,0.9245282411575317,0.5213623046875,,,,,,,
,23,,,,839,,,0.5078978538513184,0.4902019202709198,,,,,
0.8571428656578064,24,0.7142857313156128,0.8099730610847473,0.821052610874176,874,0.9056603908538818,0.4460221827030182,,,,,,,
,24,,,,874,,,0.4837375581264496,0.49178820848464966,,,,,
,25,,,,875,,,,,0.6571428775787354,0.8214285969734192,0.771319568157196,0.7838982939720154,0.885496199131012
,25,,,,875,,,,,0.6190476417541504,0.8333333134651184,0.7599055171012878,0.7754237055778503,0.9007633328437805
,25,,,,875,,,,,0.6857143640518188,0.8181818127632141,0.7817884087562561,0.7923728823661804,0.8778625726699829
