val_specificity,val_sensitivity,epoch,val_loss,val_auroc,val_precision,step,val_accuracy,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
1.0,0.0,0,0.8668541312217712,0.5,0.0,26,0.557894766330719,,,,,,,
,,0,,,,26,,0.8699201345443726,0.0,,,,,
0.9433962106704712,0.0476190485060215,1,2.6151442527770996,0.4955076575279236,0.4000000059604645,53,0.5473684072494507,,,,,,,
,,1,,,,53,,0.8667286038398743,0.0,,,,,
0.849056601524353,0.3333333432674408,2,2.7471628189086914,0.5911949872970581,0.6363636255264282,80,0.621052622795105,,,,,,,
,,2,,,,80,,0.8578380942344666,0.0,,,,,
0.9245282411575317,0.4523809850215912,3,1.3779656887054443,0.6884546279907227,0.8260868787765503,107,0.7157894968986511,,,,,,,
,,3,,,,107,,0.7946884632110596,0.0,,,,,
0.8867924809455872,0.6190476417541504,4,4.908285140991211,0.7529200315475464,0.8125,134,0.7684210538864136,,,,,,,
,,4,,,,134,,0.7623237371444702,0.0,,,,,
0.792452871799469,0.5476190447807312,5,2.2073161602020264,0.6700359582901001,0.6764705181121826,161,0.6842105388641357,,,,,,,
,,5,,,,161,,0.716626763343811,0.0,,,,,
0.9056603908538818,0.6428571343421936,6,1.9702564477920532,0.7742587327957153,0.84375,188,0.7894737124443054,,,,,,,
,,6,,,,188,,0.7006947994232178,0.0,,,,,
0.8867924809455872,0.6190476417541504,7,2.0151877403259277,0.7529200315475464,0.8125,215,0.7684210538864136,,,,,,,
,,7,,,,215,,0.712001621723175,0.0,,,,,
0.9056603908538818,0.6666666865348816,8,2.2309980392456055,0.7861635684967041,0.8484848737716675,242,0.800000011920929,,,,,,,
,,8,,,,242,,0.6937918663024902,0.0,,,,,
0.9245282411575317,0.6428571343421936,9,1.1711504459381104,0.7836927175521851,0.8709677457809448,269,0.800000011920929,,,,,,,
,,9,,,,269,,0.6977246999740601,0.0,,,,,
0.9433962106704712,0.6428571343421936,10,1.1560627222061157,0.79312664270401,0.8999999761581421,296,0.8105263113975525,,,,,,,
,,10,,,,296,,0.668821394443512,0.0,,,,,
0.9245282411575317,0.6428571343421936,11,0.8365427255630493,0.7836927175521851,0.8709677457809448,323,0.800000011920929,,,,,,,
,,11,,,,323,,0.6557183265686035,0.0,,,,,
0.9245282411575317,0.6904761791229248,12,0.882024884223938,0.8075022101402283,0.8787878751754761,350,0.821052610874176,,,,,,,
,,12,,,,350,,0.6530963778495789,0.0,,,,,
0.9245282411575317,0.5476190447807312,13,1.0365815162658691,0.7360737323760986,0.8518518805503845,377,0.75789475440979,,,,,,,
,,13,,,,377,,0.660674512386322,0.0,,,,,
0.9056603908538818,0.6428571343421936,14,2.0702664852142334,0.7742587327957153,0.84375,404,0.7894737124443054,,,,,,,
,,14,,,,404,,0.6405317783355713,0.0,,,,,
0.8867924809455872,0.6190476417541504,15,0.8730131983757019,0.7529200315475464,0.8125,431,0.7684210538864136,,,,,,,
,,15,,,,431,,0.6488812565803528,0.0,,,,,
0.9433962106704712,0.5714285969734192,16,0.6352426409721375,0.7574123740196228,0.8888888955116272,458,0.7789473533630371,,,,,,,
,,16,,,,458,,0.6223602294921875,0.0,,,,,
0.9433962106704712,0.5952380895614624,17,1.523252010345459,0.7693171501159668,0.8928571343421936,485,0.7894737124443054,,,,,,,
,,17,,,,485,,0.6265416741371155,0.0,,,,,
0.9245282411575317,0.5952380895614624,18,0.8308476209640503,0.7598832249641418,0.8620689511299133,512,0.7789473533630371,,,,,,,
