epoch,val_auroc,val_accuracy,val_sensitivity,step,val_loss,val_precision,val_specificity,train_loss,unlabeled_data_utilization,test_sensitivity,test_specificity,test_accuracy,test_precision,test_auroc
0,0.5,0.557894766330719,0.0,26,2.904968500137329,0.0,1.0,,,,,,,
0,,,,26,,,,2.891418933868408,0.0,,,,,
1,0.7311322093009949,0.75789475440979,0.5,53,4.492725849151611,0.9130435585975647,0.9622642397880554,,,,,,,
1,,,,53,,,,2.6312427520751953,0.0,,,,,
2,0.6671159267425537,0.6947368383407593,0.4285714328289032,80,3.3412020206451416,0.782608687877655,0.9056603908538818,,,,,,,
2,,,,80,,,,2.3619956970214844,0.0,,,,,
3,0.7097933292388916,0.7368420958518982,0.4761904776096344,107,3.872692346572876,0.8695652484893799,0.9433962106704712,,,,,,,
3,,,,107,,,,2.3107259273529053,0.0,,,,,
4,0.8333333730697632,0.8526315689086914,0.6666666865348816,134,3.9895687103271484,1.0,1.0,,,,,,,
4,,,,134,,,,2.2045958042144775,0.0,,,,,
5,0.8000898957252502,0.821052610874176,0.6190476417541504,161,2.5329904556274414,0.9629629850387573,0.9811320900917053,,,,,,,
5,,,,161,,,,2.0192360877990723,0.0,,,,,
6,0.8119946122169495,0.8315789699554443,0.6428571343421936,188,4.059304237365723,0.9642857313156128,0.9811320900917053,,,,,,,
6,,,,188,,,,2.060861349105835,0.0,,,,,
7,0.7053009867668152,0.7263157963752747,0.523809552192688,215,3.275911569595337,0.7857142686843872,0.8867924809455872,,,,,,,
7,,,,215,,,,1.976395606994629,0.0,,,,,
8,0.7360737323760986,0.75789475440979,0.5476190447807312,242,3.0583763122558594,0.8518518805503845,0.9245282411575317,,,,,,,
8,,,,242,,,,1.8875319957733154,0.0,,,,,
9,0.7787511944770813,0.800000011920929,0.5952380895614624,269,2.312899112701416,0.9259259104728699,0.9622642397880554,,,,,,,
9,,,,269,,,,1.8822764158248901,0.0,,,,,
10,0.7881851196289062,0.8105263113975525,0.5952380895614624,296,2.5402028560638428,0.9615384340286255,0.9811320900917053,,,,,,,
10,,,,296,,,,1.9192875623703003,0.0,,,,,
11,0.7976190447807312,0.821052610874176,0.5952380895614624,323,2.6388301849365234,1.0,1.0,,,,,,,
11,,,,323,,,,1.8542195558547974,0.0,,,,,
12,0.764375627040863,0.7894737124443054,0.5476190447807312,350,2.570228099822998,0.9583333134651184,0.9811320900917053,,,,,,,
12,,,,350,,,,1.9024646282196045,0.0,,,,,
13,0.8119946122169495,0.8315789699554443,0.6428571343421936,377,2.0940184593200684,0.9642857313156128,0.9811320900917053,,,,,,,
13,,,,377,,,,1.7626802921295166,0.0,,,,,
14,0.7762802839279175,0.800000011920929,0.5714285969734192,404,2.2108161449432373,0.9599999785423279,0.9811320900917053,,,,,,,
14,,,,404,,,,1.7833529710769653,0.0,,,,,
15,0.7598832249641418,0.7789473533630371,0.5952380895614624,431,1.9232267141342163,0.8620689511299133,0.9245282411575317,,,,,,,
15,,,,431,,,,1.6365983486175537,0.0,,,,,
16,0.7787511944770813,0.800000011920929,0.5952380895614624,458,1.701858639717102,0.9259259104728699,0.9622642397880554,,,,,,,
16,,,,458,,,,1.7683303356170654,0.0,,,,,
17,0.8000898957252502,0.821052610874176,0.6190476417541504,485,2.971179246902466,0.9629629850387573,0.9811320900917053,,,,,,,
17,,,,485,,,,1.6865289211273193,0.0,,,,,
18,0.7762802839279175,0.800000011920929,0.5714285969734192,512,2.3675107955932617,0.9599999785423279,0.9811320900917053,,,,,,,
18,,,,512,,,,1.7084161043167114,0.0,,,,,
19,0.8000898957252502,0.821052610874176,0.6190476417541504,539,3.5484724044799805,0.9629629850387573,0.9811320900917053,,,,,,,
19,,,,539,,,,1.6464507579803467,0.0,,,,,
20,0.7881851196289062,0.8105263113975525,0.5952380895614624,566,1.7619352340698242,0.9615384340286255,0.9811320900917053,,,,,,,
20,,,,566,,,,1.7046418190002441,0.0,,,,,
21,0.7574123740196228,0.7789473533630371,0.5714285969734192,593,2.041037082672119,0.8888888955116272,0.9433962106704712,,,,,,,
21,,,,593,,,,1.6748789548873901,0.0,,,,,
22,0.7906559109687805,0.8105263113975525,0.6190476417541504,620,1.554569959640503,0.9285714626312256,0.9622642397880554,,,,,,,
22,,,,620,,,,1.633431315422058,0.0,,,,,
