epoch,val_sensitivity,val_accuracy,val_auroc,val_precision,val_specificity,val_loss,step,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
0,0.1428571492433548,0.5789473652839661,0.5336927175521851,0.6000000238418579,0.9245282411575317,0.7900404334068298,26,,,,,,,
0,,,,,,,26,0.6405715942382812,0.020080765709280968,,,,,
1,0.2142857164144516,0.6315789222717285,0.5882749557495117,0.8181818127632141,0.9622642397880554,0.889796793460846,53,,,,,,,
1,,,,,,,53,0.6319547295570374,0.026359090581536293,,,,,
2,0.0714285746216774,0.557894766330719,0.5074123740196228,0.5,0.9433962106704712,0.580658495426178,80,,,,,,,
2,,,,,,,80,0.6271138191223145,0.019759636372327805,,,,,
3,0.3571428656578064,0.6736842393875122,0.6408355832099915,0.7894737124443054,0.9245282411575317,0.6246307492256165,107,,,,,,,
3,,,,,,,107,0.6243796348571777,0.03007492609322071,,,,,
4,0.380952388048172,0.6947368383407593,0.6621742844581604,0.8421052694320679,0.9433962106704712,0.8833476305007935,134,,,,,,,
4,,,,,,,134,0.6126120686531067,0.04351683333516121,,,,,
5,0.5,0.6947368383407593,0.6745282411575317,0.7241379022598267,0.849056601524353,0.5712813138961792,161,,,,,,,
5,,,,,,,161,0.5797370076179504,0.036632660776376724,,,,,
6,0.4285714328289032,0.7368420958518982,0.7048517465591431,0.9473684430122375,0.9811320900917053,0.8530496954917908,188,,,,,,,
6,,,,,,,188,0.5840778946876526,0.07706204801797867,,,,,
7,0.523809552192688,0.7684210538864136,0.7430369257926941,0.9166666865348816,0.9622642397880554,0.5807075500488281,215,,,,,,,
7,,,,,,,215,0.5626316666603088,0.09948224574327469,,,,,
8,0.5,0.75789475440979,0.7311322093009949,0.9130435585975647,0.9622642397880554,0.7486447095870972,242,,,,,,,
8,,,,,,,242,0.5802156329154968,0.12886366248130798,,,,,
9,0.5476190447807312,0.7684210538864136,0.7455076575279236,0.8846153616905212,0.9433962106704712,0.7162339091300964,269,,,,,,,
9,,,,,,,269,0.5782221555709839,0.13231050968170166,,,,,
10,0.523809552192688,0.75789475440979,0.7336028814315796,0.8799999952316284,0.9433962106704712,0.7733835577964783,296,,,,,,,
10,,,,,,,296,0.562359094619751,0.1723126769065857,,,,,
11,0.6190476417541504,0.8105263113975525,0.7906559109687805,0.9285714626312256,0.9622642397880554,0.5026170015335083,323,,,,,,,
11,,,,,,,323,0.5487473607063293,0.23294974863529205,,,,,
12,0.5476190447807312,0.7789473533630371,0.7549417018890381,0.9200000166893005,0.9622642397880554,0.4960345923900604,350,,,,,,,
12,,,,,,,350,0.5854573249816895,0.29878294467926025,,,,,
13,0.5714285969734192,0.7789473533630371,0.7574123740196228,0.8888888955116272,0.9433962106704712,0.4315105378627777,377,,,,,,,
13,,,,,,,377,0.5732796788215637,0.3016214370727539,,,,,
14,0.5714285969734192,0.800000011920929,0.7762802839279175,0.9599999785423279,0.9811320900917053,0.46370017528533936,404,,,,,,,
14,,,,,,,404,0.5779286026954651,0.3403303623199463,,,,,
15,0.5714285969734192,0.8105263113975525,0.7857142686843872,1.0,1.0,0.539803683757782,431,,,,,,,
15,,,,,,,431,0.5741338729858398,0.36180102825164795,,,,,
16,0.5476190447807312,0.7789473533630371,0.7549417018890381,0.9200000166893005,0.9622642397880554,0.5611591339111328,458,,,,,,,
16,,,,,,,458,0.5671248435974121,0.3972778618335724,,,,,
17,0.6190476417541504,0.8105263113975525,0.7906559109687805,0.9285714626312256,0.9622642397880554,0.4624311625957489,485,,,,,,,
17,,,,,,,485,0.5690509676933289,0.45833659172058105,,,,,
18,0.6428571343421936,0.8105263113975525,0.79312664270401,0.8999999761581421,0.9433962106704712,0.45100370049476624,512,,,,,,,
18,,,,,,,512,0.5649563074111938,0.46955937147140503,,,,,
19,0.6190476417541504,0.800000011920929,0.781221866607666,0.8965517282485962,0.9433962106704712,0.4028937518596649,539,,,,,,,
19,,,,,,,539,0.5657552480697632,0.49335721135139465,,,,,
20,0.5952380895614624,0.821052610874176,0.7976190447807312,1.0,1.0,0.3909573256969452,566,,,,,,,
20,,,,,,,566,0.5678893327713013,0.5041995644569397,,,,,
21,0.6190476417541504,0.8315789699554443,0.8095238208770752,1.0,1.0,0.47138622403144836,593,,,,,,,
21,,,,,,,593,0.558022141456604,0.5088603496551514,,,,,
22,0.6428571343421936,0.8315789699554443,0.8119946122169495,0.9642857313156128,0.9811320900917053,0.42955586314201355,620,,,,,,,
22,,,,,,,620,0.5712999701499939,0.5150645971298218,,,,,
23,0.6666666865348816,0.8526315689086914,0.8333333730697632,1.0,1.0,0.48183131217956543,647,,,,,,,
23,,,,,,,647,0.5566340088844299,0.515038788318634,,,,,
24,0.6666666865348816,0.8526315689086914,0.8333333730697632,1.0,1.0,0.4086414575576782,674,,,,,,,
24,,,,,,,674,0.5518529415130615,0.5383819937705994,,,,,
25,0.6666666865348816,0.8421052694320679,0.8238993883132935,0.9655172228813171,0.9811320900917053,0.46151968836784363,701,,,,,,,
25,,,,,,,701,0.5523167252540588,0.5418747067451477,,,,,
26,0.6666666865348816,0.8421052694320679,0.8238993883132935,0.9655172228813171,0.9811320900917053,0.4749620258808136,728,,,,,,,
26,,,,,,,728,0.5561137199401855,0.5602631568908691,,,,,
27,0.6904761791229248,0.8421052694320679,0.8263701796531677,0.9354839324951172,0.9622642397880554,0.5196097493171692,755,,,,,,,
27,,,,,,,755,0.5656060576438904,0.5774309039115906,,,,,
28,0.6190476417541504,0.8315789699554443,0.8095238208770752,1.0,1.0,0.5336646437644958,782,,,,,,,
28,,,,,,,782,0.5664057731628418,0.5852187275886536,,,,,
29,0.6428571343421936,0.8421052694320679,0.8214285373687744,1.0,1.0,0.37084317207336426,809,,,,,,,
29,,,,,,,809,0.5287935733795166,0.5851482152938843,,,,,
30,0.6666666865348816,0.8526315689086914,0.8333333730697632,1.0,1.0,0.41815581917762756,836,,,,,,,
