val_specificity,val_sensitivity,epoch,val_loss,val_auroc,val_precision,step,val_accuracy,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
1.0,0.0,0,0.8682215809822083,0.5,0.0,26,0.557894766330719,,,,,,,
,,0,,,,26,,0.8808457255363464,0.0,,,,,
0.9811320900917053,0.0476190485060215,1,1.9447095394134521,0.514375627040863,0.6666666865348816,53,0.5684210658073425,,,,,,,
,,1,,,,53,,0.8685082197189331,0.0,,,,,
0.9811320900917053,0.0476190485060215,2,1.5287185907363892,0.514375627040863,0.6666666865348816,80,0.5684210658073425,,,,,,,
,,2,,,,80,,0.8613544702529907,0.0,,,,,
0.9056603908538818,0.3571428656578064,3,2.294420003890991,0.6314016580581665,0.75,107,0.6631578803062439,,,,,,,
,,3,,,,107,,0.836156964302063,0.0,,,,,
0.9245282411575317,0.5,4,1.1864826679229736,0.7122641205787659,0.8399999737739563,134,0.7368420958518982,,,,,,,
,,4,,,,134,,0.8187309503555298,0.0,,,,,
0.8867924809455872,0.523809552192688,5,1.4523221254348755,0.7053009867668152,0.7857142686843872,161,0.7263157963752747,,,,,,,
,,5,,,,161,,0.7543587684631348,0.0,,,,,
0.849056601524353,0.5476190447807312,6,1.7359504699707031,0.6983378529548645,0.7419354915618896,188,0.7157894968986511,,,,,,,
,,6,,,,188,,0.7318107485771179,0.0,,,,,
0.8301886916160583,0.523809552192688,7,1.0677608251571655,0.6769991517066956,0.7096773386001587,215,0.6947368383407593,,,,,,,
,,7,,,,215,,0.6973969340324402,0.0,,,,,
0.9056603908538818,0.6190476417541504,8,0.960420548915863,0.7623540163040161,0.8387095928192139,242,0.7789473533630371,,,,,,,
,,8,,,,242,,0.7034143209457397,0.0,,,,,
0.9245282411575317,0.523809552192688,9,1.5722618103027344,0.7241688966751099,0.8461537957191467,269,0.7473683953285217,,,,,,,
,,9,,,,269,,0.6966089606285095,0.0,,,,,
0.9433962106704712,0.523809552192688,10,0.8552976846694946,0.7336028814315796,0.8799999952316284,296,0.75789475440979,,,,,,,
,,10,,,,296,,0.6706033945083618,0.0,,,,,
0.9245282411575317,0.6190476417541504,11,0.9207830429077148,0.7717880010604858,0.8666666746139526,323,0.7894737124443054,,,,,,,
,,11,,,,323,,0.6429843306541443,0.0,,,,,
0.9245282411575317,0.6904761791229248,12,1.0138112306594849,0.8075022101402283,0.8787878751754761,350,0.821052610874176,,,,,,,
,,12,,,,350,,0.6608227491378784,0.0,,,,,
