val_loss,val_specificity,val_sensitivity,val_auroc,val_precision,val_accuracy,epoch,step,train_loss,unlabeled_data_utilization,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
0.6202988028526306,1.0,0.0,0.5,0.0,0.557894766330719,0,26,,,,,,,
,,,,,,0,26,0.6297984719276428,0.0,,,,,
3.570915699005127,0.7547169923782349,0.190476194024086,0.47259658575057983,0.380952388048172,0.5052631497383118,1,53,,,,,,,
,,,,,,1,53,0.6204085350036621,0.0,,,,,
1.6789857149124146,0.9245282411575317,0.2142857164144516,0.569407045841217,0.692307710647583,0.6105263233184814,2,80,,,,,,,
,,,,,,2,80,0.6160986423492432,0.0,,,,,
1.3294005393981934,0.849056601524353,0.5476190447807312,0.6983378529548645,0.7419354915618896,0.7157894968986511,3,107,,,,,,,
,,,,,,3,107,0.592362105846405,0.0,,,,,
0.8242504000663757,0.7358490824699402,0.8095238208770752,0.7726863622665405,0.7083333134651184,0.7684210538864136,4,134,,,,,,,
,,,,,,4,134,0.5753527283668518,0.0,,,,,
1.6256513595581055,0.8301886916160583,0.6428571343421936,0.7365228533744812,0.75,0.7473683953285217,5,161,,,,,,,
,,,,,,5,161,0.5515269637107849,0.0,,,,,
1.9152107238769531,0.8301886916160583,0.6190476417541504,0.724618136882782,0.7428570985794067,0.7368420958518982,6,188,,,,,,,
,,,,,,6,188,0.5411453247070312,0.0,,,,,
1.4794691801071167,0.8113208413124084,0.5952380895614624,0.703279435634613,0.7142857313156128,0.7157894968986511,7,215,,,,,,,
,,,,,,7,215,0.5283806324005127,0.0,,,,,
0.7763225436210632,0.9245282411575317,0.4047619104385376,0.6646451354026794,0.8095238208770752,0.6947368383407593,8,242,,,,,,,
,,,,,,8,242,0.524386465549469,0.0,,,,,
1.917488694190979,0.8301886916160583,0.523809552192688,0.6769991517066956,0.7096773386001587,0.6947368383407593,9,269,,,,,,,
,,,,,,9,269,0.5112309455871582,0.0,,,,,
1.0312268733978271,0.8867924809455872,0.523809552192688,0.7053009867668152,0.7857142686843872,0.7263157963752747,10,296,,,,,,,
,,,,,,10,296,0.5115868449211121,0.0,,,,,
1.1007490158081055,0.8867924809455872,0.5952380895614624,0.7410151958465576,0.806451678276062,0.75789475440979,11,323,,,,,,,
,,,,,,11,323,0.5014523267745972,0.0,,,,,
1.3309242725372314,0.9056603908538818,0.6428571343421936,0.7742587327957153,0.84375,0.7894737124443054,12,350,,,,,,,
,,,,,,12,350,0.479438453912735,0.0,,,,,
