val_sensitivity   , val_precision     , val_auroc         , epoch, val_loss           , step, val_specificity   , val_accuracy      , unlabeled_data_utilization, train_loss         , test_auroc        , test_specificity  , test_sensitivity  , test_precision    , test_accuracy
0.6666666865348816, 0.8235294818878174, 0.7767295241355896,    19, 0.9436479806900024 ,  539, 0.8867924809455872, 0.7894737124443054,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    19,                    ,  539,                   ,                   ,      0.11821483820676804  , 0.4651952385902405 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    20, 0.6482806205749512 ,  566, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    20,                    ,  566,                   ,                   ,      0.1431731879711151   , 0.48310551047325134,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.8235294818878174, 0.7767295241355896,    21, 0.4945661723613739 ,  593, 0.8867924809455872, 0.7894737124443054,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    21,                    ,  593,                   ,                   ,      0.12320391833782196  , 0.4769502878189087 ,                   ,                   ,                   ,                   ,  
0.6190476417541504, 0.8965517282485962, 0.781221866607666 ,    22, 0.5315026640892029 ,  620, 0.9433962106704712, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    22,                    ,  620,                   ,                   ,      0.15074868500232697  , 0.4709831476211548 ,                   ,                   ,                   ,                   ,  
0.6428571343421936, 0.8709677457809448, 0.7836927175521851,    23, 0.49012887477874756,  647, 0.9245282411575317, 0.800000011920929 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    23,                    ,  647,                   ,                   ,      0.14631453156471252  , 0.48873528838157654,                   ,                   ,                   ,                   ,  
0.6666666865348816, 0.875             , 0.795597493648529 ,    24, 0.5051514506340027 ,  674, 0.9245282411575317, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    24,                    ,  674,                   ,                   ,      0.1403365135192871   , 0.4887702465057373 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    25, 0.703525185585022  ,  701, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    25,                    ,  701,                   ,                   ,      0.13548997044563293  , 0.4699268639087677 ,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.8823529481887817, 0.8194069862365723,    26, 0.7401703000068665 ,  728, 0.9245282411575317, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    26,                    ,  728,                   ,                   ,      0.15312977135181427  , 0.4825664460659027 ,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8157894611358643, 0.8030098080635071,    27, 0.9878216981887817 ,  755, 0.8679245114326477, 0.8105263113975525,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    27,                    ,  755,                   ,                   ,      0.13941648602485657  , 0.450484037399292  ,                   ,                   ,                   ,                   ,  
