val_precision,val_specificity,val_accuracy,step,val_loss,val_auroc,epoch,val_sensitivity,unlabeled_data_utilization,train_loss,test_precision,test_accuracy,test_specificity,test_sensitivity,test_auroc
0.07216494530439377,0.10000000149011612,0.15740740299224854,34,0.37793445587158203,0.48750001192092896,0,0.875,,,,,,,
,,,34,,,0,,0.011618733406066895,0.37431275844573975,,,,,
0.07865169644355774,0.18000000715255737,0.23148147761821747,69,0.360421746969223,0.5274999737739563,1,0.875,,,,,,,
,,,69,,,1,,0.01053527183830738,0.37229296565055847,,,,,
0.08045977354049683,0.20000000298023224,0.25,104,0.37081390619277954,0.5374999642372131,2,0.875,,,,,,,
,,,104,,,2,,0.008677979931235313,0.37077048420906067,,,,,
0.07865169644355774,0.18000000715255737,0.23148147761821747,139,0.37672150135040283,0.5274999737739563,3,0.875,,,,,,,
,,,139,,,3,,0.011320645920932293,0.3682830333709717,,,,,
0.07865169644355774,0.18000000715255737,0.23148147761821747,174,0.39749565720558167,0.5274999737739563,4,0.875,,,,,,,
,,,174,,,4,,0.01525950338691473,0.36943337321281433,,,,,
0.08536585420370102,0.25,0.29629629850387573,209,0.3697042167186737,0.5625,5,0.875,,,,,,,
,,,209,,,5,,0.015768975019454956,0.36689984798431396,,,,,
0.08235294371843338,0.2199999988079071,0.26851850748062134,244,0.36933600902557373,0.5475000143051147,6,0.875,,,,,,,
,,,244,,,6,,0.016317050904035568,0.36180704832077026,,,,,
0.07954545319080353,0.1899999976158142,0.24074074625968933,279,0.3742281496524811,0.5325000286102295,7,0.875,,,,,,,
,,,279,,,7,,0.015357175841927528,0.35976117849349976,,,,,
0.08235294371843338,0.2199999988079071,0.26851850748062134,314,0.36485755443573,0.5475000143051147,8,0.875,,,,,,,
,,,314,,,8,,0.016980962827801704,0.358577162027359,,,,,
0.08749999850988388,0.27000001072883606,0.31481480598449707,349,0.35920605063438416,0.5724999904632568,9,0.875,,,,,,,
,,,349,,,9,,0.010649227537214756,0.35688552260398865,,,,,
0.08974358439445496,0.28999999165534973,0.3333333432674408,384,0.35449638962745667,0.5824999809265137,10,0.875,,,,,,,
,,,384,,,10,,0.016891054809093475,0.3572314381599426,,,,,
0.08749999850988388,0.27000001072883606,0.31481480598449707,419,0.356397420167923,0.5724999904632568,11,0.875,,,,,,,
,,,419,,,11,,0.0166015625,0.3505719304084778,,,,,
0.08219177275896072,0.33000004291534424,0.3611111044883728,454,0.3569013178348541,0.5399999618530273,12,0.75,,,,,,,
,,,454,,,12,,0.016109568998217583,0.3508102297782898,,,,,
0.09459460526704788,0.33000004291534424,0.37037035822868347,489,0.3625370264053345,0.6024999022483826,13,0.875,,,,,,,
,,,489,,,13,,0.017542855814099312,0.3505130112171173,,,,,
0.08536585420370102,0.25,0.29629629850387573,524,0.3639408349990845,0.5625,14,0.875,,,,,,,
,,,524,,,14,,0.01858185976743698,0.35062289237976074,,,,,
0.08860759437084198,0.2800000011920929,0.32407405972480774,559,0.3542048931121826,0.5774999856948853,15,0.875,,,,,,,
,,,559,,,15,,0.0200312752276659,0.3494253158569336,,,,,
0.10000000149011612,0.3700000047683716,0.40740740299224854,594,0.34953370690345764,0.6225000023841858,16,0.875,,,,,,,
,,,594,,,16,,0.018900902941823006,0.35298725962638855,,,,,
0.08860759437084198,0.2800000011920929,0.32407405972480774,629,0.35652297735214233,0.5774999856948853,17,0.875,,,,,,,
,,,629,,,17,,0.018500788137316704,0.34931841492652893,,,,,
0.07246376574039459,0.36000001430511475,0.37962964177131653,664,0.35238373279571533,0.49250003695487976,18,0.625,,,,,,,
,,,664,,,18,,0.020375113934278488,0.3501024842262268,,,,,
0.09589041024446487,0.3400000035762787,0.37962964177131653,699,0.3743000030517578,0.6074999570846558,19,0.875,,,,,,,
,,,699,,,19,,0.020268451422452927,0.3471072316169739,,,,,
,,,700,,,20,,,,0.071856290102005,0.3903345763683319,0.375,0.5714285969734192,0.4732142984867096
,,,700,,,20,,,,0.071856290102005,0.3903345763683319,0.375,0.5714285969734192,0.4732142984867096
,,,700,,,20,,,,0.07407407462596893,0.4089219272136688,0.39516130089759827,0.5714285969734192,0.48329490423202515
