val_accuracy,step,epoch,val_precision,val_sensitivity,val_specificity,val_loss,val_auroc,train_loss,unlabeled_data_utilization,test_sensitivity,test_accuracy,test_auroc,test_specificity,test_precision
0.557894766330719,26,0,0.5,0.0714285746216774,0.9433962106704712,0.6869007349014282,0.5074123740196228,,,,,,,
,26,0,,,,,,0.6499428749084473,0.009060090407729149,,,,,
0.49473685026168823,53,1,0.0,0.0,0.8867924809455872,2.983649730682373,0.4433962106704712,,,,,,,
,53,1,,,,,,0.6267372369766235,0.010464789345860481,,,,,
0.5368421077728271,80,2,0.25,0.02380952425301075,0.9433962106704712,1.7774816751480103,0.4836028516292572,,,,,,,
,80,2,,,,,,0.6316691637039185,0.014923150651156902,,,,,
0.5684210658073425,107,3,1.0,0.02380952425301075,1.0,1.9463684558868408,0.511904776096344,,,,,,,
,107,3,,,,,,0.6237863302230835,0.011399456299841404,,,,,
0.6421052813529968,134,4,0.8999999761581421,0.2142857164144516,0.9811320900917053,1.6762679815292358,0.5977088809013367,,,,,,,
,134,4,,,,,,0.6199768781661987,0.016648905351758003,,,,,
0.6631578803062439,161,5,0.7777778506278992,0.3333333432674408,0.9245282411575317,1.0223901271820068,0.6289308071136475,,,,,,,
,161,5,,,,,,0.6041936278343201,0.028637003153562546,,,,,
0.7368420958518982,188,6,0.8148148655891418,0.523809552192688,0.9056603908538818,1.309862732887268,0.7147350311279297,,,,,,,
,188,6,,,,,,0.5929405689239502,0.010198937729001045,,,,,
0.6947368383407593,215,7,0.7599999904632568,0.4523809850215912,0.8867924809455872,1.080759882926941,0.6695866584777832,,,,,,,
,215,7,,,,,,0.5689231157302856,0.015681786462664604,,,,,
0.7052631378173828,242,8,0.8500000238418579,0.4047619104385376,0.9433962106704712,1.3705482482910156,0.6740791201591492,,,,,,,
,242,8,,,,,,0.5617786645889282,0.01773853600025177,,,,,
0.7052631378173828,269,9,0.7692307829856873,0.4761904776096344,0.8867924809455872,0.7657366394996643,0.6814914345741272,,,,,,,
,269,9,,,,,,0.547746479511261,0.018479973077774048,,,,,
0.7157894968986511,296,10,0.800000011920929,0.4761904776096344,0.9056603908538818,1.0706878900527954,0.6909254193305969,,,,,,,
