step,val_sensitivity,val_specificity,val_auroc,val_precision,val_accuracy,val_loss,epoch,unlabeled_data_utilization,train_loss
26,0.1190476194024086,0.9622642397880554,0.5406559109687805,0.7142857313156128,0.5894736647605896,1.5987827777862549,0,,
26,,,,,,,0,0.010670574381947517,0.6450029015541077
53,0.1190476194024086,1.0,0.5595238208770752,1.0,0.6105263233184814,0.7064998149871826,1,,
53,,,,,,,1,0.02590419352054596,0.6382860541343689
80,0.1190476194024086,0.9811320900917053,0.5500898361206055,0.8333333134651184,0.6000000238418579,1.219869613647461,2,,
80,,,,,,,2,0.010931880213320255,0.62324059009552
107,0.2380952388048172,0.9245282411575317,0.581311821937561,0.7142857313156128,0.621052622795105,0.7596922516822815,3,,
107,,,,,,,3,0.013063439168035984,0.6166456937789917
134,0.3095238208770752,0.9622642397880554,0.6358940005302429,0.8666666746139526,0.6736842393875122,1.7026814222335815,4,,
134,,,,,,,4,0.03303518518805504,0.6182101368904114
161,0.3333333432674408,0.9811320900917053,0.6572327613830566,0.9333332777023315,0.6947368383407593,0.8347907066345215,5,,
161,,,,,,,5,0.01432520430535078,0.5988350510597229
188,0.4047619104385376,0.9433962106704712,0.6740791201591492,0.8500000238418579,0.7052631378173828,1.0003055334091187,6,,
188,,,,,,,6,0.017739560455083847,0.5919320583343506
215,0.5476190447807312,0.9622642397880554,0.7549417018890381,0.9200000166893005,0.7789473533630371,1.047573208808899,7,,
215,,,,,,,7,0.020504003390669823,0.5792129635810852
242,0.6428571343421936,0.9056603908538818,0.7742587327957153,0.84375,0.7894737124443054,0.6107345223426819,8,,
242,,,,,,,8,0.021765558049082756,0.562313973903656
269,0.6666666865348816,0.8867924809455872,0.7767295241355896,0.8235294818878174,0.7894737124443054,1.4036240577697754,9,,
269,,,,,,,9,0.04322444647550583,0.5687448382377625
296,0.6190476417541504,0.9245282411575317,0.7717880010604858,0.8666666746139526,0.7894737124443054,1.8581135272979736,10,,
296,,,,,,,10,0.05404163524508476,0.5631240010261536
323,0.6190476417541504,0.9433962106704712,0.781221866607666,0.8965517282485962,0.800000011920929,0.8227441310882568,11,,
323,,,,,,,11,0.06560084968805313,0.5548712015151978
350,0.6666666865348816,0.9245282411575317,0.795597493648529,0.875,0.8105263113975525,1.344354510307312,12,,
350,,,,,,,12,0.08007632195949554,0.5524054169654846
377,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.6452851891517639,13,,
377,,,,,,,13,0.08527376502752304,0.5658888816833496
404,0.6904761791229248,0.849056601524353,0.7697663903236389,0.7837837338447571,0.7789473533630371,0.8680095672607422,14,,
404,,,,,,,14,0.09533539414405823,0.5386159420013428
431,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.888065755367279,15,,
431,,,,,,,15,0.11975999921560287,0.5678137540817261
458,0.6666666865348816,0.9245282411575317,0.795597493648529,0.875,0.8105263113975525,1.2860521078109741,16,,
458,,,,,,,16,0.11579179763793945,0.545725405216217
485,0.6428571343421936,0.9811320900917053,0.8119946122169495,0.9642857313156128,0.8315789699554443,0.8143603801727295,17,,
485,,,,,,,17,0.12919393181800842,0.5345794558525085
512,0.6428571343421936,0.9433962106704712,0.79312664270401,0.8999999761581421,0.8105263113975525,0.7636622190475464,18,,
512,,,,,,,18,0.15499834716320038,0.540706992149353
539,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.9032257795333862,0.821052610874176,0.7677207589149475,19,,
539,,,,,,,19,0.18816883862018585,0.5524792671203613
566,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.5972519516944885,20,,
566,,,,,,,20,0.18517650663852692,0.5462627410888672
593,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.7101119756698608,21,,
593,,,,,,,21,0.19584040343761444,0.5482039451599121
620,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.9032257795333862,0.821052610874176,0.7527841925621033,22,,
620,,,,,,,22,0.20455515384674072,0.5591546297073364
647,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,1.188495397567749,23,,
647,,,,,,,23,0.2198057770729065,0.5498178005218506
674,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.9032257795333862,0.821052610874176,0.47256502509117126,24,,
674,,,,,,,24,0.22574329376220703,0.5384653806686401
701,0.6428571343421936,0.9433962106704712,0.79312664270401,0.8999999761581421,0.8105263113975525,0.7297008037567139,25,,
701,,,,,,,25,0.25430285930633545,0.5500227808952332
728,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.42322537302970886,26,,
728,,,,,,,26,0.26204657554626465,0.5418970584869385
755,0.7142857313156128,0.9245282411575317,0.8194069862365723,0.8823529481887817,0.8315789699554443,1.157884955406189,27,,
755,,,,,,,27,0.30168360471725464,0.5523257851600647
782,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.457140177488327,28,,
782,,,,,,,28,0.33154749870300293,0.553225576877594
809,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.7606748342514038,29,,
809,,,,,,,29,0.3409375250339508,0.545049250125885
836,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.6279613375663757,30,,
836,,,,,,,30,0.34233418107032776,0.5429500937461853
863,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.4768667221069336,31,,
863,,,,,,,31,0.3802492320537567,0.5550158023834229
890,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.6340510845184326,32,,
890,,,,,,,32,0.3974660634994507,0.5493950247764587
917,0.6904761791229248,0.9622642397880554,0.8263701796531677,0.9354839324951172,0.8421052694320679,0.4078715145587921,33,,
917,,,,,,,33,0.38107985258102417,0.5524024963378906
944,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.9032257795333862,0.821052610874176,1.1656616926193237,34,,
944,,,,,,,34,0.36763790249824524,0.5502539277076721
971,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.6855651140213013,35,,
971,,,,,,,35,0.3862106204032898,0.5540282130241394
998,0.6666666865348816,0.9622642397880554,0.8144654631614685,0.9333332777023315,0.8315789699554443,0.5599387288093567,36,,
998,,,,,,,36,0.3852054476737976,0.5712546706199646
1025,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.8513057231903076,37,,
1025,,,,,,,37,0.39240801334381104,0.5659691095352173
1052,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,1.38632333278656,38,,
1052,,,,,,,38,0.4351528584957123,0.5553302764892578
1079,0.6428571343421936,0.9433962106704712,0.79312664270401,0.8999999761581421,0.8105263113975525,0.7848110198974609,39,,
1079,,,,,,,39,0.4299508035182953,0.5528368353843689
1106,0.6666666865348816,0.9245282411575317,0.795597493648529,0.875,0.8105263113975525,0.5109357833862305,40,,
1106,,,,,,,40,0.42818593978881836,0.5718400478363037
1133,0.6904761791229248,0.9433962106704712,0.816936194896698,0.90625,0.8315789699554443,0.5976837277412415,41,,
1133,,,,,,,41,0.4385266900062561,0.5589510202407837
1160,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.8787878751754761,0.821052610874176,0.6476647257804871,42,,
1160,,,,,,,42,0.45736679434776306,0.5855721235275269
1187,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.8787878751754761,0.821052610874176,1.3287490606307983,43,,
1187,,,,,,,43,0.44407185912132263,0.5572323799133301
1214,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.9032257795333862,0.821052610874176,0.5645431876182556,44,,
1214,,,,,,,44,0.4635658264160156,0.555999755859375
