val_loss,epoch,val_auroc,val_accuracy,val_precision,val_specificity,val_sensitivity,step,unlabeled_data_utilization,train_loss,test_precision,test_sensitivity,test_specificity,test_auroc,test_accuracy
0.8180662989616394,0,0.49797841906547546,0.5473684072494507,0.4285714328289032,0.9245282411575317,0.0714285746216774,26,,,,,,,
,0,,,,,,26,0.010888091288506985,0.6429598331451416,,,,,
2.5360512733459473,1,0.48607367277145386,0.5368421077728271,0.3333333432674408,0.9245282411575317,0.0476190485060215,53,,,,,,,
,1,,,,,,53,0.020221225917339325,0.6364552974700928,,,,,
0.6348035931587219,2,0.555031418800354,0.6000000238418579,0.699999988079071,0.9433962106704712,0.1666666716337204,80,,,,,,,
,2,,,,,,80,0.02364148013293743,0.629237174987793,,,,,
0.6565225720405579,3,0.6502695679664612,0.6842105388641357,0.8333333134651184,0.9433962106704712,0.3571428656578064,107,,,,,,,
,3,,,,,,107,0.016513383015990257,0.6197317242622375,,,,,
0.6665357947349548,4,0.6650943160057068,0.6842105388641357,0.699999988079071,0.8301886916160583,0.5,134,,,,,,,
,4,,,,,,134,0.013798557221889496,0.6184822916984558,,,,,
0.653171718120575,5,0.7122641205787659,0.7368420958518982,0.8399999737739563,0.9245282411575317,0.5,161,,,,,,,
,5,,,,,,161,0.013587079010903835,0.5984047055244446,,,,,
0.7027277946472168,6,0.6963163018226624,0.7052631378173828,0.6842105388641357,0.7735848426818848,0.6190476417541504,188,,,,,,,
,6,,,,,,188,0.016487164422869682,0.5754362344741821,,,,,
0.7111080884933472,7,0.7102425694465637,0.7263157963752747,0.75,0.849056601524353,0.5714285969734192,215,,,,,,,
,7,,,,,,215,0.04775005206465721,0.5667305588722229,,,,,
0.9574565887451172,8,0.7742587327957153,0.7894737124443054,0.84375,0.9056603908538818,0.6428571343421936,242,,,,,,,
,8,,,,,,242,0.0652209222316742,0.5546565055847168,,,,,
0.581911027431488,9,0.6938453912734985,0.7052631378173828,0.6944444179534912,0.792452871799469,0.5952380895614624,269,,,,,,,
,9,,,,,,269,0.09371396154165268,0.5616016983985901,,,,,
