epoch,val_sensitivity,val_auroc,val_loss,val_specificity,step,val_precision,val_accuracy,unlabeled_data_utilization,train_loss,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
0,0.0,0.4099999964237213,0.38803696632385254,0.8199999928474426,138,0.0,0.7592592835426331,,,,,,,
0,,,,,138,,,0.002216084161773324,0.36871543526649475,,,,,
1,0.0,0.42500001192092896,0.32574912905693054,0.8500000238418579,277,0.0,0.7870370149612427,,,,,,,
1,,,,,277,,,0.0012191991554573178,0.35324665904045105,,,,,
2,0.0,0.4399999976158142,0.3372069001197815,0.8799999952316284,416,0.0,0.8148148059844971,,,,,,,
2,,,,,416,,,0.0007996417698450387,0.3398524820804596,,,,,
3,0.0,0.44999998807907104,0.3123769462108612,0.8999999761581421,555,0.0,0.8333333134651184,,,,,,,
3,,,,,555,,,0.002904749708250165,0.3308959901332855,,,,,
4,0.0,0.4399999976158142,0.3237288296222687,0.8799999952316284,694,0.0,0.8148148059844971,,,,,,,
4,,,,,694,,,0.006916498765349388,0.32362043857574463,,,,,
5,0.0,0.44999998807907104,0.3196164667606354,0.8999999761581421,833,0.0,0.8333333134651184,,,,,,,
5,,,,,833,,,0.0075150299817323685,0.31204062700271606,,,,,
6,0.0,0.4399999976158142,0.3092101514339447,0.8799999952316284,972,0.0,0.8148148059844971,,,,,,,
6,,,,,972,,,0.008101851679384708,0.30109283328056335,,,,,
7,0.0,0.4699999988079071,0.3139798939228058,0.9399999976158142,1111,0.0,0.8703703880310059,,,,,,,
7,,,,,1111,,,0.01000615768134594,0.29861438274383545,,,,,
8,0.0,0.4650000035762787,0.3069586157798767,0.9300000071525574,1250,0.0,0.8611111044883728,,,,,,,
8,,,,,1250,,,0.010233918204903603,0.28789976239204407,,,,,
9,0.0,0.4699999988079071,0.3073200583457947,0.9399999976158142,1389,0.0,0.8703703880310059,,,,,,,
9,,,,,1389,,,0.014799471944570541,0.2845149338245392,,,,,
10,0.0,0.48500001430511475,0.2848314046859741,0.9700000286102295,1528,0.0,0.8981481194496155,,,,,,,
10,,,,,1528,,,0.018032297492027283,0.27889493107795715,,,,,
11,0.0,0.49000000953674316,0.2967531681060791,0.9800000190734863,1667,0.0,0.9074074029922485,,,,,,,
11,,,,,1667,,,0.0238178838044405,0.278656542301178,,,,,
12,0.0,0.47999998927116394,0.28078457713127136,0.9599999785423279,1806,0.0,0.8888888955116272,,,,,,,
12,,,,,1806,,,0.027416357770562172,0.2800639271736145,,,,,
13,0.0,0.49000000953674316,0.29942798614501953,0.9800000190734863,1945,0.0,0.9074074029922485,,,,,,,
13,,,,,1945,,,0.023947792127728462,0.2684047818183899,,,,,
14,0.0,0.47999998927116394,0.29487359523773193,0.9599999785423279,2084,0.0,0.8888888955116272,,,,,,,
14,,,,,2084,,,0.028954315930604935,0.27211472392082214,,,,,
15,0.0,0.49000000953674316,0.30597686767578125,0.9800000190734863,2223,0.0,0.9074074029922485,,,,,,,
15,,,,,2223,,,0.02828879840672016,0.26833465695381165,,,,,
16,0.0,0.49000000953674316,0.28669214248657227,0.9800000190734863,2362,0.0,0.9074074029922485,,,,,,,
16,,,,,2362,,,0.035953082144260406,0.2680690884590149,,,,,
17,0.0,0.47999998927116394,0.26606878638267517,0.9599999785423279,2501,0.0,0.8888888955116272,,,,,,,
17,,,,,2501,,,0.030626699328422546,0.2643040716648102,,,,,
18,0.0,0.48500001430511475,0.3020613491535187,0.9700000286102295,2640,0.0,0.8981481194496155,,,,,,,
18,,,,,2640,,,0.03713366016745567,0.26506537199020386,,,,,
19,0.0,0.48500001430511475,0.286776602268219,0.9700000286102295,2779,0.0,0.8981481194496155,,,,,,,
19,,,,,2779,,,0.03746118023991585,0.2591138482093811,,,,,
20,,,,,2780,,,,,0.4858870804309845,0.971774160861969,0.8959107995033264,0.0,0.0
20,,,,,2780,,,,,0.49395161867141724,0.9879032373428345,0.910780668258667,0.0,0.0
20,,,,,2780,,,,,0.49798384308815,0.9959676861763,0.9182156324386597,0.0,0.0
