val_accuracy,val_sensitivity,epoch,val_loss,step,val_auroc,val_specificity,val_precision,train_loss,unlabeled_data_utilization,test_specificity,test_accuracy,test_auroc,test_sensitivity,test_precision
0.557894766330719,0.0,0,0.618506669998169,26,0.5,1.0,0.0,,,,,,,
,,0,,26,,,,0.6246684789657593,0.0,,,,,
0.5263158082962036,0.0,1,0.6485760807991028,53,0.4716981053352356,0.9433962106704712,0.0,,,,,,,
,,1,,53,,,,0.6213971972465515,0.0,,,,,
0.557894766330719,0.0,2,0.6148708462715149,80,0.5,1.0,0.0,,,,,,,
,,2,,80,,,,0.6173047423362732,0.0,,,,,
0.5473684072494507,0.0476190485060215,3,0.6538609266281128,107,0.4955076575279236,0.9433962106704712,0.4000000059604645,,,,,,,
,,3,,107,,,,0.6162501573562622,0.0,,,,,
0.5368421077728271,0.0,4,0.6968693137168884,134,0.4811321198940277,0.9622642397880554,0.0,,,,,,,
,,4,,134,,,,0.6186274290084839,0.0,,,,,
0.5473684072494507,0.0,5,0.869377076625824,161,0.49056604504585266,0.9811320900917053,0.0,,,,,,,
,,5,,161,,,,0.6168233752250671,0.0,,,,,
0.557894766330719,0.0,6,0.7385576963424683,188,0.5,1.0,0.0,,,,,,,
,,6,,188,,,,0.6197549104690552,0.0,,,,,
0.5473684072494507,0.02380952425301075,7,0.7283807992935181,215,0.4930368661880493,0.9622642397880554,0.3333333432674408,,,,,,,
,,7,,215,,,,0.6128643155097961,0.0,,,,,
0.557894766330719,0.0,8,0.6254127621650696,242,0.5,1.0,0.0,,,,,,,
,,8,,242,,,,0.6199344396591187,0.0,,,,,
0.5263158082962036,0.0,9,1.2461755275726318,269,0.4716981053352356,0.9433962106704712,0.0,,,,,,,
,,9,,269,,,,0.6171399354934692,0.0,,,,,
0.5473684072494507,0.0,10,0.6609141826629639,296,0.49056604504585266,0.9811320900917053,0.0,,,,,,,
,,10,,296,,,,0.6228069067001343,0.0,,,,,
0.557894766330719,0.0,11,0.662734866142273,323,0.5,1.0,0.0,,,,,,,
,,11,,323,,,,0.6214514970779419,0.0,,,,,
0.5473684072494507,0.0,12,0.7440164089202881,350,0.49056604504585266,0.9811320900917053,0.0,,,,,,,
,,12,,350,,,,0.6118589043617249,0.0,,,,,
0.5368421077728271,0.0,13,0.7296000719070435,377,0.4811321198940277,0.9622642397880554,0.0,,,,,,,
,,13,,377,,,,0.6160604953765869,0.0,,,,,
0.557894766330719,0.0,14,0.6754200458526611,404,0.5,1.0,0.0,,,,,,,
,,14,,404,,,,0.6100698113441467,0.0,,,,,
0.557894766330719,0.0,15,0.8873364329338074,431,0.5,1.0,0.0,,,,,,,
,,15,,431,,,,0.6211757659912109,0.0,,,,,
0.557894766330719,0.0,16,0.6605371832847595,458,0.5,1.0,0.0,,,,,,,
,,16,,458,,,,0.6141582727432251,0.0,,,,,
0.5473684072494507,0.0,17,0.9963501691818237,485,0.49056604504585266,0.9811320900917053,0.0,,,,,,,
,,17,,485,,,,0.615201473236084,0.0,,,,,
0.5894736647605896,0.0714285746216774,18,0.8643380999565125,512,0.5357142686843872,1.0,1.0,,,,,,,
,,18,,512,,,,0.609110951423645,0.0,,,,,
0.5789473652839661,0.0476190485060215,19,0.7357422113418579,539,0.523809552192688,1.0,1.0,,,,,,,
,,19,,539,,,,0.6142968535423279,0.0,,,,,
0.6631578803062439,0.2380952388048172,20,0.9750545024871826,566,0.6190476417541504,1.0,1.0,,,,,,,
,,20,,566,,,,0.5998623371124268,0.0,,,,,
0.7052631378173828,0.3333333432674408,21,0.6088556051254272,593,0.6666666865348816,1.0,1.0,,,,,,,
,,21,,593,,,,0.586759626865387,0.0,,,,,
0.7368420958518982,0.4523809850215912,22,1.9381474256515503,620,0.7073225378990173,0.9622642397880554,0.9047619700431824,,,,,,,
,,22,,620,,,,0.5726615190505981,0.0,,,,,
0.7368420958518982,0.4523809850215912,23,0.9536114931106567,647,0.7073225378990173,0.9622642397880554,0.9047619700431824,,,,,,,
,,23,,647,,,,0.5531882643699646,0.0,,,,,
0.7157894968986511,0.5,24,0.666178286075592,674,0.6933962106704712,0.8867924809455872,0.7777778506278992,,,,,,,
,,24,,674,,,,0.5446696281433105,0.0,,,,,
0.7684210538864136,0.5476190447807312,25,0.6422545313835144,701,0.7455076575279236,0.9433962106704712,0.8846153616905212,,,,,,,
,,25,,701,,,,0.5228744745254517,0.0,,,,,
0.7473683953285217,0.6190476417541504,26,1.06612229347229,728,0.7340521812438965,0.849056601524353,0.7647058367729187,,,,,,,
,,26,,728,,,,0.5082294344902039,0.0,,,,,
0.7473683953285217,0.5714285969734192,27,0.845800518989563,755,0.7291104793548584,0.8867924809455872,0.800000011920929,,,,,,,
,,27,,755,,,,0.517838716506958,0.0,,,,,
0.7473683953285217,0.5714285969734192,28,0.6899110674858093,782,0.7291104793548584,0.8867924809455872,0.800000011920929,,,,,,,
,,28,,782,,,,0.5100144147872925,0.0,,,,,
0.7789473533630371,0.5952380895614624,29,0.5750394463539124,809,0.7598832249641418,0.9245282411575317,0.8620689511299133,,,,,,,
,,29,,809,,,,0.4916507601737976,0.0,,,,,
0.7473683953285217,0.5476190447807312,30,1.4513697624206543,836,0.7266397476196289,0.9056603908538818,0.8214285373687744,,,,,,,
,,30,,836,,,,0.4745786488056183,0.0,,,,,
0.75789475440979,0.6190476417541504,31,0.6473751664161682,863,0.7434860467910767,0.8679245114326477,0.7878788113594055,,,,,,,
,,31,,863,,,,0.4705521762371063,0.0,,,,,
0.7789473533630371,0.6190476417541504,32,0.9553744792938232,890,0.7623540163040161,0.9056603908538818,0.8387095928192139,,,,,,,
,,32,,890,,,,0.4702441692352295,0.0,,,,,
0.7684210538864136,0.6428571343421936,33,0.6810699701309204,917,0.7553907632827759,0.8679245114326477,0.7941176295280457,,,,,,,
,,33,,917,,,,0.4588813781738281,0.0,,,,,
0.7684210538864136,0.6190476417541504,34,1.0184502601623535,944,0.7529200315475464,0.8867924809455872,0.8125,,,,,,,
,,34,,944,,,,0.4505043923854828,0.0,,,,,
0.7263157963752747,0.6428571343421936,35,0.5736531019210815,971,0.7176550030708313,0.792452871799469,0.7105262875556946,,,,,,,
,,35,,971,,,,0.4482395648956299,0.0,,,,,
0.8105263113975525,0.6666666865348816,36,0.5756414532661438,998,0.795597493648529,0.9245282411575317,0.875,,,,,,,
,,36,,998,,,,0.4438183009624481,0.0,,,,,
0.75789475440979,0.6428571343421936,37,0.5164569616317749,1025,0.7459568381309509,0.849056601524353,0.7714285850524902,,,,,,,
,,37,,1025,,,,0.4399617314338684,0.0,,,,,
0.800000011920929,0.738095223903656,38,0.4996989071369171,1052,0.7935759425163269,0.849056601524353,0.7948718667030334,,,,,,,
,,38,,1052,,,,0.4294140934944153,0.0,,,,,
0.800000011920929,0.738095223903656,39,1.0545563697814941,1079,0.7935759425163269,0.849056601524353,0.7948718667030334,,,,,,,
,,39,,1079,,,,0.4305286407470703,0.0,,,,,
0.7684210538864136,0.6904761791229248,40,0.6043333411216736,1106,0.760332465171814,0.8301886916160583,0.7631579041481018,,,,,,,
,,40,,1106,,,,0.4134533107280731,0.0,,,,,
0.7789473533630371,0.7142857313156128,41,0.6195475459098816,1133,0.7722371816635132,0.8301886916160583,0.7692307829856873,,,,,,,
,,41,,1133,,,,0.4005647897720337,0.0,,,,,
0.7789473533630371,0.6666666865348816,42,0.6661585569381714,1160,0.7672956585884094,0.8679245114326477,0.800000011920929,,,,,,,
,,42,,1160,,,,0.39241519570350647,0.0,,,,,
0.75789475440979,0.6904761791229248,43,0.4166049659252167,1187,0.7508984804153442,0.8113208413124084,0.7435897588729858,,,,,,,
,,43,,1187,,,,0.4125365912914276,0.0,,,,,
0.7473683953285217,0.6428571343421936,44,0.8252770900726318,1214,0.7365228533744812,0.8301886916160583,0.75,,,,,,,
,,44,,1214,,,,0.4080573320388794,0.0,,,,,
0.7684210538864136,0.6666666865348816,45,0.4987699091434479,1241,0.7578616738319397,0.849056601524353,0.7777778506278992,,,,,,,
,,45,,1241,,,,0.4046313166618347,0.0,,,,,
0.7789473533630371,0.6904761791229248,46,0.5481712818145752,1268,0.7697663903236389,0.849056601524353,0.7837837338447571,,,,,,,
,,46,,1268,,,,0.38016045093536377,0.0,,,,,
0.800000011920929,0.738095223903656,47,0.43271011114120483,1295,0.7935759425163269,0.849056601524353,0.7948718667030334,,,,,,,
,,47,,1295,,,,0.36589333415031433,0.0,,,,,
0.7473683953285217,0.6190476417541504,48,0.4919830858707428,1322,0.7340521812438965,0.849056601524353,0.7647058367729187,,,,,,,
,,48,,1322,,,,0.3891468644142151,0.0,,,,,
0.7684210538864136,0.738095223903656,49,0.47585442662239075,1349,0.7652739882469177,0.792452871799469,0.738095223903656,,,,,,,
,,49,,1349,,,,0.38191983103752136,0.0,,,,,
0.7473683953285217,0.761904776096344,50,0.613615095615387,1376,0.7488768696784973,0.7358490824699402,0.695652186870575,,,,,,,
,,50,,1376,,,,0.3729943037033081,0.0,,,,,
0.7684210538864136,0.6904761791229248,51,0.4472419023513794,1403,0.760332465171814,0.8301886916160583,0.7631579041481018,,,,,,,
,,51,,1403,,,,0.3907444179058075,0.0,,,,,
0.7894737124443054,0.6904761791229248,52,0.5112988948822021,1430,0.7792003154754639,0.8679245114326477,0.8055555820465088,,,,,,,
,,52,,1430,,,,0.36711254715919495,0.0,,,,,
0.800000011920929,0.6904761791229248,53,0.5292420387268066,1457,0.7886343002319336,0.8867924809455872,0.8285714387893677,,,,,,,
,,53,,1457,,,,0.35613325238227844,0.0,,,,,
0.7894737124443054,0.7142857313156128,54,0.4302695095539093,1484,0.7816711664199829,0.849056601524353,0.7894737124443054,,,,,,,
,,54,,1484,,,,0.369672954082489,0.0,,,,,
0.7894737124443054,0.7857142686843872,55,0.4873841404914856,1511,0.7890835404396057,0.792452871799469,0.75,,,,,,,
,,55,,1511,,,,0.3631007671356201,0.0,,,,,
0.7894737124443054,0.738095223903656,56,0.4580046534538269,1538,0.7841419577598572,0.8301886916160583,0.7749999761581421,,,,,,,
