val_loss,epoch,val_precision,val_specificity,step,val_sensitivity,val_accuracy,val_auroc,unlabeled_data_utilization,train_loss,test_accuracy,test_sensitivity,test_specificity,test_auroc,test_precision
0.15712274610996246,0,0.4421052634716034,0.0,26,1.0,0.4421052634716034,0.5,,,,,,,
,0,,,26,,,,0.0,0.20007847249507904,,,,,
0.4975450932979584,1,0.3333333432674408,0.8867924809455872,53,0.0714285746216774,0.5263158082962036,0.4791104793548584,,,,,,,
,1,,,53,,,,0.0,0.20079609751701355,,,,,
0.4625018537044525,2,0.4000000059604645,0.8867924809455872,80,0.095238097012043,0.5368421077728271,0.4910152554512024,,,,,,,
,2,,,80,,,,0.0,0.2002391368150711,,,,,
0.28897255659103394,3,0.75,0.9811320900917053,107,0.0714285746216774,0.5789473652839661,0.5262802839279175,,,,,,,
,3,,,107,,,,0.0,0.20003528892993927,,,,,
0.23317061364650726,4,0.6666666865348816,0.9811320900917053,134,0.0476190485060215,0.5684210658073425,0.514375627040863,,,,,,,
,4,,,134,,,,0.0,0.2008274644613266,,,,,
0.45318761467933655,5,0.75,0.9811320900917053,161,0.0714285746216774,0.5789473652839661,0.5262802839279175,,,,,,,
,5,,,161,,,,0.0,0.19999998807907104,,,,,
0.9977976083755493,6,0.5,0.9433962106704712,188,0.0714285746216774,0.557894766330719,0.5074123740196228,,,,,,,
,6,,,188,,,,0.0,0.2004041224718094,,,,,
0.28239914774894714,7,0.5,0.9056603908538818,215,0.1190476194024086,0.557894766330719,0.5123540163040161,,,,,,,
,7,,,215,,,,0.0,0.19999998807907104,,,,,
0.437607079744339,8,0.5,0.9811320900917053,242,0.02380952425301075,0.557894766330719,0.5024707913398743,,,,,,,
,8,,,242,,,,0.0,0.200585275888443,,,,,
0.46290984749794006,9,1.0,1.0,269,0.0476190485060215,0.5789473652839661,0.523809552192688,,,,,,,
,9,,,269,,,,0.0,0.19999998807907104,,,,,
0.4365744888782501,10,0.375,0.9056603908538818,296,0.0714285746216774,0.5368421077728271,0.4885444641113281,,,,,,,
,10,,,296,,,,0.0,0.20018450915813446,,,,,
0.40493789315223694,11,0.875,0.9811320900917053,323,0.1666666716337204,0.621052622795105,0.5738993287086487,,,,,,,
,11,,,323,,,,0.0,0.19999998807907104,,,,,
0.30236777663230896,12,0.6666666865348816,0.9622642397880554,350,0.095238097012043,0.5789473652839661,0.5287511348724365,,,,,,,
,12,,,350,,,,0.0,0.20009298622608185,,,,,
0.33153674006462097,13,0.6666666865348816,0.9622642397880554,377,0.095238097012043,0.5789473652839661,0.5287511348724365,,,,,,,
,13,,,377,,,,0.0,0.20072831213474274,,,,,
0.3801727592945099,14,0.4444444477558136,0.9056603908538818,404,0.095238097012043,0.5473684072494507,0.5004492402076721,,,,,,,
,14,,,404,,,,0.0,0.20069797337055206,,,,,
0.5295592546463013,15,0.5714285969734192,0.9433962106704712,431,0.095238097012043,0.5684210658073425,0.5193171501159668,,,,,,,
,15,,,431,,,,0.0,0.19999998807907104,,,,,
0.4755868911743164,16,0.699999988079071,0.9433962106704712,458,0.1666666716337204,0.6000000238418579,0.555031418800354,,,,,,,
,16,,,458,,,,0.0,0.2001819759607315,,,,,
0.25410494208335876,17,0.5555555820465088,0.9245282411575317,485,0.1190476194024086,0.5684210658073425,0.5217879414558411,,,,,,,
,17,,,485,,,,0.0,0.20021958649158478,,,,,
0.22634154558181763,18,0.8333333134651184,0.9811320900917053,512,0.1190476194024086,0.6000000238418579,0.5500898361206055,,,,,,,
,18,,,512,,,,0.0,0.19999998807907104,,,,,
0.32059627771377563,19,0.6666666865348816,0.9433962106704712,539,0.1428571492433548,0.5894736647605896,0.5431267023086548,,,,,,,
,19,,,539,,,,0.0,0.19999998807907104,,,,,
0.21466302871704102,20,0.75,0.9622642397880554,566,0.1428571492433548,0.6000000238418579,0.5525606870651245,,,,,,,
,20,,,566,,,,0.0,0.19999998807907104,,,,,
0.43522578477859497,21,0.8571428656578064,0.9811320900917053,593,0.1428571492433548,0.6105263233184814,0.5619946718215942,,,,,,,
,21,,,593,,,,0.0,0.20093515515327454,,,,,
0.2946144640445709,22,0.7142857313156128,0.9622642397880554,620,0.1190476194024086,0.5894736647605896,0.5406559109687805,,,,,,,
,22,,,620,,,,0.0,0.20018163323402405,,,,,
0.20619556307792664,23,0.7142857313156128,0.9622642397880554,647,0.1190476194024086,0.5894736647605896,0.5406559109687805,,,,,,,
,23,,,647,,,,0.0,0.19999998807907104,,,,,
0.30898717045783997,24,0.75,0.9811320900917053,674,0.0714285746216774,0.5789473652839661,0.5262802839279175,,,,,,,
,24,,,674,,,,0.0,0.19999998807907104,,,,,
0.4248649477958679,25,0.5714285969734192,0.9433962106704712,701,0.095238097012043,0.5684210658073425,0.5193171501159668,,,,,,,
,25,,,701,,,,0.0,0.19999998807907104,,,,,
0.5546642541885376,26,0.8333333134651184,0.9811320900917053,728,0.1190476194024086,0.6000000238418579,0.5500898361206055,,,,,,,
,26,,,728,,,,0.0,0.19999998807907104,,,,,
0.46174150705337524,27,0.375,0.9056603908538818,755,0.0714285746216774,0.5368421077728271,0.4885444641113281,,,,,,,
,27,,,755,,,,0.0,0.20040111243724823,,,,,
0.27968502044677734,28,0.3333333432674408,0.9245282411575317,782,0.0476190485060215,0.5368421077728271,0.48607367277145386,,,,,,,
,28,,,782,,,,0.0,0.19999998807907104,,,,,
0.1644538789987564,29,0.5,0.9056603908538818,809,0.1190476194024086,0.557894766330719,0.5123540163040161,,,,,,,
,29,,,809,,,,0.0,0.19999998807907104,,,,,
0.41005784273147583,30,0.5555555820465088,0.9245282411575317,836,0.1190476194024086,0.5684210658073425,0.5217879414558411,,,,,,,
,30,,,836,,,,0.0,0.19999998807907104,,,,,
0.2575345039367676,31,0.4545454680919647,0.8867924809455872,863,0.1190476194024086,0.5473684072494507,0.5029200315475464,,,,,,,
,31,,,863,,,,0.0,0.19999998807907104,,,,,
0.22909663617610931,32,0.3333333432674408,0.8867924809455872,890,0.0714285746216774,0.5263158082962036,0.4791104793548584,,,,,,,
,32,,,890,,,,0.0,0.19999998807907104,,,,,
0.41972804069519043,33,0.6000000238418579,0.9622642397880554,917,0.0714285746216774,0.5684210658073425,0.5168463587760925,,,,,,,
,33,,,917,,,,0.0,0.19999998807907104,,,,,
0.2666306495666504,34,0.5,0.9245282411575317,944,0.095238097012043,0.557894766330719,0.5098831653594971,,,,,,,
,34,,,944,,,,0.0,0.19999998807907104,,,,,
0.28945669531822205,35,0.25,0.9433962106704712,971,0.02380952425301075,0.5368421077728271,0.4836028516292572,,,,,,,
,35,,,971,,,,0.0,0.20018337666988373,,,,,
0.25169968605041504,36,0.4285714328289032,0.9245282411575317,998,0.0714285746216774,0.5473684072494507,0.49797841906547546,,,,,,,
,36,,,998,,,,0.0,0.19999998807907104,,,,,
0.36792001128196716,37,0.5,0.9245282411575317,1025,0.095238097012043,0.557894766330719,0.5098831653594971,,,,,,,
,37,,,1025,,,,0.0,0.20000512897968292,,,,,
0.33048126101493835,38,0.75,0.9811320900917053,1052,0.0714285746216774,0.5789473652839661,0.5262802839279175,,,,,,,
,38,,,1052,,,,0.0,0.19999998807907104,,,,,
0.30725938081741333,39,1.0,1.0,1079,0.095238097012043,0.6000000238418579,0.5476190447807312,,,,,,,
,39,,,1079,,,,0.0,0.20000922679901123,,,,,
0.3381779193878174,40,0.3333333432674408,0.9245282411575317,1106,0.0476190485060215,0.5368421077728271,0.48607367277145386,,,,,,,
,40,,,1106,,,,0.0,0.20001320540905,,,,,
0.6058037281036377,41,0.30000001192092896,0.8679245114326477,1133,0.0714285746216774,0.5157894492149353,0.46967652440071106,,,,,,,
,41,,,1133,,,,0.0,0.19999998807907104,,,,,
0.702360987663269,42,0.0,0.8867924809455872,1160,0.0,0.49473685026168823,0.4433962106704712,,,,,,,
