epoch,val_sensitivity,val_accuracy,val_specificity,val_precision,step,val_auroc,val_loss,unlabeled_data_utilization,train_loss,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
0,0.6666666865348816,0.6947368383407593,0.7169811129570007,0.6511628031730652,33,0.6918239593505859,0.5706028342247009,,,,,,,
0,,,,,33,,,0.02162078581750393,0.5925746560096741,,,,,
1,0.738095223903656,0.7368420958518982,0.7358490824699402,0.6888888478279114,67,0.7369721531867981,0.5738278031349182,,,,,,,
1,,,,,67,,,0.18282395601272583,0.5386172533035278,,,,,
2,0.5714285969734192,0.7263157963752747,0.849056601524353,0.75,101,0.7102425694465637,0.4398396611213684,,,,,,,
2,,,,,101,,,0.3581678867340088,0.5270792841911316,,,,,
3,0.5952380895614624,0.7368420958518982,0.849056601524353,0.7575757503509521,135,0.7221473455429077,0.6215139031410217,,,,,,,
3,,,,,135,,,0.5055692195892334,0.5103699564933777,,,,,
4,0.6428571343421936,0.7684210538864136,0.8679245114326477,0.7941176295280457,169,0.7553907632827759,0.46885573863983154,,,,,,,
4,,,,,169,,,0.5488723516464233,0.5385212302207947,,,,,
5,0.6428571343421936,0.7894737124443054,0.9056603908538818,0.84375,203,0.7742587327957153,0.4819014370441437,,,,,,,
5,,,,,203,,,0.6029844880104065,0.5134762525558472,,,,,
6,0.6190476417541504,0.7894737124443054,0.9245282411575317,0.8666666746139526,237,0.7717880010604858,0.4528040885925293,,,,,,,
6,,,,,237,,,0.6326683759689331,0.4857293665409088,,,,,
7,0.6666666865348816,0.800000011920929,0.9056603908538818,0.8484848737716675,271,0.7861635684967041,0.5429266691207886,,,,,,,
7,,,,,271,,,0.6308438181877136,0.4984564483165741,,,,,
8,0.6190476417541504,0.7684210538864136,0.8867924809455872,0.8125,305,0.7529200315475464,0.432168185710907,,,,,,,
8,,,,,305,,,0.6306524872779846,0.48984766006469727,,,,,
9,0.6428571343421936,0.7789473533630371,0.8867924809455872,0.8181818127632141,339,0.7648246884346008,0.527765691280365,,,,,,,
9,,,,,339,,,0.6534614562988281,0.49862542748451233,,,,,
10,0.6904761791229248,0.7789473533630371,0.849056601524353,0.7837837338447571,373,0.7697663903236389,0.3913314938545227,,,,,,,
10,,,,,373,,,0.6342563629150391,0.46013355255126953,,,,,
11,0.6666666865348816,0.7789473533630371,0.8679245114326477,0.800000011920929,407,0.7672956585884094,0.4120815396308899,,,,,,,
11,,,,,407,,,0.659186065196991,0.4896007180213928,,,,,
12,0.738095223903656,0.800000011920929,0.849056601524353,0.7948718667030334,441,0.7935759425163269,0.4290863573551178,,,,,,,
12,,,,,441,,,0.6625713109970093,0.46603140234947205,,,,,
13,0.6904761791229248,0.8105263113975525,0.9056603908538818,0.8529411554336548,475,0.7980683445930481,0.42972439527511597,,,,,,,
13,,,,,475,,,0.6674304008483887,0.4501698315143585,,,,,
14,0.6904761791229248,0.8105263113975525,0.9056603908538818,0.8529411554336548,509,0.7980683445930481,0.4152185022830963,,,,,,,
14,,,,,509,,,0.6843473315238953,0.42107096314430237,,,,,
15,0.7142857313156128,0.821052610874176,0.9056603908538818,0.8571428656578064,543,0.8099730610847473,0.47143176198005676,,,,,,,
15,,,,,543,,,0.6959901452064514,0.429095059633255,,,,,
16,0.6904761791229248,0.800000011920929,0.8867924809455872,0.8285714387893677,577,0.7886343002319336,0.43797722458839417,,,,,,,
16,,,,,577,,,0.6935330629348755,0.4134191870689392,,,,,
17,0.6666666865348816,0.7894737124443054,0.8867924809455872,0.8235294818878174,611,0.7767295241355896,0.5273154377937317,,,,,,,
17,,,,,611,,,0.7016931176185608,0.42737334966659546,,,,,
18,0.6666666865348816,0.8105263113975525,0.9245282411575317,0.875,645,0.795597493648529,0.3901795744895935,,,,,,,
18,,,,,645,,,0.6783732175827026,0.4420143961906433,,,,,
19,0.6666666865348816,0.8105263113975525,0.9245282411575317,0.875,679,0.795597493648529,0.4387417733669281,,,,,,,
19,,,,,679,,,0.7007038593292236,0.39035657048225403,,,,,
20,0.6666666865348816,0.7894737124443054,0.8867924809455872,0.8235294818878174,713,0.7767295241355896,0.5250502228736877,,,,,,,
20,,,,,713,,,0.710812509059906,0.4068290591239929,,,,,
21,0.6904761791229248,0.800000011920929,0.8867924809455872,0.8285714387893677,747,0.7886343002319336,0.4886389374732971,,,,,,,
21,,,,,747,,,0.7247343063354492,0.39733126759529114,,,,,
22,0.6666666865348816,0.7789473533630371,0.8679245114326477,0.800000011920929,781,0.7672956585884094,0.4909508228302002,,,,,,,
22,,,,,781,,,0.7141767740249634,0.40661826729774475,,,,,
23,0.6904761791229248,0.8105263113975525,0.9056603908538818,0.8529411554336548,815,0.7980683445930481,0.4556332528591156,,,,,,,
23,,,,,815,,,0.7176036834716797,0.40741613507270813,,,,,
24,0.738095223903656,0.8421052694320679,0.9245282411575317,0.8857142925262451,849,0.831311821937561,0.5542111396789551,,,,,,,
24,,,,,849,,,0.7345738410949707,0.40844056010246277,,,,,
25,0.6904761791229248,0.800000011920929,0.8867924809455872,0.8285714387893677,883,0.7886343002319336,0.5265783667564392,,,,,,,
25,,,,,883,,,0.7236005663871765,0.392090380191803,,,,,
26,0.761904776096344,0.8315789699554443,0.8867924809455872,0.8421052694320679,917,0.824348509311676,0.45951834321022034,,,,,,,
26,,,,,917,,,0.7194787263870239,0.38282573223114014,,,,,
27,0.761904776096344,0.8315789699554443,0.8867924809455872,0.8421052694320679,951,0.824348509311676,0.4840376675128937,,,,,,,
27,,,,,951,,,0.726437509059906,0.4014143943786621,,,,,
28,0.7142857313156128,0.8315789699554443,0.9245282411575317,0.8823529481887817,985,0.8194069862365723,0.4806753396987915,,,,,,,
28,,,,,985,,,0.7255963087081909,0.3747192323207855,,,,,
29,0.7142857313156128,0.8105263113975525,0.8867924809455872,0.8333333134651184,1019,0.8005390167236328,0.4454496204853058,,,,,,,
