val_accuracy,val_specificity,epoch,val_loss,val_sensitivity,val_precision,step,val_auroc,unlabeled_data_utilization,train_loss,test_specificity,test_accuracy,test_precision,test_sensitivity,test_auroc
0.557894766330719,1.0,0,1.1093190908432007,0.0,0.0,26,0.5,,,,,,,
,,0,,,,26,,0.0,1.12715482711792,,,,,
0.5473684072494507,0.9811320900917053,1,2.808589220046997,0.0,0.0,53,0.49056604504585266,,,,,,,
,,1,,,,53,,0.0,1.0879244804382324,,,,,
0.621052622795105,0.9622642397880554,2,2.8705432415008545,0.190476194024086,0.800000011920929,80,0.5763701796531677,,,,,,,
,,2,,,,80,,0.0,1.0660820007324219,,,,,
0.6000000238418579,0.9622642397880554,3,3.27284836769104,0.1428571492433548,0.75,107,0.5525606870651245,,,,,,,
,,3,,,,107,,0.0,1.03797447681427,,,,,
0.6421052813529968,0.9811320900917053,4,1.503118634223938,0.2142857164144516,0.8999999761581421,134,0.5977088809013367,,,,,,,
,,4,,,,134,,0.0,0.964104950428009,,,,,
0.6631578803062439,0.9433962106704712,5,1.2976316213607788,0.3095238208770752,0.8125,161,0.6264600157737732,,,,,,,
,,5,,,,161,,0.0,0.9257199168205261,,,,,
0.6421052813529968,0.9056603908538818,6,1.6069730520248413,0.3095238208770752,0.7222221493721008,188,0.6075921058654785,,,,,,,
,,6,,,,188,,0.0,0.8962357640266418,,,,,
0.6947368383407593,0.9245282411575317,7,1.9485046863555908,0.4047619104385376,0.8095238208770752,215,0.6646451354026794,,,,,,,
,,7,,,,215,,0.0,0.8849799036979675,,,,,
0.7263157963752747,0.9245282411575317,8,2.280468702316284,0.4761904776096344,0.8333333134651184,242,0.7003592848777771,,,,,,,
,,8,,,,242,,0.0,0.8568279147148132,,,,,
0.7157894968986511,0.9622642397880554,9,1.67840576171875,0.4047619104385376,0.8947368264198303,269,0.6835130453109741,,,,,,,
,,9,,,,269,,0.0,0.8318972587585449,,,,,
0.7263157963752747,0.9245282411575317,10,1.1787571907043457,0.4761904776096344,0.8333333134651184,296,0.7003592848777771,,,,,,,
,,10,,,,296,,0.0,0.769446074962616,,,,,
