val_sensitivity,val_precision,step,val_loss,epoch,val_specificity,val_auroc,val_accuracy,train_loss,unlabeled_data_utilization,test_accuracy,test_specificity,test_auroc,test_sensitivity,test_precision
0.02380952425301075,1.0,26,0.6556812524795532,0,1.0,0.511904776096344,0.5684210658073425,,,,,,,
,,26,,0,,,,0.6308570504188538,0.0052533880807459354,,,,,
0.1666666716337204,0.5,53,0.9443277716636658,1,0.8679245114326477,0.5172955989837646,0.557894766330719,,,,,,,
,,53,,1,,,,0.6227244138717651,0.005906573496758938,,,,,
0.2142857164144516,0.75,80,0.9695110321044922,2,0.9433962106704712,0.578840970993042,0.621052622795105,,,,,,,
,,80,,2,,,,0.6019642353057861,0.01280699297785759,,,,,
0.3333333432674408,0.7368420958518982,107,2.3051950931549072,3,0.9056603908538818,0.6194968819618225,0.6526315808296204,,,,,,,
,,107,,3,,,,0.5978072285652161,0.014711359515786171,,,,,
0.4761904776096344,0.9523809552192688,134,0.9944718480110168,4,0.9811320900917053,0.7286612391471863,0.75789475440979,,,,,,,
,,134,,4,,,,0.5659637451171875,0.015977466478943825,,,,,
0.3333333432674408,0.9333332777023315,161,0.8324950933456421,5,0.9811320900917053,0.6572327613830566,0.6947368383407593,,,,,,,
,,161,,5,,,,0.5695217251777649,0.03326496481895447,,,,,
0.4761904776096344,0.9523809552192688,188,0.6481648087501526,6,0.9811320900917053,0.7286612391471863,0.75789475440979,,,,,,,
,,188,,6,,,,0.542595624923706,0.035496581345796585,,,,,
0.523809552192688,0.9166666865348816,215,0.6961141228675842,7,0.9622642397880554,0.7430369257926941,0.7684210538864136,,,,,,,
,,215,,7,,,,0.5147951245307922,0.0659162700176239,,,,,
0.5,0.9545454382896423,242,0.5230850577354431,8,0.9811320900917053,0.740566074848175,0.7684210538864136,,,,,,,
,,242,,8,,,,0.5315248966217041,0.09639997780323029,,,,,
0.523809552192688,0.95652174949646,269,0.6217232346534729,9,0.9811320900917053,0.7524707913398743,0.7789473533630371,,,,,,,
,,269,,9,,,,0.551487922668457,0.10095618665218353,,,,,
0.5476190447807312,0.9583333134651184,296,1.2292519807815552,10,0.9811320900917053,0.764375627040863,0.7894737124443054,,,,,,,
,,296,,10,,,,0.5174952745437622,0.1137838140130043,,,,,
0.5476190447807312,0.9200000166893005,323,0.9968906044960022,11,0.9622642397880554,0.7549417018890381,0.7789473533630371,,,,,,,
,,323,,11,,,,0.5373943448066711,0.13097357749938965,,,,,
0.5952380895614624,0.9615384340286255,350,0.6686452031135559,12,0.9811320900917053,0.7881851196289062,0.8105263113975525,,,,,,,
,,350,,12,,,,0.5260598063468933,0.14854878187179565,,,,,
0.6190476417541504,0.9629629850387573,377,0.6999122500419617,13,0.9811320900917053,0.8000898957252502,0.821052610874176,,,,,,,
,,377,,13,,,,0.5201659202575684,0.15622684359550476,,,,,
0.5714285969734192,0.9599999785423279,404,0.6043262481689453,14,0.9811320900917053,0.7762802839279175,0.800000011920929,,,,,,,
,,404,,14,,,,0.5194827318191528,0.1507055163383484,,,,,
0.5714285969734192,0.8888888955116272,431,0.7282817363739014,15,0.9433962106704712,0.7574123740196228,0.7789473533630371,,,,,,,
,,431,,15,,,,0.5195853114128113,0.17925989627838135,,,,,
0.5952380895614624,0.9615384340286255,458,0.542107105255127,16,0.9811320900917053,0.7881851196289062,0.8105263113975525,,,,,,,
,,458,,16,,,,0.5234397053718567,0.19024376571178436,,,,,
0.6428571343421936,0.9642857313156128,485,0.565321147441864,17,0.9811320900917053,0.8119946122169495,0.8315789699554443,,,,,,,
,,485,,17,,,,0.5148791670799255,0.18058782815933228,,,,,
0.5714285969734192,0.9230769276618958,512,1.1247504949569702,18,0.9622642397880554,0.7668463587760925,0.7894737124443054,,,,,,,
,,512,,18,,,,0.5277703404426575,0.20497050881385803,,,,,
0.6428571343421936,0.931034505367279,539,0.7563516497612,19,0.9622642397880554,0.8025606870651245,0.821052610874176,,,,,,,
,,539,,19,,,,0.5069648027420044,0.22539840638637543,,,,,
0.6666666865348816,0.875,566,0.557840883731842,20,0.9245282411575317,0.795597493648529,0.8105263113975525,,,,,,,
,,566,,20,,,,0.49355340003967285,0.22908616065979004,,,,,
0.5476190447807312,0.8846153616905212,593,0.5331745743751526,21,0.9433962106704712,0.7455076575279236,0.7684210538864136,,,,,,,
,,593,,21,,,,0.5274767875671387,0.2384970337152481,,,,,
0.5476190447807312,0.9583333134651184,620,0.5294226408004761,22,0.9811320900917053,0.764375627040863,0.7894737124443054,,,,,,,
,,620,,22,,,,0.4882163107395172,0.2362603098154068,,,,,
0.5952380895614624,0.8620689511299133,647,0.6342966556549072,23,0.9245282411575317,0.7598832249641418,0.7789473533630371,,,,,,,
,,647,,23,,,,0.5018300414085388,0.26664069294929504,,,,,
0.5714285969734192,0.9599999785423279,674,0.6080212593078613,24,0.9811320900917053,0.7762802839279175,0.800000011920929,,,,,,,
,,674,,24,,,,0.563075840473175,0.28636860847473145,,,,,
0.6190476417541504,0.9285714626312256,701,0.6738985776901245,25,0.9622642397880554,0.7906559109687805,0.8105263113975525,,,,,,,
,,701,,25,,,,0.5013627409934998,0.2425936609506607,,,,,
0.5714285969734192,0.9230769276618958,728,1.1651067733764648,26,0.9622642397880554,0.7668463587760925,0.7894737124443054,,,,,,,
,,728,,26,,,,0.49912023544311523,0.2697228193283081,,,,,
0.6666666865348816,0.9333332777023315,755,0.4416556656360626,27,0.9622642397880554,0.8144654631614685,0.8315789699554443,,,,,,,
,,755,,27,,,,0.48617181181907654,0.30610865354537964,,,,,
0.6904761791229248,0.9354839324951172,782,0.6949288845062256,28,0.9622642397880554,0.8263701796531677,0.8421052694320679,,,,,,,
,,782,,28,,,,0.5048412680625916,0.34168562293052673,,,,,
0.6904761791229248,0.9666666388511658,809,0.9560735821723938,29,0.9811320900917053,0.8358041644096375,0.8526315689086914,,,,,,,
,,809,,29,,,,0.5282340049743652,0.33772048354148865,,,,,
0.6190476417541504,1.0,836,0.4786745309829712,30,1.0,0.8095238208770752,0.8315789699554443,,,,,,,
,,836,,30,,,,0.5231378078460693,0.36160939931869507,,,,,
0.5952380895614624,0.9259259104728699,863,0.5250231027603149,31,0.9622642397880554,0.7787511944770813,0.800000011920929,,,,,,,
,,863,,31,,,,0.4980451166629791,0.32714059948921204,,,,,
0.6428571343421936,1.0,890,0.8574756979942322,32,1.0,0.8214285373687744,0.8421052694320679,,,,,,,
,,890,,32,,,,0.5026463270187378,0.3207883834838867,,,,,
0.6190476417541504,1.0,917,0.452860027551651,33,1.0,0.8095238208770752,0.8315789699554443,,,,,,,
,,917,,33,,,,0.4915458858013153,0.3398558497428894,,,,,
0.6666666865348816,1.0,944,0.40111568570137024,34,1.0,0.8333333730697632,0.8526315689086914,,,,,,,
,,944,,34,,,,0.4878899157047272,0.3575868308544159,,,,,
0.6428571343421936,1.0,971,0.4805585443973541,35,1.0,0.8214285373687744,0.8421052694320679,,,,,,,
,,971,,35,,,,0.4902115762233734,0.3616814613342285,,,,,
0.6666666865348816,0.9655172228813171,998,0.5264126062393188,36,0.9811320900917053,0.8238993883132935,0.8421052694320679,,,,,,,
,,998,,36,,,,0.5099947452545166,0.3713429868221283,,,,,
0.6428571343421936,0.8999999761581421,1025,0.6228625774383545,37,0.9433962106704712,0.79312664270401,0.8105263113975525,,,,,,,
,,1025,,37,,,,0.4946672320365906,0.38800713419914246,,,,,
0.6904761791229248,0.9354839324951172,1052,0.48285233974456787,38,0.9622642397880554,0.8263701796531677,0.8421052694320679,,,,,,,
,,1052,,38,,,,0.49584078788757324,0.3736557066440582,,,,,
0.7142857313156128,0.9375,1079,0.4152052104473114,39,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,1079,,39,,,,0.5091589689254761,0.3868873417377472,,,,,
0.6428571343421936,0.931034505367279,1106,0.5652177333831787,40,0.9622642397880554,0.8025606870651245,0.821052610874176,,,,,,,
,,1106,,40,,,,0.5014918446540833,0.3853728175163269,,,,,
0.6904761791229248,0.9666666388511658,1133,0.8352019190788269,41,0.9811320900917053,0.8358041644096375,0.8526315689086914,,,,,,,
,,1133,,41,,,,0.4857187271118164,0.3916781544685364,,,,,
0.6666666865348816,1.0,1160,0.4069441854953766,42,1.0,0.8333333730697632,0.8526315689086914,,,,,,,
,,1160,,42,,,,0.4910770058631897,0.43110227584838867,,,,,
0.6666666865348816,1.0,1187,0.4683155119419098,43,1.0,0.8333333730697632,0.8526315689086914,,,,,,,
,,1187,,43,,,,0.49866417050361633,0.4100525975227356,,,,,
0.6904761791229248,0.9354839324951172,1214,0.9884475469589233,44,0.9622642397880554,0.8263701796531677,0.8421052694320679,,,,,,,
,,1214,,44,,,,0.4966038763523102,0.42247065901756287,,,,,
0.6666666865348816,0.9655172228813171,1241,0.4251897633075714,45,0.9811320900917053,0.8238993883132935,0.8421052694320679,,,,,,,
,,1241,,45,,,,0.47187837958335876,0.4148334562778473,,,,,
0.6666666865348816,1.0,1268,0.3609106242656708,46,1.0,0.8333333730697632,0.8526315689086914,,,,,,,
,,1268,,46,,,,0.46830984950065613,0.4448906481266022,,,,,
0.6666666865348816,0.9032257795333862,1295,0.5059986710548401,47,0.9433962106704712,0.8050314784049988,0.821052610874176,,,,,,,
,,1295,,47,,,,0.4822785556316376,0.45640796422958374,,,,,
0.6904761791229248,0.9666666388511658,1322,0.6381904482841492,48,0.9811320900917053,0.8358041644096375,0.8526315689086914,,,,,,,
,,1322,,48,,,,0.5148300528526306,0.48009365797042847,,,,,
0.6904761791229248,0.9354839324951172,1349,0.41573822498321533,49,0.9622642397880554,0.8263701796531677,0.8421052694320679,,,,,,,
,,1349,,49,,,,0.518045961856842,0.4819391965866089,,,,,
0.6666666865348816,0.9032257795333862,1376,0.372953325510025,50,0.9433962106704712,0.8050314784049988,0.821052610874176,,,,,,,
,,1376,,50,,,,0.4799286127090454,0.4484168589115143,,,,,
0.6428571343421936,0.931034505367279,1403,0.41266006231307983,51,0.9622642397880554,0.8025606870651245,0.821052610874176,,,,,,,
,,1403,,51,,,,0.49084120988845825,0.4751131236553192,,,,,
0.6666666865348816,0.9655172228813171,1430,0.8605567812919617,52,0.9811320900917053,0.8238993883132935,0.8421052694320679,,,,,,,
,,1430,,52,,,,0.4822383522987366,0.46473634243011475,,,,,
0.761904776096344,0.9411764740943909,1457,0.42118486762046814,53,0.9622642397880554,0.8620845079421997,0.8736842274665833,,,,,,,
,,1457,,53,,,,0.47778648138046265,0.47210201621055603,,,,,
0.761904776096344,0.9142856597900391,1484,0.46238064765930176,54,0.9433962106704712,0.8526504635810852,0.8631578683853149,,,,,,,
,,1484,,54,,,,0.5091199278831482,0.48171013593673706,,,,,
0.761904776096344,0.9411764740943909,1511,0.3939880430698395,55,0.9622642397880554,0.8620845079421997,0.8736842274665833,,,,,,,
,,1511,,55,,,,0.46964314579963684,0.4775529205799103,,,,,
0.738095223903656,0.9117646813392639,1538,0.4325583279132843,56,0.9433962106704712,0.8407456874847412,0.8526315689086914,,,,,,,
,,1538,,56,,,,0.47382819652557373,0.4748690128326416,,,,,
0.7142857313156128,0.9090909361839294,1565,0.45606285333633423,57,0.9433962106704712,0.828840970993042,0.8421052694320679,,,,,,,
,,1565,,57,,,,0.48332324624061584,0.4789485037326813,,,,,
0.7142857313156128,0.9375,1592,1.7489597797393799,58,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,1592,,58,,,,0.47605040669441223,0.46049878001213074,,,,,
0.7142857313156128,0.9090909361839294,1619,0.41351082921028137,59,0.9433962106704712,0.828840970993042,0.8421052694320679,,,,,,,
,,1619,,59,,,,0.4961293637752533,0.4866112470626831,,,,,
0.6904761791229248,0.9354839324951172,1646,0.40139779448509216,60,0.9622642397880554,0.8263701796531677,0.8421052694320679,,,,,,,
,,1646,,60,,,,0.45347413420677185,0.4663604199886322,,,,,
0.6666666865348816,0.9333332777023315,1673,0.3711831867694855,61,0.9622642397880554,0.8144654631614685,0.8315789699554443,,,,,,,
,,1673,,61,,,,0.4923577904701233,0.48827987909317017,,,,,
0.6666666865348816,0.9333332777023315,1700,0.502841591835022,62,0.9622642397880554,0.8144654631614685,0.8315789699554443,,,,,,,
,,1700,,62,,,,0.49588558077812195,0.47718575596809387,,,,,
0.6904761791229248,0.90625,1727,0.5498496294021606,63,0.9433962106704712,0.816936194896698,0.8315789699554443,,,,,,,
,,1727,,63,,,,0.4624044895172119,0.47699815034866333,,,,,
0.7142857313156128,0.9375,1754,0.359864741563797,64,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,1754,,64,,,,0.45106247067451477,0.4981720745563507,,,,,
0.7142857313156128,0.9375,1781,0.32856443524360657,65,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,1781,,65,,,,0.4688606262207031,0.5109549164772034,,,,,
0.7142857313156128,0.9375,1808,0.38109534978866577,66,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,1808,,66,,,,0.4468970000743866,0.5057466626167297,,,,,
0.738095223903656,0.96875,1835,0.4355289936065674,67,0.9811320900917053,0.8596136569976807,0.8736842274665833,,,,,,,
,,1835,,67,,,,0.4629693329334259,0.5246152281761169,,,,,
0.738095223903656,0.939393937587738,1862,0.3737289309501648,68,0.9622642397880554,0.8501797318458557,0.8631578683853149,,,,,,,
,,1862,,68,,,,0.4633776843547821,0.49903377890586853,,,,,
0.738095223903656,0.939393937587738,1889,0.3916725814342499,69,0.9622642397880554,0.8501797318458557,0.8631578683853149,,,,,,,
,,1889,,69,,,,0.4549088478088379,0.5098885893821716,,,,,
0.738095223903656,0.939393937587738,1916,0.37561851739883423,70,0.9622642397880554,0.8501797318458557,0.8631578683853149,,,,,,,
,,1916,,70,,,,0.5045629739761353,0.515964686870575,,,,,
0.738095223903656,0.939393937587738,1943,0.40428754687309265,71,0.9622642397880554,0.8501797318458557,0.8631578683853149,,,,,,,
,,1943,,71,,,,0.4802415370941162,0.5073769092559814,,,,,
0.7142857313156128,0.967741847038269,1970,0.3630291223526001,72,0.9811320900917053,0.8477089405059814,0.8631578683853149,,,,,,,
,,1970,,72,,,,0.45849016308784485,0.49383094906806946,,,,,
0.6904761791229248,1.0,1997,0.5219706892967224,73,1.0,0.8452380299568176,0.8631578683853149,,,,,,,
,,1997,,73,,,,0.46418604254722595,0.5186669826507568,,,,,
0.761904776096344,0.9696969985961914,2024,0.3767547905445099,74,0.9811320900917053,0.8715184330940247,0.8842105269432068,,,,,,,
,,2024,,74,,,,0.4612538516521454,0.5186647176742554,,,,,
0.7142857313156128,0.967741847038269,2051,0.46730178594589233,75,0.9811320900917053,0.8477089405059814,0.8631578683853149,,,,,,,
,,2051,,75,,,,0.4369752109050751,0.5307711958885193,,,,,
0.761904776096344,0.9411764740943909,2078,0.6820118427276611,76,0.9622642397880554,0.8620845079421997,0.8736842274665833,,,,,,,
,,2078,,76,,,,0.4483419358730316,0.5367186665534973,,,,,
0.738095223903656,0.96875,2105,0.32114163041114807,77,0.9811320900917053,0.8596136569976807,0.8736842274665833,,,,,,,
,,2105,,77,,,,0.4456878900527954,0.5167167782783508,,,,,
0.738095223903656,0.96875,2132,0.3473966121673584,78,0.9811320900917053,0.8596136569976807,0.8736842274665833,,,,,,,
,,2132,,78,,,,0.44510409235954285,0.5333912968635559,,,,,
0.738095223903656,0.939393937587738,2159,0.41271933913230896,79,0.9622642397880554,0.8501797318458557,0.8631578683853149,,,,,,,
,,2159,,79,,,,0.4499833583831787,0.5282214879989624,,,,,
0.7142857313156128,0.9375,2186,0.38109099864959717,80,0.9622642397880554,0.8382750153541565,0.8526315689086914,,,,,,,
,,2186,,80,,,,0.4490506052970886,0.5469247102737427,,,,,
0.761904776096344,0.9142856597900391,2213,0.4013988971710205,81,0.9433962106704712,0.8526504635810852,0.8631578683853149,,,,,,,
,,2213,,81,,,,0.4446231722831726,0.5323697328567505,,,,,
0.7857142686843872,0.9428571462631226,2240,0.40005606412887573,82,0.9622642397880554,0.8739892244338989,0.8842105269432068,,,,,,,
,,2240,,82,,,,0.415138840675354,0.53560471534729,,,,,
0.7142857313156128,0.967741847038269,2267,0.36606594920158386,83,0.9811320900917053,0.8477089405059814,0.8631578683853149,,,,,,,
,,2267,,83,,,,0.4783649146556854,0.5618628263473511,,,,,
0.761904776096344,0.9696969985961914,2294,0.44386133551597595,84,0.9811320900917053,0.8715184330940247,0.8842105269432068,,,,,,,
,,2294,,84,,,,0.42162635922431946,0.5385283827781677,,,,,
0.761904776096344,0.9696969985961914,2321,0.394365519285202,85,0.9811320900917053,0.8715184330940247,0.8842105269432068,,,,,,,
,,2321,,85,,,,0.4525791108608246,0.5472405552864075,,,,,
0.761904776096344,0.9696969985961914,2348,0.31578320264816284,86,0.9811320900917053,0.8715184330940247,0.8842105269432068,,,,,,,
,,2348,,86,,,,0.43819597363471985,0.5592987537384033,,,,,
0.7857142686843872,0.970588207244873,2375,0.3976166248321533,87,0.9811320900917053,0.8834231495857239,0.8947368264198303,,,,,,,
,,2375,,87,,,,0.4351544976234436,0.5503627061843872,,,,,
0.8095238208770752,0.9714285731315613,2402,0.4070218801498413,88,0.9811320900917053,0.8953279852867126,0.9052631855010986,,,,,,,
,,2402,,88,,,,0.43522682785987854,0.5509864091873169,,,,,
0.7857142686843872,0.9428571462631226,2429,0.35653412342071533,89,0.9622642397880554,0.8739892244338989,0.8842105269432068,,,,,,,
,,2429,,89,,,,0.46496161818504333,0.5457375049591064,,,,,
0.8095238208770752,0.9444444179534912,2456,0.46625885367393494,90,0.9622642397880554,0.8858940005302429,0.8947368264198303,,,,,,,
,,2456,,90,,,,0.4535427391529083,0.544805109500885,,,,,
0.7857142686843872,0.9428571462631226,2483,0.3338770866394043,91,0.9622642397880554,0.8739892244338989,0.8842105269432068,,,,,,,
,,2483,,91,,,,0.43832865357398987,0.5483224987983704,,,,,
0.8095238208770752,0.9444444179534912,2510,0.5152413845062256,92,0.9622642397880554,0.8858940005302429,0.8947368264198303,,,,,,,
,,2510,,92,,,,0.4355623126029968,0.5294427871704102,,,,,
0.8095238208770752,0.9714285731315613,2537,0.3727687895298004,93,0.9811320900917053,0.8953279852867126,0.9052631855010986,,,,,,,
,,2537,,93,,,,0.43137267231941223,0.5499231219291687,,,,,
0.8095238208770752,0.9444444179534912,2564,0.4323086440563202,94,0.9622642397880554,0.8858940005302429,0.8947368264198303,,,,,,,
,,2564,,94,,,,0.4621402621269226,0.5584790110588074,,,,,
0.8095238208770752,0.9714285731315613,2591,0.77314293384552,95,0.9811320900917053,0.8953279852867126,0.9052631855010986,,,,,,,
,,2591,,95,,,,0.4307236969470978,0.5485352277755737,,,,,
0.7857142686843872,0.9428571462631226,2618,0.42676571011543274,96,0.9622642397880554,0.8739892244338989,0.8842105269432068,,,,,,,
