val_precision,val_specificity,val_accuracy,step,val_loss,val_auroc,epoch,val_sensitivity,unlabeled_data_utilization,train_loss,test_precision,test_accuracy,test_specificity,test_sensitivity,test_auroc
0.10869564861059189,0.5899999737739563,0.5925925970077515,34,0.3805975019931793,0.6075000166893005,0,0.625,,,,,,,
,,,34,,,0,,0.016977163031697273,0.4147760272026062,,,,,
0.10000000149011612,0.3700000047683716,0.40740740299224854,69,0.4070775806903839,0.6225000023841858,1,0.875,,,,,,,
,,,69,,,1,,0.01616721600294113,0.4139183759689331,,,,,
0.040816325694322586,0.5299999713897705,0.5092592835426331,104,0.4333500266075134,0.38999998569488525,2,0.25,,,,,,,
,,,104,,,2,,0.01382682379335165,0.4073541760444641,,,,,
0.09090909361839294,0.4000000059604645,0.42592594027519226,139,0.3820962607860565,0.574999988079071,3,0.75,,,,,,,
,,,139,,,3,,0.011276169680058956,0.4018985331058502,,,,,
0.08433734625577927,0.23999999463558197,0.28703704476356506,174,0.3850410580635071,0.5575000047683716,4,0.875,,,,,,,
,,,174,,,4,,0.009517609141767025,0.39937782287597656,,,,,
0.08571428805589676,0.36000001430511475,0.3888888955116272,209,0.4103946089744568,0.5550000071525574,5,0.75,,,,,,,
,,,209,,,5,,0.0073793851770460606,0.39736852049827576,,,,,
0.05882352963089943,0.5199999809265137,0.5092592835426331,244,0.3764597475528717,0.44749999046325684,6,0.375,,,,,,,
,,,244,,,6,,0.008076278492808342,0.39710885286331177,,,,,
0.07999999076128006,0.3100000023841858,0.34259259700775146,279,0.3999389410018921,0.5299999713897705,7,0.75,,,,,,,
,,,279,,,7,,0.006405982654541731,0.3949053883552551,,,,,
0.05263158306479454,0.46000000834465027,0.45370370149612427,314,0.3907703161239624,0.4175000488758087,8,0.375,,,,,,,
,,,314,,,8,,0.006475376430898905,0.39207223057746887,,,,,
0.0882352963089943,0.3799999952316284,0.40740740299224854,349,0.37999427318573,0.5649999976158142,9,0.75,,,,,,,
,,,349,,,9,,0.009894789196550846,0.39613229036331177,,,,,
0.07352941483259201,0.3700000047683716,0.3888888955116272,384,0.383069783449173,0.4975000023841858,10,0.625,,,,,,,
,,,384,,,10,,0.004822822287678719,0.3879491984844208,,,,,
0.09375,0.41999995708465576,0.4444444477558136,419,0.37639445066452026,0.5850000381469727,11,0.75,,,,,,,
,,,419,,,11,,0.004313893150538206,0.38319826126098633,,,,,
0.08196721225976944,0.4399999976158142,0.45370370149612427,454,0.373519629240036,0.5324999690055847,12,0.625,,,,,,,
,,,454,,,12,,0.008031249977648258,0.38405555486679077,,,,,
0.04347826540470123,0.5600000023841858,0.5370370149612427,489,0.37954995036125183,0.4050000011920929,13,0.25,,,,,,,
,,,489,,,13,,0.006999888923019171,0.38296711444854736,,,,,
0.05000000074505806,0.6200000047683716,0.5925925970077515,524,0.37474769353866577,0.4350000023841858,14,0.25,,,,,,,
,,,524,,,14,,0.008015625178813934,0.38326147198677063,,,,,
0.07407407462596893,0.5,0.5,559,0.3773483633995056,0.5,15,0.5,,,,,,,
,,,559,,,15,,0.010541887953877449,0.3826310336589813,,,,,
0.04444444552063942,0.5699999928474426,0.5462962985038757,594,0.3959433138370514,0.4099999964237213,16,0.25,,,,,,,
,,,594,,,16,,0.007457077037543058,0.3838149607181549,,,,,
0.04444444552063942,0.5699999928474426,0.5462962985038757,629,0.37595856189727783,0.4099999964237213,17,0.25,,,,,,,
,,,629,,,17,,0.012877155095338821,0.3865654468536377,,,,,
0.06666667014360428,0.4399999976158142,0.4444444477558136,664,0.3728969693183899,0.4699999988079071,18,0.5,,,,,,,
,,,664,,,18,,0.004888707306236029,0.37802213430404663,,,,,
0.040816325694322586,0.5299999713897705,0.5092592835426331,699,0.37064602971076965,0.38999998569488525,19,0.25,,,,,,,
,,,699,,,19,,0.0034312186762690544,0.37323907017707825,,,,,
,,,700,,,20,,,,0.07407407462596893,0.3271375596523285,0.29718875885009766,0.699999988079071,0.49859437346458435
,,,700,,,20,,,,0.030534351244568825,0.4684014916419983,0.48995983600616455,0.19999998807907104,0.3449799418449402
,,,700,,,20,,,,0.030534351244568825,0.4684014916419983,0.48995983600616455,0.19999998807907104,0.3449799418449402
