val_loss,val_sensitivity,val_auroc,step,val_specificity,val_precision,epoch,val_accuracy,train_loss,unlabeled_data_utilization,test_precision,test_specificity,test_sensitivity,test_accuracy,test_auroc
0.6683043241500854,0.095238097012043,0.5004492402076721,26,0.9056603908538818,0.4444444477558136,0,0.5473684072494507,,,,,,,
,,,26,,,0,,0.6376503705978394,0.003256833180785179,,,,,
1.5139950513839722,0.5952380895614624,0.5806379318237305,53,0.5660377144813538,0.5208333134651184,1,0.5789473652839661,,,,,,,
,,,53,,,1,,0.6096309423446655,0.006922615692019463,,,,,
0.8960661888122559,0.8095238208770752,0.6877807378768921,80,0.5660377144813538,0.5964912176132202,2,0.6736842393875122,,,,,,,
,,,80,,,2,,0.5751930475234985,0.006126943975687027,,,,,
2.3996167182922363,0.5476190447807312,0.6983378529548645,107,0.849056601524353,0.7419354915618896,3,0.7157894968986511,,,,,,,
,,,107,,,3,,0.5686715245246887,0.0070651983842253685,,,,,
2.553269147872925,0.5952380895614624,0.703279435634613,134,0.8113208413124084,0.7142857313156128,4,0.7157894968986511,,,,,,,
,,,134,,,4,,0.5741313695907593,0.010482781566679478,,,,,
1.3896453380584717,0.6190476417541504,0.7057502269744873,161,0.792452871799469,0.7027027606964111,5,0.7157894968986511,,,,,,,
,,,161,,,5,,0.5159837007522583,0.015431460924446583,,,,,
1.5747261047363281,0.5952380895614624,0.7787511944770813,188,0.9622642397880554,0.9259259104728699,6,0.800000011920929,,,,,,,
,,,188,,,6,,0.5204400420188904,0.04082825407385826,,,,,
2.158806085586548,0.5476190447807312,0.7360737323760986,215,0.9245282411575317,0.8518518805503845,7,0.75789475440979,,,,,,,
,,,215,,,7,,0.5209099054336548,0.05800366774201393,,,,,
1.3840358257293701,0.5952380895614624,0.7598832249641418,242,0.9245282411575317,0.8620689511299133,8,0.7789473533630371,,,,,,,
,,,242,,,8,,0.5052605271339417,0.06699211150407791,,,,,
0.9294508099555969,0.5952380895614624,0.7693171501159668,269,0.9433962106704712,0.8928571343421936,9,0.7894737124443054,,,,,,,
,,,269,,,9,,0.5239035487174988,0.09445613622665405,,,,,
0.7797351479530334,0.7142857313156128,0.7628032565116882,296,0.8113208413124084,0.75,10,0.7684210538864136,,,,,,,
,,,296,,,10,,0.4904378056526184,0.06675635278224945,,,,,
0.523133397102356,0.6904761791229248,0.816936194896698,323,0.9433962106704712,0.90625,11,0.8315789699554443,,,,,,,
,,,323,,,11,,0.4960966408252716,0.10221432149410248,,,,,
2.905726432800293,0.5952380895614624,0.7693171501159668,350,0.9433962106704712,0.8928571343421936,12,0.7894737124443054,,,,,,,
,,,350,,,12,,0.4796780049800873,0.12925004959106445,,,,,
1.1166155338287354,0.6666666865348816,0.738993763923645,377,0.8113208413124084,0.7368420958518982,13,0.7473683953285217,,,,,,,
,,,377,,,13,,0.5221192240715027,0.14619402587413788,,,,,
0.8374337553977966,0.6428571343421936,0.7836927175521851,404,0.9245282411575317,0.8709677457809448,14,0.800000011920929,,,,,,,
,,,404,,,14,,0.48910704255104065,0.1336403787136078,,,,,
0.5477871894836426,0.6666666865348816,0.8238993883132935,431,0.9811320900917053,0.9655172228813171,15,0.8421052694320679,,,,,,,
,,,431,,,15,,0.48311740159988403,0.17101792991161346,,,,,
0.5870381593704224,0.6666666865348816,0.8144654631614685,458,0.9622642397880554,0.9333332777023315,16,0.8315789699554443,,,,,,,
,,,458,,,16,,0.4952559173107147,0.16305358707904816,,,,,
3.672046422958374,0.6428571343421936,0.7648246884346008,485,0.8867924809455872,0.8181818127632141,17,0.7789473533630371,,,,,,,
,,,485,,,17,,0.4691787362098694,0.13418647646903992,,,,,
0.5250034928321838,0.7142857313156128,0.8005390167236328,512,0.8867924809455872,0.8333333134651184,18,0.8105263113975525,,,,,,,
,,,512,,,18,,0.4870411455631256,0.16207654774188995,,,,,
0.4949009418487549,0.6428571343421936,0.8214285373687744,539,1.0,1.0,19,0.8421052694320679,,,,,,,
,,,539,,,19,,0.45996424555778503,0.14787901937961578,,,,,
0.9668052792549133,0.6428571343421936,0.79312664270401,566,0.9433962106704712,0.8999999761581421,20,0.8105263113975525,,,,,,,
,,,566,,,20,,0.4903649389743805,0.1761540323495865,,,,,
0.7204063534736633,0.6428571343421936,0.79312664270401,593,0.9433962106704712,0.8999999761581421,21,0.8105263113975525,,,,,,,
,,,593,,,21,,0.4858192205429077,0.19747279584407806,,,,,
0.8333766460418701,0.6428571343421936,0.8025606870651245,620,0.9622642397880554,0.931034505367279,22,0.821052610874176,,,,,,,
,,,620,,,22,,0.4646226465702057,0.1832583099603653,,,,,
1.5495193004608154,0.6428571343421936,0.79312664270401,647,0.9433962106704712,0.8999999761581421,23,0.8105263113975525,,,,,,,
,,,647,,,23,,0.4696676731109619,0.21687035262584686,,,,,
0.9377033710479736,0.6428571343421936,0.7836927175521851,674,0.9245282411575317,0.8709677457809448,24,0.800000011920929,,,,,,,
,,,674,,,24,,0.46225154399871826,0.2180720418691635,,,,,
0.6734609007835388,0.6190476417541504,0.7717880010604858,701,0.9245282411575317,0.8666666746139526,25,0.7894737124443054,,,,,,,
,,,701,,,25,,0.4740176498889923,0.24700061976909637,,,,,
0.9013368487358093,0.5714285969734192,0.7762802839279175,728,0.9811320900917053,0.9599999785423279,26,0.800000011920929,,,,,,,
,,,728,,,26,,0.4597492218017578,0.21494993567466736,,,,,
0.8649463653564453,0.6190476417541504,0.8000898957252502,755,0.9811320900917053,0.9629629850387573,27,0.821052610874176,,,,,,,
,,,755,,,27,,0.46199581027030945,0.24529008567333221,,,,,
0.926468551158905,0.5952380895614624,0.7598832249641418,782,0.9245282411575317,0.8620689511299133,28,0.7789473533630371,,,,,,,
,,,782,,,28,,0.45090028643608093,0.24270464479923248,,,,,
1.1859828233718872,0.6428571343421936,0.8119946122169495,809,0.9811320900917053,0.9642857313156128,29,0.8315789699554443,,,,,,,
,,,809,,,29,,0.4713549017906189,0.24251793324947357,,,,,
0.7410739064216614,0.6666666865348816,0.795597493648529,836,0.9245282411575317,0.875,30,0.8105263113975525,,,,,,,
,,,836,,,30,,0.4404701888561249,0.2439803034067154,,,,,
0.6413484811782837,0.6428571343421936,0.8025606870651245,863,0.9622642397880554,0.931034505367279,31,0.821052610874176,,,,,,,
,,,863,,,31,,0.4674551784992218,0.2694490849971771,,,,,
1.0903525352478027,0.6904761791229248,0.7980683445930481,890,0.9056603908538818,0.8529411554336548,32,0.8105263113975525,,,,,,,
,,,890,,,32,,0.45530378818511963,0.2688600420951843,,,,,
1.574623942375183,0.6666666865348816,0.8050314784049988,917,0.9433962106704712,0.9032257795333862,33,0.821052610874176,,,,,,,
,,,917,,,33,,0.45008906722068787,0.28729671239852905,,,,,
1.030524730682373,0.6666666865348816,0.8050314784049988,944,0.9433962106704712,0.9032257795333862,34,0.821052610874176,,,,,,,
,,,944,,,34,,0.4380156099796295,0.28843241930007935,,,,,
0.46481141448020935,0.738095223903656,0.8596136569976807,971,0.9811320900917053,0.96875,35,0.8736842274665833,,,,,,,
,,,971,,,35,,0.47851133346557617,0.2799862325191498,,,,,
0.8821471929550171,0.6904761791229248,0.8358041644096375,998,0.9811320900917053,0.9666666388511658,36,0.8526315689086914,,,,,,,
,,,998,,,36,,0.43302202224731445,0.26384976506233215,,,,,
