val_specificity,val_precision,val_accuracy,val_auroc,epoch,val_loss,step,val_sensitivity,unlabeled_data_utilization,train_loss,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
1.0,0.0,0.557894766330719,0.5,0,0.6202108263969421,17,0.0,,,,,,,
,,,,0,,17,,0.010495316237211227,0.6497407555580139,,,,,
0.15094339847564697,0.4444444477558136,0.46315789222717285,0.5040431618690491,1,0.6484376788139343,35,0.8571428656578064,,,,,,,
,,,,1,,35,,0.00824554543942213,0.6442288756370544,,,,,
0.09433962404727936,0.44186046719551086,0.4526315927505493,0.4995507597923279,2,0.6815984845161438,53,0.9047619700431824,,,,,,,
,,,,2,,53,,0.008479686453938484,0.6374697089195251,,,,,
0.11320754885673523,0.4534883499145508,0.4736842215061188,0.5208894610404968,3,0.6506693959236145,71,0.9285714626312256,,,,,,,
,,,,3,,71,,0.0066526238806545734,0.6335026621818542,,,,,
0.09433962404727936,0.44186046719551086,0.4526315927505493,0.4995507597923279,4,0.6414649486541748,89,0.9047619700431824,,,,,,,
,,,,4,,89,,0.006605165544897318,0.6384904384613037,,,,,
0.01886792480945587,0.4285714328289032,0.42105263471603394,0.47371965646743774,5,0.6480952501296997,107,0.9285714626312256,,,,,,,
,,,,5,,107,,0.012203782796859741,0.6279370188713074,,,,,
0.09433962404727936,0.4545454680919647,0.4736842215061188,0.5233602523803711,6,0.8007341623306274,125,0.9523809552192688,,,,,,,
,,,,6,,125,,0.012447967194020748,0.6404978632926941,,,,,
0.07547169923782349,0.4431818127632141,0.4526315927505493,0.5020215511322021,7,0.6672530770301819,143,0.9285714626312256,,,,,,,
,,,,7,,143,,0.011658238247036934,0.639057457447052,,,,,
0.07547169923782349,0.4431818127632141,0.4526315927505493,0.5020215511322021,8,0.6377449035644531,161,0.9285714626312256,,,,,,,
,,,,8,,161,,0.012404564768075943,0.6355802416801453,,,,,
0.07547169923782349,0.43023255467414856,0.43157893419265747,0.47821202874183655,9,0.6783644556999207,179,0.8809523582458496,,,,,,,
,,,,9,,179,,0.01031967718154192,0.631799042224884,,,,,
0.09433962404727936,0.4545454680919647,0.4736842215061188,0.5233602523803711,10,0.6451236605644226,197,0.9523809552192688,,,,,,,
,,,,10,,197,,0.0113538121804595,0.6360323429107666,,,,,
0.11320754885673523,0.4197530746459961,0.42105263471603394,0.461365669965744,11,0.7063813209533691,215,0.8095238208770752,,,,,,,
,,,,11,,215,,0.0130165359005332,0.6254975199699402,,,,,
0.22641509771347046,0.44594594836235046,0.4736842215061188,0.5060646533966064,12,0.6143541932106018,233,0.7857142686843872,,,,,,,
,,,,12,,233,,0.014274210669100285,0.6403403282165527,,,,,
0.5283018946647644,0.45652177929878235,0.5157894492149353,0.5141509175300598,13,0.668815016746521,251,0.5,,,,,,,
,,,,13,,251,,0.013917632400989532,0.6309691667556763,,,,,
0.6037735939025879,0.5227272510528564,0.5789473652839661,0.5756963491439819,14,0.6799142956733704,269,0.5476190447807312,,,,,,,
,,,,14,,269,,0.009199359454214573,0.6318297982215881,,,,,
0.698113203048706,0.529411792755127,0.5789473652839661,0.5633423328399658,15,0.661994457244873,287,0.4285714328289032,,,,,,,
,,,,15,,287,,0.010537086054682732,0.6277704238891602,,,,,
0.6415094137191772,0.5,0.557894766330719,0.5469451546669006,16,0.6224817037582397,305,0.4523809850215912,,,,,,,
,,,,16,,305,,0.00909114908427,0.6278022527694702,,,,,
0.7547169923782349,0.59375,0.621052622795105,0.6035489439964294,17,0.6548999547958374,323,0.4523809850215912,,,,,,,
,,,,17,,323,,0.013492352329194546,0.628678560256958,,,,,
0.792452871799469,0.6071428656578064,0.621052622795105,0.5986073613166809,18,0.7179321050643921,341,0.4047619104385376,,,,,,,
,,,,18,,341,,0.010969776660203934,0.6300601363182068,,,,,
0.849056601524353,0.6363636255264282,0.621052622795105,0.5911949872970581,19,0.6413908004760742,359,0.3333333432674408,,,,,,,
,,,,19,,359,,0.012682291679084301,0.6295219659805298,,,,,
0.792452871799469,0.5925925970077515,0.6105263233184814,0.5867025852203369,20,0.7385343313217163,377,0.380952388048172,,,,,,,
,,,,20,,377,,0.011727556586265564,0.6186971068382263,,,,,
0.8301886916160583,0.6399999856948853,0.6315789222717285,0.6055704951286316,21,0.6434054970741272,395,0.380952388048172,,,,,,,
,,,,21,,395,,0.015530820935964584,0.630826473236084,,,,,
0.8679245114326477,0.6666666865348816,0.6315789222717285,0.6006289720535278,22,0.6524077653884888,413,0.3333333432674408,,,,,,,
,,,,22,,413,,0.014628115110099316,0.6171925067901611,,,,,
0.9056603908538818,0.7727272510528564,0.6842105388641357,0.6552111506462097,23,0.6814733147621155,431,0.4047619104385376,,,,,,,
,,,,23,,431,,0.012425112538039684,0.622655987739563,,,,,
