step,val_loss,epoch,val_specificity,val_accuracy,val_precision,val_auroc,val_sensitivity,unlabeled_data_utilization,train_loss,test_sensitivity,test_auroc,test_accuracy,test_precision,test_specificity
138,0.3481636345386505,0,0.11999999731779099,0.18518517911434174,0.0833333358168602,0.5600000023841858,1.0,,,,,,,
138,,0,,,,,,0.0040926397778093815,0.3604089915752411,,,,,
277,0.36253759264945984,1,0.07999999076128006,0.14814814925193787,0.07999999076128006,0.5399999618530273,1.0,,,,,,,
277,,1,,,,,,0.00619939249008894,0.3494645655155182,,,,,
416,0.3330328166484833,2,0.10999999940395355,0.17592592537403107,0.0824742242693901,0.5550000071525574,1.0,,,,,,,
416,,2,,,,,,0.008670159615576267,0.33671602606773376,,,,,
555,0.3419208228588104,3,0.15999998152256012,0.2222222238779068,0.08695653080940247,0.5800000429153442,1.0,,,,,,,
555,,3,,,,,,0.010561198927462101,0.3297671377658844,,,,,
694,0.3324590027332306,4,0.15000000596046448,0.21296297013759613,0.08602150529623032,0.574999988079071,1.0,,,,,,,
694,,4,,,,,,0.010519192554056644,0.31799596548080444,,,,,
833,0.3335512578487396,5,0.17000000178813934,0.23148147761821747,0.08791209012269974,0.5850000381469727,1.0,,,,,,,
833,,5,,,,,,0.013201219961047173,0.3092939853668213,,,,,
972,0.32893431186676025,6,0.20999997854232788,0.26851850748062134,0.09195402264595032,0.6050000190734863,1.0,,,,,,,
972,,6,,,,,,0.0154440151527524,0.30055883526802063,,,,,
1111,0.3317387104034424,7,0.28999999165534973,0.34259259700775146,0.10126582533121109,0.6449999809265137,1.0,,,,,,,
1111,,7,,,,,,0.018169980496168137,0.29901331663131714,,,,,
1250,0.32172146439552307,8,0.28999999165534973,0.34259259700775146,0.10126582533121109,0.6449999809265137,1.0,,,,,,,
1250,,8,,,,,,0.030162598937749863,0.29532355070114136,,,,,
1389,0.3269113600254059,9,0.3400000035762787,0.3888888955116272,0.10810811072587967,0.6699999570846558,1.0,,,,,,,
1389,,9,,,,,,0.025361474603414536,0.2914167642593384,,,,,
1528,0.3193500339984894,10,0.5400000214576721,0.5370370149612427,0.07999999076128006,0.5199999809265137,0.5,,,,,,,
1528,,10,,,,,,0.02953767031431198,0.2848851978778839,,,,,
1667,0.29382777214050293,11,0.33000004291534424,0.37962964177131653,0.1066666692495346,0.6649999022483826,1.0,,,,,,,
1667,,11,,,,,,0.03755630552768707,0.2864413857460022,,,,,
1806,0.30014774203300476,12,0.6600000858306885,0.6481481194496155,0.10526316612958908,0.5799999833106995,0.5,,,,,,,
1806,,12,,,,,,0.03445512801408768,0.2753540277481079,,,,,
1945,0.3711896240711212,13,0.6700000166893005,0.6481481194496155,0.0833333358168602,0.5224999785423279,0.375,,,,,,,
1945,,13,,,,,,0.041389115154743195,0.27606579661369324,,,,,
2084,0.31304338574409485,14,0.7599999904632568,0.7222222089767456,0.07692307978868484,0.5049999952316284,0.25,,,,,,,
2084,,14,,,,,,0.043229617178440094,0.27327555418014526,,,,,
2223,0.2939694821834564,15,0.7400000095367432,0.6944444179534912,0.03703703731298447,0.4325000047683716,0.125,,,,,,,
2223,,15,,,,,,0.050981227308511734,0.2779594957828522,,,,,
2362,0.3013114929199219,16,0.8899999260902405,0.8240740895271301,0.0,0.44499996304512024,0.0,,,,,,,
2362,,16,,,,,,0.05418432131409645,0.2781723141670227,,,,,
2501,0.2851293981075287,17,0.8799999952316284,0.8148148059844971,0.0,0.4399999976158142,0.0,,,,,,,
2501,,17,,,,,,0.0531335324048996,0.2711538076400757,,,,,
2640,0.3155786693096161,18,0.8899999260902405,0.8240740895271301,0.0,0.44499996304512024,0.0,,,,,,,
2640,,18,,,,,,0.052725184708833694,0.269560843706131,,,,,
2779,0.29711058735847473,19,0.8799999952316284,0.8148148059844971,0.0,0.4399999976158142,0.0,,,,,,,
2779,,19,,,,,,0.05552385747432709,0.27090126276016235,,,,,
2780,,20,,,,,,,,0.6499999761581421,0.48965856432914734,0.3531598448753357,0.07222222536802292,0.32931727170944214
2780,,20,,,,,,,,0.04999999701976776,0.45471885800361633,0.7992565035820007,0.02777777798473835,0.8594377040863037
2780,,20,,,,,,,,0.04999999701976776,0.4527108073234558,0.7955390214920044,0.027027027681469917,0.8554216623306274
