val_precision,val_loss,epoch,val_sensitivity,val_auroc,step,val_accuracy,val_specificity,unlabeled_data_utilization,train_loss,test_precision,test_specificity,test_auroc,test_accuracy,test_sensitivity
0.5,0.7679759860038757,0,0.0714285746216774,0.5074123740196228,33,0.557894766330719,0.9433962106704712,,,,,,,
,,0,,,33,,,0.012249442748725414,0.6376270651817322,,,,,
0.4285714328289032,0.7031855583190918,1,0.0714285746216774,0.49797841906547546,67,0.5473684072494507,0.9245282411575317,,,,,,,
,,1,,,67,,,0.026971103623509407,0.619421660900116,,,,,
0.4285714328289032,1.14857017993927,2,0.0714285746216774,0.49797841906547546,101,0.5473684072494507,0.9245282411575317,,,,,,,
,,2,,,101,,,0.040024515241384506,0.6254985332489014,,,,,
0.8181818127632141,0.7253546714782715,3,0.4285714328289032,0.6765499114990234,135,0.7052631378173828,0.9245282411575317,,,,,,,
,,3,,,135,,,0.027413873001933098,0.6274006962776184,,,,,
0.625,0.5921937823295593,4,0.3571428656578064,0.5936657786369324,169,0.621052622795105,0.8301886916160583,,,,,,,
,,4,,,169,,,0.023685142397880554,0.5929561257362366,,,,,
0.6774194240570068,0.6450744271278381,5,0.5,0.6556603908538818,203,0.6736842393875122,0.8113208413124084,,,,,,,
,,5,,,203,,,0.015299121849238873,0.5769409537315369,,,,,
0.7105262875556946,0.5435324907302856,6,0.6428571343421936,0.7176550030708313,237,0.7263157963752747,0.792452871799469,,,,,,,
,,6,,,237,,,0.03354676812887192,0.5469350218772888,,,,,
0.7777778506278992,0.6626415848731995,7,0.6666666865348816,0.7578616738319397,271,0.7684210538864136,0.849056601524353,,,,,,,
,,7,,,271,,,0.061741773039102554,0.5594425201416016,,,,,
0.806451678276062,0.6001006960868835,8,0.5952380895614624,0.7410151958465576,305,0.75789475440979,0.8867924809455872,,,,,,,
,,8,,,305,,,0.0905563160777092,0.5365347862243652,,,,,
0.7941176295280457,0.5354808568954468,9,0.6428571343421936,0.7553907632827759,339,0.7684210538864136,0.8679245114326477,,,,,,,
,,9,,,339,,,0.11629299074411392,0.5476832985877991,,,,,
0.7714285850524902,0.5686684250831604,10,0.6428571343421936,0.7459568381309509,373,0.75789475440979,0.849056601524353,,,,,,,
,,10,,,373,,,0.13504259288311005,0.5473083853721619,,,,,
0.8285714387893677,0.4733436703681946,11,0.6904761791229248,0.7886343002319336,407,0.800000011920929,0.8867924809455872,,,,,,,
,,11,,,407,,,0.1434488147497177,0.5242948532104492,,,,,
0.7560975551605225,0.47597259283065796,12,0.738095223903656,0.7747079730033875,441,0.7789473533630371,0.8113208413124084,,,,,,,
,,12,,,441,,,0.18432816863059998,0.5105446577072144,,,,,
0.7631579041481018,0.49972963333129883,13,0.6904761791229248,0.760332465171814,475,0.7684210538864136,0.8301886916160583,,,,,,,
,,13,,,475,,,0.2415379285812378,0.5195699334144592,,,,,
0.8055555820465088,0.5021912455558777,14,0.6904761791229248,0.7792003154754639,509,0.7894737124443054,0.8679245114326477,,,,,,,
,,14,,,509,,,0.3111865818500519,0.5382587909698486,,,,,
0.7948718667030334,0.5304645895957947,15,0.738095223903656,0.7935759425163269,543,0.800000011920929,0.849056601524353,,,,,,,
,,15,,,543,,,0.3525989353656769,0.5276848673820496,,,,,
0.8108107447624207,0.53813236951828,16,0.7142857313156128,0.7911050915718079,577,0.800000011920929,0.8679245114326477,,,,,,,
,,16,,,577,,,0.3936838209629059,0.536564826965332,,,,,
0.800000011920929,0.4629853367805481,17,0.761904776096344,0.8054806590080261,611,0.8105263113975525,0.849056601524353,,,,,,,
,,17,,,611,,,0.4300380051136017,0.5197362303733826,,,,,
