epoch, val_sensitivity   , val_accuracy      , val_specificity   , val_precision     , step, val_auroc         , val_loss           , unlabeled_data_utilization, train_loss         , test_sensitivity  , test_specificity  , test_precision    , test_accuracy     , test_auroc
   19, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477, 0.8205127716064453,  539, 0.8149146437644958, 0.4367266297340393 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   19,                   ,                   ,                   ,                   ,  539,                   ,                    ,                        0.0, 0.3587462902069092 ,                   ,                   ,                   ,                   ,  
   20, 0.7142857313156128, 0.8315789699554443, 0.9245282411575317, 0.8823529481887817,  566, 0.8194069862365723, 0.41773369908332825,                           ,                    ,                   ,                   ,                   ,                   ,  
   20,                   ,                   ,                   ,                   ,  566,                   ,                    ,                        0.0, 0.3645329773426056 ,                   ,                   ,                   ,                   ,  
   21, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872, 0.8378377556800842,  593, 0.8124438524246216, 0.42193156480789185,                           ,                    ,                   ,                   ,                   ,                   ,  
   21,                   ,                   ,                   ,                   ,  593,                   ,                    ,                        0.0, 0.3639853894710541 ,                   ,                   ,                   ,                   ,  
   22, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872, 0.8378377556800842,  620, 0.8124438524246216, 0.39545056223869324,                           ,                    ,                   ,                   ,                   ,                   ,  
   22,                   ,                   ,                   ,                   ,  620,                   ,                    ,                        0.0, 0.3452404737472534 ,                   ,                   ,                   ,                   ,  
   23, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477, 0.824999988079071 ,  647, 0.8268193006515503, 0.3927794098854065 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   23,                   ,                   ,                   ,                   ,  647,                   ,                    ,                        0.0, 0.34966084361076355,                   ,                   ,                   ,                   ,  
   24, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477, 0.8205127716064453,  674, 0.8149146437644958, 0.4218139350414276 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   24,                   ,                   ,                   ,                   ,  674,                   ,                    ,                        0.0, 0.35496968030929565,                   ,                   ,                   ,                   ,  
   25, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477, 0.8205127716064453,  701, 0.8149146437644958, 0.43712475895881653,                           ,                    ,                   ,                   ,                   ,                   ,  
   25,                   ,                   ,                   ,                   ,  701,                   ,                    ,                        0.0, 0.33427733182907104,                   ,                   ,                   ,                   ,  
   26, 0.7857142686843872, 0.800000011920929 , 0.8113208413124084, 0.7674418687820435,  728, 0.7985174655914307, 0.4197659194469452 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   26,                   ,                   ,                   ,                   ,  728,                   ,                    ,                        0.0, 0.35337868332862854,                   ,                   ,                   ,                   ,  
   27, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872, 0.8378377556800842,  755, 0.8124438524246216, 0.43196195363998413,                           ,                    ,                   ,                   ,                   ,                   ,  
   27,                   ,                   ,                   ,                   ,  755,                   ,                    ,                        0.0, 0.3469906151294708 ,                   ,                   ,                   ,                   ,  
   28, 0.761904776096344 , 0.8105263113975525, 0.849056601524353 , 0.800000011920929 ,  782, 0.8054806590080261, 0.4366249144077301 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   28,                   ,                   ,                   ,                   ,  782,                   ,                    ,                        0.0, 0.33802512288093567,                   ,                   ,                   ,                   ,  
   29, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818, 0.8611111044883728,  809, 0.8218778371810913, 0.38407230377197266,                           ,                    ,                   ,                   ,                   ,                   ,  
   29,                   ,                   ,                   ,                   ,  809,                   ,                    ,                        0.0, 0.3469575345516205 ,                   ,                   ,                   ,                   ,  
