val_accuracy,val_specificity,epoch,val_loss,val_sensitivity,val_precision,step,val_auroc,unlabeled_data_utilization,train_loss,test_specificity,test_accuracy,test_precision,test_sensitivity,test_auroc
0.557894766330719,1.0,0,1.1070222854614258,0.0,0.0,26,0.5,,,,,,,
,,0,,,,26,,0.0,1.1164077520370483,,,,,
0.557894766330719,1.0,1,2.7360305786132812,0.0,0.0,53,0.5,,,,,,,
,,1,,,,53,,0.0,1.0880789756774902,,,,,
0.5473684072494507,0.9811320900917053,2,2.6454482078552246,0.0,0.0,80,0.49056604504585266,,,,,,,
,,2,,,,80,,0.0,1.0912257432937622,,,,,
0.6105263233184814,0.9811320900917053,3,3.0843780040740967,0.1428571492433548,0.8571428656578064,107,0.5619946718215942,,,,,,,
,,3,,,,107,,0.0,1.0809541940689087,,,,,
0.6842105388641357,0.9622642397880554,4,1.8867802619934082,0.3333333432674408,0.875,134,0.6477987766265869,,,,,,,
,,4,,,,134,,0.0,1.0283849239349365,,,,,
0.6526315808296204,0.8679245114326477,5,1.711725115776062,0.380952388048172,0.695652186870575,161,0.6244384050369263,,,,,,,
,,5,,,,161,,0.0,0.9821208119392395,,,,,
0.7052631378173828,0.9622642397880554,6,3.0008389949798584,0.380952388048172,0.8888888955116272,188,0.6716082692146301,,,,,,,
,,6,,,,188,,0.0,0.9526496529579163,,,,,
0.6736842393875122,0.9245282411575317,7,3.46069073677063,0.3571428656578064,0.7894737124443054,215,0.6408355832099915,,,,,,,
,,7,,,,215,,0.0,0.91791832447052,,,,,
0.7368420958518982,0.9622642397880554,8,1.3023593425750732,0.4523809850215912,0.9047619700431824,242,0.7073225378990173,,,,,,,
,,8,,,,242,,0.0,0.8998447060585022,,,,,
0.7052631378173828,0.9056603908538818,9,2.103518486022949,0.4523809850215912,0.7916666865348816,269,0.6790205836296082,,,,,,,
,,9,,,,269,,0.0,0.8959652185440063,,,,,
0.7368420958518982,0.9433962106704712,10,1.0408371686935425,0.4761904776096344,0.8695652484893799,296,0.7097933292388916,,,,,,,
,,10,,,,296,,0.0,0.8851122260093689,,,,,
0.7473683953285217,0.9622642397880554,11,1.060866117477417,0.4761904776096344,0.9090909361839294,323,0.7192272543907166,,,,,,,
,,11,,,,323,,0.0,0.8430448770523071,,,,,
0.75789475440979,1.0,12,1.082158088684082,0.4523809850215912,1.0,350,0.726190447807312,,,,,,,
,,12,,,,350,,0.0,0.8451205492019653,,,,,
0.7473683953285217,0.9622642397880554,13,1.457069754600525,0.4761904776096344,0.9090909361839294,377,0.7192272543907166,,,,,,,
,,13,,,,377,,0.0,0.8378335237503052,,,,,
0.7894737124443054,0.9622642397880554,14,1.9730454683303833,0.5714285969734192,0.9230769276618958,404,0.7668463587760925,,,,,,,
,,14,,,,404,,0.0,0.8050636649131775,,,,,
0.75789475440979,0.9245282411575317,15,1.502907156944275,0.5476190447807312,0.8518518805503845,431,0.7360737323760986,,,,,,,
,,15,,,,431,,0.0,0.8083724975585938,,,,,
0.75789475440979,0.9433962106704712,16,0.8536688685417175,0.523809552192688,0.8799999952316284,458,0.7336028814315796,,,,,,,
,,16,,,,458,,0.0,0.7867698073387146,,,,,
0.75789475440979,0.9245282411575317,17,2.14028263092041,0.5476190447807312,0.8518518805503845,485,0.7360737323760986,,,,,,,
,,17,,,,485,,0.0,0.760429859161377,,,,,
0.7789473533630371,0.9622642397880554,18,0.8476763963699341,0.5476190447807312,0.9200000166893005,512,0.7549417018890381,,,,,,,
,,18,,,,512,,0.0,0.7763543128967285,,,,,
0.7894737124443054,0.9622642397880554,19,0.7685565948486328,0.5714285969734192,0.9230769276618958,539,0.7668463587760925,,,,,,,
,,19,,,,539,,0.0,0.7625960111618042,,,,,
0.7684210538864136,0.9245282411575317,20,0.9434464573860168,0.5714285969734192,0.8571428656578064,566,0.7479784488677979,,,,,,,
,,20,,,,566,,0.0,0.7540562748908997,,,,,
0.7368420958518982,0.8301886916160583,21,1.1742366552352905,0.6190476417541504,0.7428570985794067,593,0.724618136882782,,,,,,,
,,21,,,,593,,0.0,0.7672948241233826,,,,,
0.8315789699554443,0.9811320900917053,22,0.791358232498169,0.6428571343421936,0.9642857313156128,620,0.8119946122169495,,,,,,,
,,22,,,,620,,0.0,0.7620171308517456,,,,,
0.75789475440979,0.9056603908538818,23,0.934015154838562,0.5714285969734192,0.8275862336158752,647,0.7385445237159729,,,,,,,
,,23,,,,647,,0.0,0.7228415012359619,,,,,
0.75789475440979,0.9056603908538818,24,0.9303638935089111,0.5714285969734192,0.8275862336158752,674,0.7385445237159729,,,,,,,
,,24,,,,674,,0.0,0.7478035092353821,,,,,
0.75789475440979,0.9056603908538818,25,0.8239225149154663,0.5714285969734192,0.8275862336158752,701,0.7385445237159729,,,,,,,
,,25,,,,701,,0.0,0.7470902800559998,,,,,
0.7894737124443054,0.9433962106704712,26,0.8170198798179626,0.5952380895614624,0.8928571343421936,728,0.7693171501159668,,,,,,,
,,26,,,,728,,0.0,0.735868513584137,,,,,
0.7894737124443054,0.9056603908538818,27,1.2876591682434082,0.6428571343421936,0.84375,755,0.7742587327957153,,,,,,,
,,27,,,,755,,0.0,0.7464593052864075,,,,,
0.7684210538864136,0.9433962106704712,28,0.8948770761489868,0.5476190447807312,0.8846153616905212,782,0.7455076575279236,,,,,,,
,,28,,,,782,,0.0,0.7012167572975159,,,,,
0.7684210538864136,0.9056603908538818,29,0.9007887244224548,0.5952380895614624,0.8333333134651184,809,0.7504492402076721,,,,,,,
,,29,,,,809,,0.0,0.701113760471344,,,,,
0.75789475440979,0.9056603908538818,30,0.9460659623146057,0.5714285969734192,0.8275862336158752,836,0.7385445237159729,,,,,,,
,,30,,,,836,,0.0,0.6652193069458008,,,,,
0.75789475440979,0.9056603908538818,31,0.8220848441123962,0.5714285969734192,0.8275862336158752,863,0.7385445237159729,,,,,,,
,,31,,,,863,,0.0,0.7119225859642029,,,,,
