val_specificity,val_sensitivity,epoch,val_loss,val_auroc,val_precision,step,val_accuracy,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
1.0,0.0,0,0.8679736256599426,0.5,0.0,26,0.557894766330719,,,,,,,
,,0,,,,26,,0.8836548328399658,0.0,,,,,
0.9433962106704712,0.0714285746216774,1,2.097087860107422,0.5074123740196228,0.5,53,0.557894766330719,,,,,,,
,,1,,,,53,,0.8652125000953674,0.0,,,,,
0.9811320900917053,0.2380952388048172,2,2.8168771266937256,0.6096137166023254,0.9090909361839294,80,0.6526315808296204,,,,,,,
,,2,,,,80,,0.842496395111084,0.0,,,,,
0.9433962106704712,0.3095238208770752,3,2.1331613063812256,0.6264600157737732,0.8125,107,0.6631578803062439,,,,,,,
,,3,,,,107,,0.8070923089981079,0.0,,,,,
0.849056601524353,0.4761904776096344,4,3.5310277938842773,0.6626235246658325,0.7142857313156128,134,0.6842105388641357,,,,,,,
,,4,,,,134,,0.7670392990112305,0.0,,,,,
0.9811320900917053,0.4047619104385376,5,1.9695465564727783,0.6929470896720886,0.9444444179534912,161,0.7263157963752747,,,,,,,
,,5,,,,161,,0.7349226474761963,0.0,,,,,
0.9433962106704712,0.5,6,1.8054490089416504,0.7216981053352356,0.875,188,0.7473683953285217,,,,,,,
,,6,,,,188,,0.6751804351806641,0.0,,,,,
0.8867924809455872,0.5714285969734192,7,2.360496759414673,0.7291104793548584,0.800000011920929,215,0.7473683953285217,,,,,,,
,,7,,,,215,,0.672793984413147,0.0,,,,,
0.9056603908538818,0.5,8,1.954737663269043,0.7028301954269409,0.807692289352417,242,0.7263157963752747,,,,,,,
,,8,,,,242,,0.6723142266273499,0.0,,,,,
0.9245282411575317,0.5714285969734192,9,1.3221300840377808,0.7479784488677979,0.8571428656578064,269,0.7684210538864136,,,,,,,
,,9,,,,269,,0.6524364948272705,0.0,,,,,
0.9056603908538818,0.523809552192688,10,1.7963441610336304,0.7147350311279297,0.8148148655891418,296,0.7368420958518982,,,,,,,
,,10,,,,296,,0.6470403075218201,0.0,,,,,
0.9056603908538818,0.5714285969734192,11,2.198929786682129,0.7385445237159729,0.8275862336158752,323,0.75789475440979,,,,,,,
,,11,,,,323,,0.6315854787826538,0.0,,,,,
0.9433962106704712,0.5952380895614624,12,2.227994203567505,0.7693171501159668,0.8928571343421936,350,0.7894737124443054,,,,,,,
,,12,,,,350,,0.6260254383087158,0.0,,,,,
0.9245282411575317,0.5476190447807312,13,2.596071720123291,0.7360737323760986,0.8518518805503845,377,0.75789475440979,,,,,,,
,,13,,,,377,,0.6626384854316711,0.0,,,,,
0.9245282411575317,0.5952380895614624,14,1.1971074342727661,0.7598832249641418,0.8620689511299133,404,0.7789473533630371,,,,,,,
,,14,,,,404,,0.6130651831626892,0.0,,,,,
0.9433962106704712,0.5952380895614624,15,2.1225695610046387,0.7693171501159668,0.8928571343421936,431,0.7894737124443054,,,,,,,
,,15,,,,431,,0.6106880903244019,0.0,,,,,
0.9433962106704712,0.5952380895614624,16,1.472212791442871,0.7693171501159668,0.8928571343421936,458,0.7894737124443054,,,,,,,
,,16,,,,458,,0.6065902709960938,0.0,,,,,
0.9433962106704712,0.5952380895614624,17,1.7224115133285522,0.7693171501159668,0.8928571343421936,485,0.7894737124443054,,,,,,,
,,17,,,,485,,0.5681645274162292,0.0,,,,,
0.9433962106704712,0.6190476417541504,18,3.219165563583374,0.781221866607666,0.8965517282485962,512,0.800000011920929,,,,,,,
,,18,,,,512,,0.5675779581069946,0.0,,,,,
0.9433962106704712,0.5952380895614624,19,1.0637638568878174,0.7693171501159668,0.8928571343421936,539,0.7894737124443054,,,,,,,
,,19,,,,539,,0.5819512605667114,0.0,,,,,
0.8867924809455872,0.6428571343421936,20,2.1095993518829346,0.7648246884346008,0.8181818127632141,566,0.7789473533630371,,,,,,,
,,20,,,,566,,0.5651708841323853,0.0,,,,,
0.9245282411575317,0.6428571343421936,21,1.0107916593551636,0.7836927175521851,0.8709677457809448,593,0.800000011920929,,,,,,,
,,21,,,,593,,0.5750941634178162,0.0,,,,,
0.9433962106704712,0.6190476417541504,22,2.390662670135498,0.781221866607666,0.8965517282485962,620,0.800000011920929,,,,,,,
