step,val_auroc,val_precision,epoch,val_specificity,val_loss,val_accuracy,val_sensitivity,train_loss,unlabeled_data_utilization,test_specificity,test_sensitivity,test_precision,test_accuracy,test_auroc
17,0.5,0.4421052634716034,0,0.0,0.6213070750236511,0.4421052634716034,1.0,,,,,,,
17,,,0,,,,,0.6371175050735474,0.00842469185590744,,,,,
35,0.5390835404396057,0.52173912525177,1,0.792452871799469,0.6805532574653625,0.5684210658073425,0.2857142984867096,,,,,,,
35,,,1,,,,,0.6373046636581421,0.011753587983548641,,,,,
53,0.47416892647743225,0.20000000298023224,2,0.9245282411575317,0.6574053764343262,0.5263158082962036,0.02380952425301075,,,,,,,
53,,,2,,,,,0.6292675137519836,0.006977982819080353,,,,,
71,0.555031418800354,0.699999988079071,3,0.9433962106704712,0.6455049514770508,0.6000000238418579,0.1666666716337204,,,,,,,
71,,,3,,,,,0.6210260391235352,0.012318847700953484,,,,,
89,0.6502695679664612,0.8333333134651184,4,0.9433962106704712,0.6521050333976746,0.6842105388641357,0.3571428656578064,,,,,,,
89,,,4,,,,,0.6281743049621582,0.01703740656375885,,,,,
107,0.5525606870651245,0.75,5,0.9622642397880554,0.6718350052833557,0.6000000238418579,0.1428571492433548,,,,,,,
107,,,5,,,,,0.6167815327644348,0.009289948269724846,,,,,
125,0.577268660068512,0.5714285969734192,6,0.7735848426818848,0.7315908074378967,0.6000000238418579,0.380952388048172,,,,,,,
125,,,6,,,,,0.6103211045265198,0.011649968102574348,,,,,
143,0.7008086442947388,0.7272727489471436,7,0.8301886916160583,0.6409174203872681,0.7157894968986511,0.5714285969734192,,,,,,,
143,,,7,,,,,0.6066269874572754,0.019230173900723457,,,,,
161,0.6675651669502258,0.6875,8,0.8113208413124084,0.7891031503677368,0.6842105388641357,0.523809552192688,,,,,,,
161,,,8,,,,,0.6010585427284241,0.017892323434352875,,,,,
179,0.7434860467910767,0.7878788113594055,9,0.8679245114326477,1.0813543796539307,0.75789475440979,0.6190476417541504,,,,,,,
179,,,9,,,,,0.5778884291648865,0.011071046814322472,,,,,
197,0.7459568381309509,0.7714285850524902,10,0.849056601524353,0.6310251355171204,0.75789475440979,0.6428571343421936,,,,,,,
197,,,10,,,,,0.5630237460136414,0.02406758815050125,,,,,
215,0.7459568381309509,0.7714285850524902,11,0.849056601524353,0.5769531726837158,0.75789475440979,0.6428571343421936,,,,,,,
215,,,11,,,,,0.5490508079528809,0.019657108932733536,,,,,
233,0.7861635684967041,0.8484848737716675,12,0.9056603908538818,0.6214072108268738,0.800000011920929,0.6666666865348816,,,,,,,
233,,,12,,,,,0.5355788469314575,0.026686448603868484,,,,,
251,0.7266397476196289,0.8214285373687744,13,0.9056603908538818,0.5503170490264893,0.7473683953285217,0.5476190447807312,,,,,,,
251,,,13,,,,,0.5164704918861389,0.04826413467526436,,,,,
269,0.7270889282226562,0.7297297716140747,14,0.8113208413124084,0.5301758050918579,0.7368420958518982,0.6428571343421936,,,,,,,
269,,,14,,,,,0.5119730830192566,0.08560435473918915,,,,,
287,0.7717880010604858,0.8666666746139526,15,0.9245282411575317,0.5152568221092224,0.7894737124443054,0.6190476417541504,,,,,,,
287,,,15,,,,,0.5238329172134399,0.1468074917793274,,,,,
305,0.7742587327957153,0.84375,16,0.9056603908538818,0.6804617643356323,0.7894737124443054,0.6428571343421936,,,,,,,
305,,,16,,,,,0.5220960378646851,0.19160281121730804,,,,,
323,0.7225965857505798,0.6904761791229248,17,0.7547169923782349,0.7064272165298462,0.7263157963752747,0.6904761791229248,,,,,,,
323,,,17,,,,,0.5232674479484558,0.23147667944431305,,,,,
341,0.738993763923645,0.7368420958518982,18,0.8113208413124084,0.4704931676387787,0.7473683953285217,0.6666666865348816,,,,,,,
341,,,18,,,,,0.5123344659805298,0.2694878578186035,,,,,
359,0.7578616738319397,0.7777778506278992,19,0.849056601524353,0.5412826538085938,0.7684210538864136,0.6666666865348816,,,,,,,
359,,,19,,,,,0.53785640001297,0.3046165108680725,,,,,
377,0.7553907632827759,0.7941176295280457,20,0.8679245114326477,0.6587041020393372,0.7684210538864136,0.6428571343421936,,,,,,,
377,,,20,,,,,0.5084965825080872,0.32868149876594543,,,,,
395,0.7434860467910767,0.7878788113594055,21,0.8679245114326477,0.4624815583229065,0.75789475440979,0.6190476417541504,,,,,,,
395,,,21,,,,,0.5247407555580139,0.3654211759567261,,,,,
413,0.7935759425163269,0.7948718667030334,22,0.849056601524353,0.563839316368103,0.800000011920929,0.738095223903656,,,,,,,
413,,,22,,,,,0.5174779891967773,0.3693809509277344,,,,,
431,0.7792003154754639,0.8055555820465088,23,0.8679245114326477,0.5607037544250488,0.7894737124443054,0.6904761791229248,,,,,,,
431,,,23,,,,,0.5152851939201355,0.38453245162963867,,,,,
449,0.7434860467910767,0.7878788113594055,24,0.8679245114326477,0.6796251535415649,0.75789475440979,0.6190476417541504,,,,,,,
449,,,24,,,,,0.5080518126487732,0.42455244064331055,,,,,
467,0.7529200315475464,0.8125,25,0.8867924809455872,0.5854399800300598,0.7684210538864136,0.6190476417541504,,,,,,,
467,,,25,,,,,0.521869957447052,0.443475604057312,,,,,
485,0.7459568381309509,0.7714285850524902,26,0.849056601524353,0.45173972845077515,0.75789475440979,0.6428571343421936,,,,,,,
485,,,26,,,,,0.5120465755462646,0.4551166892051697,,,,,
503,0.6495956182479858,0.5769230723381042,27,0.5849056839942932,1.0098847150802612,0.6421052813529968,0.7142857313156128,,,,,,,
503,,,27,,,,,0.4865472912788391,0.45490145683288574,,,,,
521,0.7697663903236389,0.7837837338447571,28,0.849056601524353,0.491944819688797,0.7789473533630371,0.6904761791229248,,,,,,,
521,,,28,,,,,0.5096700191497803,0.4613884389400482,,,,,
539,0.7648246884346008,0.8181818127632141,29,0.8867924809455872,0.6844384670257568,0.7789473533630371,0.6428571343421936,,,,,,,
539,,,29,,,,,0.5027429461479187,0.4825528860092163,,,,,
557,0.7767295241355896,0.8235294818878174,30,0.8867924809455872,0.4888606369495392,0.7894737124443054,0.6666666865348816,,,,,,,
557,,,30,,,,,0.49236100912094116,0.4661969840526581,,,,,
575,0.7841419577598572,0.7749999761581421,31,0.8301886916160583,0.5532874464988708,0.7894737124443054,0.738095223903656,,,,,,,
575,,,31,,,,,0.4890807867050171,0.4777754545211792,,,,,
593,0.7672956585884094,0.800000011920929,32,0.8679245114326477,0.38308876752853394,0.7789473533630371,0.6666666865348816,,,,,,,
593,,,32,,,,,0.4894355237483978,0.4818669557571411,,,,,
611,0.7672956585884094,0.800000011920929,33,0.8679245114326477,0.5291690230369568,0.7789473533630371,0.6666666865348816,,,,,,,
611,,,33,,,,,0.4885967969894409,0.5092324614524841,,,,,
629,0.7672956585884094,0.800000011920929,34,0.8679245114326477,0.5250375866889954,0.7789473533630371,0.6666666865348816,,,,,,,
629,,,34,,,,,0.4647168815135956,0.519245445728302,,,,,
647,0.7623540163040161,0.8387095928192139,35,0.9056603908538818,0.4267787039279938,0.7789473533630371,0.6190476417541504,,,,,,,
647,,,35,,,,,0.4729714095592499,0.5392011404037476,,,,,
665,0.7836927175521851,0.8709677457809448,36,0.9245282411575317,0.5201870203018188,0.800000011920929,0.6428571343421936,,,,,,,
665,,,36,,,,,0.4956952929496765,0.562743604183197,,,,,
683,0.7672956585884094,0.800000011920929,37,0.8679245114326477,0.45621100068092346,0.7789473533630371,0.6666666865348816,,,,,,,
683,,,37,,,,,0.4717531204223633,0.5582671165466309,,,,,
701,0.7648246884346008,0.8181818127632141,38,0.8867924809455872,0.6471903324127197,0.7789473533630371,0.6428571343421936,,,,,,,
701,,,38,,,,,0.466869056224823,0.5389339923858643,,,,,
719,0.7861635684967041,0.8484848737716675,39,0.9056603908538818,0.43363142013549805,0.800000011920929,0.6666666865348816,,,,,,,
719,,,39,,,,,0.4756919741630554,0.546058714389801,,,,,
737,0.7553907632827759,0.7941176295280457,40,0.8679245114326477,0.7144657373428345,0.7684210538864136,0.6428571343421936,,,,,,,
737,,,40,,,,,0.4657405614852905,0.5575029253959656,,,,,
755,0.760332465171814,0.7631579041481018,41,0.8301886916160583,0.6385307908058167,0.7684210538864136,0.6904761791229248,,,,,,,
755,,,41,,,,,0.49698033928871155,0.5545644760131836,,,,,
773,0.7648246884346008,0.8181818127632141,42,0.8867924809455872,0.49621832370758057,0.7789473533630371,0.6428571343421936,,,,,,,
773,,,42,,,,,0.4765216112136841,0.5585150718688965,,,,,
791,0.7648246884346008,0.8181818127632141,43,0.8867924809455872,0.5937830805778503,0.7789473533630371,0.6428571343421936,,,,,,,
791,,,43,,,,,0.4939105808734894,0.5580078363418579,,,,,
809,0.7767295241355896,0.8235294818878174,44,0.8867924809455872,0.4764358401298523,0.7894737124443054,0.6666666865348816,,,,,,,
809,,,44,,,,,0.4746929109096527,0.5617274045944214,,,,,
827,0.7648246884346008,0.8181818127632141,45,0.8867924809455872,0.8992043137550354,0.7789473533630371,0.6428571343421936,,,,,,,
827,,,45,,,,,0.44642090797424316,0.5589715838432312,,,,,
845,0.7697663903236389,0.7837837338447571,46,0.849056601524353,0.6112029552459717,0.7789473533630371,0.6904761791229248,,,,,,,
845,,,46,,,,,0.4309036135673523,0.5800217986106873,,,,,
863,0.7792003154754639,0.8055555820465088,47,0.8679245114326477,0.4707670211791992,0.7894737124443054,0.6904761791229248,,,,,,,
863,,,47,,,,,0.45361343026161194,0.601587176322937,,,,,
881,0.7672956585884094,0.800000011920929,48,0.8679245114326477,0.62211012840271,0.7789473533630371,0.6666666865348816,,,,,,,
881,,,48,,,,,0.47918376326560974,0.6100813150405884,,,,,
899,0.7529200315475464,0.8125,49,0.8867924809455872,0.9004011750221252,0.7684210538864136,0.6190476417541504,,,,,,,
899,,,49,,,,,0.44578850269317627,0.5974035859107971,,,,,
917,0.7672956585884094,0.800000011920929,50,0.8679245114326477,0.5832019448280334,0.7789473533630371,0.6666666865348816,,,,,,,
917,,,50,,,,,0.47497743368148804,0.6092414855957031,,,,,
935,0.7672956585884094,0.800000011920929,51,0.8679245114326477,0.476790189743042,0.7789473533630371,0.6666666865348816,,,,,,,
935,,,51,,,,,0.45460987091064453,0.604516863822937,,,,,
