step,val_precision,val_sensitivity,val_specificity,val_auroc,val_accuracy,epoch,val_loss,train_loss,unlabeled_data_utilization,test_specificity,test_precision,test_auroc,test_accuracy,test_sensitivity
26,0.0,0.0,1.0,0.5,0.557894766330719,0,1.5689539909362793,,,,,,,
26,,,,,,0,,1.5758363008499146,0.0,,,,,
53,0.0,0.0,0.9811320900917053,0.49056604504585266,0.5473684072494507,1,8.07012939453125,,,,,,,
53,,,,,,1,,1.5101584196090698,0.0,,,,,
80,1.0,0.095238097012043,1.0,0.5476190447807312,0.6000000238418579,2,2.2208032608032227,,,,,,,
80,,,,,,2,,1.4798635244369507,0.0,,,,,
107,0.8888888955116272,0.5714285969734192,0.9433962106704712,0.7574123740196228,0.7789473533630371,3,3.2315115928649902,,,,,,,
107,,,,,,3,,1.3844702243804932,0.0,,,,,
134,0.875,0.5,0.9433962106704712,0.7216981053352356,0.7473683953285217,4,1.2782044410705566,,,,,,,
134,,,,,,4,,1.3127702474594116,0.0,,,,,
161,0.9473684430122375,0.4285714328289032,0.9811320900917053,0.7048517465591431,0.7368420958518982,5,1.3223822116851807,,,,,,,
161,,,,,,5,,1.2682256698608398,0.0,,,,,
188,0.949999988079071,0.4523809850215912,0.9811320900917053,0.7167565822601318,0.7473683953285217,6,1.808648943901062,,,,,,,
188,,,,,,6,,1.1589218378067017,0.0,,,,,
215,0.807692289352417,0.5,0.9056603908538818,0.7028301954269409,0.7263157963752747,7,1.5168108940124512,,,,,,,
215,,,,,,7,,1.1492385864257812,0.0,,,,,
242,0.6363636255264282,0.5,0.7735848426818848,0.6367924809455872,0.6526315808296204,8,2.941102981567383,,,,,,,
242,,,,,,8,,1.1344587802886963,0.0,,,,,
269,0.8571428656578064,0.5714285969734192,0.9245282411575317,0.7479784488677979,0.7684210538864136,9,1.333420991897583,,,,,,,
269,,,,,,9,,1.150034785270691,0.0,,,,,
296,0.8484848737716675,0.6666666865348816,0.9056603908538818,0.7861635684967041,0.800000011920929,10,1.0034983158111572,,,,,,,
296,,,,,,10,,1.0394929647445679,0.0,,,,,
323,0.8888888955116272,0.5714285969734192,0.9433962106704712,0.7574123740196228,0.7789473533630371,11,1.0675767660140991,,,,,,,
323,,,,,,11,,1.1259547472000122,0.0,,,,,
350,0.8620689511299133,0.5952380895614624,0.9245282411575317,0.7598832249641418,0.7789473533630371,12,1.1059355735778809,,,,,,,
350,,,,,,12,,1.1096409559249878,0.0,,,,,
377,0.8965517282485962,0.6190476417541504,0.9433962106704712,0.781221866607666,0.800000011920929,13,1.3050225973129272,,,,,,,
377,,,,,,13,,1.0516748428344727,0.0,,,,,
404,0.9259259104728699,0.5952380895614624,0.9622642397880554,0.7787511944770813,0.800000011920929,14,1.7064403295516968,,,,,,,
404,,,,,,14,,1.0654523372650146,0.0,,,,,
431,0.90625,0.6904761791229248,0.9433962106704712,0.816936194896698,0.8315789699554443,15,1.2165400981903076,,,,,,,
431,,,,,,15,,1.0456113815307617,0.0,,,,,
458,0.8965517282485962,0.6190476417541504,0.9433962106704712,0.781221866607666,0.800000011920929,16,1.6829681396484375,,,,,,,
458,,,,,,16,,1.0455354452133179,0.0,,,,,
485,0.8695652484893799,0.4761904776096344,0.9433962106704712,0.7097933292388916,0.7368420958518982,17,1.442075490951538,,,,,,,
485,,,,,,17,,0.9952057003974915,0.0,,,,,
512,0.90625,0.6904761791229248,0.9433962106704712,0.816936194896698,0.8315789699554443,18,2.2913498878479004,,,,,,,
512,,,,,,18,,0.9577322006225586,0.0,,,,,
539,0.8787878751754761,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.821052610874176,19,0.9735690355300903,,,,,,,
539,,,,,,19,,0.9805960655212402,0.0,,,,,
566,0.9090909361839294,0.7142857313156128,0.9433962106704712,0.828840970993042,0.8421052694320679,20,1.301767349243164,,,,,,,
566,,,,,,20,,0.9548857808113098,0.0,,,,,
593,0.8787878751754761,0.6904761791229248,0.9245282411575317,0.8075022101402283,0.821052610874176,21,1.3247665166854858,,,,,,,
593,,,,,,21,,0.9614160656929016,0.0,,,,,
620,0.9032257795333862,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.821052610874176,22,1.217403531074524,,,,,,,
620,,,,,,22,,0.9373763203620911,0.0,,,,,
647,0.9032257795333862,0.6666666865348816,0.9433962106704712,0.8050314784049988,0.821052610874176,23,1.378016710281372,,,,,,,
647,,,,,,23,,0.9520912766456604,0.0,,,,,
674,0.8529411554336548,0.6904761791229248,0.9056603908538818,0.7980683445930481,0.8105263113975525,24,1.1121509075164795,,,,,,,
674,,,,,,24,,0.8942021727561951,0.0,,,,,
701,0.9090909361839294,0.7142857313156128,0.9433962106704712,0.828840970993042,0.8421052694320679,25,1.0855013132095337,,,,,,,
701,,,,,,25,,0.9295145273208618,0.0,,,,,
728,0.8484848737716675,0.6666666865348816,0.9056603908538818,0.7861635684967041,0.800000011920929,26,0.9741294980049133,,,,,,,
