val_auroc,val_precision,val_specificity,val_loss,val_sensitivity,epoch,step,val_accuracy,train_loss,unlabeled_data_utilization,test_auroc,test_sensitivity,test_precision,test_specificity,test_accuracy
0.4950000047683716,0.0,0.9900000095367432,0.3681516945362091,0.0,0,34,0.9166666865348816,,,,,,,
,,,,,0,34,,0.3734578490257263,0.008613184094429016,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.3758503496646881,0.0,1,69,0.9074074029922485,,,,,,,
,,,,,1,69,,0.3696819841861725,0.0064803785644471645,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.3729102611541748,0.0,2,104,0.9074074029922485,,,,,,,
,,,,,2,104,,0.37174856662750244,0.009407681412994862,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.36552906036376953,0.0,3,139,0.9074074029922485,,,,,,,
,,,,,3,139,,0.3704513907432556,0.008698694407939911,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.36916592717170715,0.0,4,174,0.9074074029922485,,,,,,,
,,,,,4,174,,0.3625122904777527,0.007562499959021807,,,,,
0.4950000047683716,0.0,0.9900000095367432,0.4094426929950714,0.0,5,209,0.9166666865348816,,,,,,,
,,,,,5,209,,0.3611058294773102,0.00712288822978735,,,,,
0.4950000047683716,0.0,0.9900000095367432,0.36223483085632324,0.0,6,244,0.9166666865348816,,,,,,,
,,,,,6,244,,0.36422646045684814,0.00805487111210823,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.36210113763809204,0.0,7,279,0.9074074029922485,,,,,,,
,,,,,7,279,,0.3623926639556885,0.008988327346742153,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.35888543725013733,0.0,8,314,0.9074074029922485,,,,,,,
,,,,,8,314,,0.3606795370578766,0.010010250844061375,,,,,
0.5,0.0,1.0,0.363429456949234,0.0,9,349,0.9259259104728699,,,,,,,
,,,,,9,349,,0.35938316583633423,0.007937876507639885,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.35603955388069153,0.0,10,384,0.9074074029922485,,,,,,,
,,,,,10,384,,0.3577365279197693,0.008481698110699654,,,,,
0.4950000047683716,0.0,0.9900000095367432,0.3522735834121704,0.0,11,419,0.9166666865348816,,,,,,,
,,,,,11,419,,0.3525159955024719,0.007998696528375149,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.3636750876903534,0.0,12,454,0.9074074029922485,,,,,,,
,,,,,12,454,,0.35243698954582214,0.008014013059437275,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.3577382564544678,0.0,13,489,0.9074074029922485,,,,,,,
,,,,,13,489,,0.35312598943710327,0.012638546526432037,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.3611752688884735,0.0,14,524,0.9074074029922485,,,,,,,
,,,,,14,524,,0.35068628191947937,0.008430548943579197,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.36593174934387207,0.0,15,559,0.9074074029922485,,,,,,,
,,,,,15,559,,0.35189923644065857,0.008021971210837364,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.356240838766098,0.0,16,594,0.9074074029922485,,,,,,,
,,,,,16,594,,0.3499227464199066,0.009511544369161129,,,,,
0.49000000953674316,0.0,0.9800000190734863,0.37519440054893494,0.0,17,629,0.9074074029922485,,,,,,,
,,,,,17,629,,0.35152187943458557,0.008775655180215836,,,,,
0.4950000047683716,0.0,0.9900000095367432,0.36004340648651123,0.0,18,664,0.9166666865348816,,,,,,,
,,,,,18,664,,0.35159286856651306,0.012174032628536224,,,,,
0.4950000047683716,0.0,0.9900000095367432,0.36034590005874634,0.0,19,699,0.9166666865348816,,,,,,,
,,,,,19,699,,0.35044676065444946,0.009588820859789848,,,,,
,,,,,20,700,,,,0.5029116272926331,0.05000000074505806,0.0833333358168602,0.9558232426643372,0.8884758353233337
,,,,,20,700,,,,0.48192769289016724,0.0,0.0,0.9638553857803345,0.8921933174133301
,,,,,20,700,,,,0.5089357495307922,0.04999999701976776,0.1111111119389534,0.9678714275360107,0.8996282815933228
