epoch,val_auroc,val_accuracy,val_loss,val_sensitivity,val_specificity,step,val_precision,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_sensitivity,test_accuracy,test_precision
0,0.6823899149894714,0.6842105388641357,0.5435194373130798,0.6666666865348816,0.698113203048706,26,0.6363636255264282,,,,,,,
0,,,,,,26,,0.6134403944015503,0.011560031212866306,,,,,
1,0.7484278082847595,0.75789475440979,0.4552653133869171,0.6666666865348816,0.8301886916160583,53,0.7567567229270935,,,,,,,
1,,,,,,53,,0.5558002591133118,0.03199854865670204,,,,,
2,0.7628032565116882,0.7684210538864136,0.48162999749183655,0.7142857313156128,0.8113208413124084,80,0.75,,,,,,,
2,,,,,,80,,0.5282980799674988,0.1258688122034073,,,,,
3,0.7911050915718079,0.800000011920929,0.42367950081825256,0.7142857313156128,0.8679245114326477,107,0.8108107447624207,,,,,,,
3,,,,,,107,,0.5326419472694397,0.20483827590942383,,,,,
4,0.7529200315475464,0.7684210538864136,0.4615836441516876,0.6190476417541504,0.8867924809455872,134,0.8125,,,,,,,
4,,,,,,134,,0.533453106880188,0.24581676721572876,,,,,
5,0.7886343002319336,0.800000011920929,0.4506392776966095,0.6904761791229248,0.8867924809455872,161,0.8285714387893677,,,,,,,
5,,,,,,161,,0.5212730765342712,0.27116936445236206,,,,,
6,0.7792003154754639,0.7894737124443054,0.4990619719028473,0.6904761791229248,0.8679245114326477,188,0.8055555820465088,,,,,,,
6,,,,,,188,,0.5200363993644714,0.35821232199668884,,,,,
7,0.795597493648529,0.8105263113975525,0.3882159888744354,0.6666666865348816,0.9245282411575317,215,0.875,,,,,,,
7,,,,,,215,,0.49596965312957764,0.39293456077575684,,,,,
8,0.7816711664199829,0.7894737124443054,0.4588928520679474,0.7142857313156128,0.849056601524353,242,0.7894737124443054,,,,,,,
8,,,,,,242,,0.5161170363426208,0.4219059348106384,,,,,
9,0.8194069862365723,0.8315789699554443,0.366502046585083,0.7142857313156128,0.9245282411575317,269,0.8823529481887817,,,,,,,
9,,,,,,269,,0.4884023070335388,0.433708518743515,,,,,
