epoch,val_auroc,val_accuracy,val_loss,val_sensitivity,val_specificity,step,val_precision,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_sensitivity,test_accuracy,test_precision
0,0.7225965857505798,0.7263157963752747,0.5479726791381836,0.6904761791229248,0.7547169923782349,26,0.6904761791229248,,,,,,,
0,,,,,,26,,0.5936965346336365,0.0007749430951662362,,,,,
1,0.7911050915718079,0.800000011920929,0.5004364848136902,0.7142857313156128,0.8679245114326477,53,0.8108107447624207,,,,,,,
1,,,,,,53,,0.529852569103241,0.019882909953594208,,,,,
2,0.760332465171814,0.7684210538864136,0.4976559579372406,0.6904761791229248,0.8301886916160583,80,0.7631579041481018,,,,,,,
2,,,,,,80,,0.5130948424339294,0.06496410816907883,,,,,
3,0.7935759425163269,0.800000011920929,0.4306408166885376,0.738095223903656,0.849056601524353,107,0.7948718667030334,,,,,,,
3,,,,,,107,,0.5023086667060852,0.09048941731452942,,,,,
4,0.7792003154754639,0.7894737124443054,0.45033586025238037,0.6904761791229248,0.8679245114326477,134,0.8055555820465088,,,,,,,
4,,,,,,134,,0.4933043122291565,0.13189080357551575,,,,,
5,0.828840970993042,0.8421052694320679,0.43110331892967224,0.7142857313156128,0.9433962106704712,161,0.9090909361839294,,,,,,,
5,,,,,,161,,0.4667346477508545,0.13626256585121155,,,,,
6,0.8194069862365723,0.8315789699554443,0.41537201404571533,0.7142857313156128,0.9245282411575317,188,0.8823529481887817,,,,,,,
6,,,,,,188,,0.4774991571903229,0.15611222386360168,,,,,
7,0.8456873297691345,0.8526315689086914,0.4852685332298279,0.7857142686843872,0.9056603908538818,215,0.8684210777282715,,,,,,,
7,,,,,,215,,0.4619954228401184,0.19062234461307526,,,,,
8,0.7911050915718079,0.800000011920929,0.4280532896518707,0.7142857313156128,0.8679245114326477,242,0.8108107447624207,,,,,,,
8,,,,,,242,,0.47271791100502014,0.17530684173107147,,,,,
9,0.8268193006515503,0.8315789699554443,0.42864421010017395,0.7857142686843872,0.8679245114326477,269,0.824999988079071,,,,,,,
9,,,,,,269,,0.46284252405166626,0.20907080173492432,,,,,
10,0.8005390167236328,0.8105263113975525,0.4308065176010132,0.7142857313156128,0.8867924809455872,296,0.8333333134651184,,,,,,,
