epoch, val_sensitivity   , val_accuracy      , val_specificity    , val_precision     , step, val_auroc         , val_loss           , unlabeled_data_utilization, train_loss         , test_sensitivity  , test_specificity  , test_precision    , test_accuracy     , test_auroc
   18,                   ,                   ,                    ,                   ,  512,                   ,                    ,       0.2982814908027649  , 0.41057488322257996,                   ,                   ,                   ,                   ,  
   19, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715,  539, 0.8456873297691345, 0.388088196516037  ,                           ,                    ,                   ,                   ,                   ,                   ,  
   19,                   ,                   ,                    ,                   ,  539,                   ,                    ,       0.2957066297531128  , 0.4189620018005371 ,                   ,                   ,                   ,                   ,  
   20, 0.8095238208770752, 0.8315789699554443, 0.849056601524353  , 0.8095238208770752,  566, 0.8292902112007141, 0.37050944566726685,                           ,                    ,                   ,                   ,                   ,                   ,  
   20,                   ,                   ,                    ,                   ,  566,                   ,                    ,       0.29898780584335327 , 0.4326684772968292 ,                   ,                   ,                   ,                   ,  
   21, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842,  593, 0.8124438524246216, 0.3813956081867218 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   21,                   ,                   ,                    ,                   ,  593,                   ,                    ,       0.298820823431015   , 0.41590818762779236,                   ,                   ,                   ,                   ,  
   22, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679,  620, 0.824348509311676 , 0.41466981172561646,                           ,                    ,                   ,                   ,                   ,                   ,  
   22,                   ,                   ,                    ,                   ,  620,                   ,                    ,       0.32908347249031067 , 0.42574259638786316,                   ,                   ,                   ,                   ,  
   23, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453,  647, 0.8149146437644958, 0.40008530020713806,                           ,                    ,                   ,                   ,                   ,                   ,  
   23,                   ,                   ,                    ,                   ,  647,                   ,                    ,       0.3277589976787567  , 0.430941104888916  ,                   ,                   ,                   ,                   ,  
   24, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477 , 0.824999988079071 ,  674, 0.8268193006515503, 0.41167932748794556,                           ,                    ,                   ,                   ,                   ,                   ,  
   24,                   ,                   ,                    ,                   ,  674,                   ,                    ,       0.31044119596481323 , 0.414048969745636  ,                   ,                   ,                   ,                   ,  
   25, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679,  701, 0.824348509311676 , 0.3631286323070526 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   25,                   ,                   ,                    ,                   ,  701,                   ,                    ,       0.33349400758743286 , 0.3970954716205597 ,                   ,                   ,                   ,                   ,  
   26, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374,  728, 0.8337825536727905, 0.43415871262550354,                           ,                    ,                   ,                   ,                   ,                   ,  
   26,                   ,                   ,                    ,                   ,  728,                   ,                    ,       0.32729363441467285 , 0.38776275515556335,                   ,                   ,                   ,                   ,  
   27, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842,  755, 0.8124438524246216, 0.4265442192554474 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   27,                   ,                   ,                    ,                   ,  755,                   ,                    ,       0.3435039818286896  , 0.4016959071159363 ,                   ,                   ,                   ,                   ,  
   28, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679,  782, 0.824348509311676 , 0.3713582754135132 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   28,                   ,                   ,                    ,                   ,  782,                   ,                    ,       0.3208882212638855  , 0.39404261112213135,                   ,                   ,                   ,                   ,  
   29, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679,  809, 0.824348509311676 , 0.4065500795841217 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   29,                   ,                   ,                    ,                   ,  809,                   ,                    ,       0.32994043827056885 , 0.3906885087490082 ,                   ,                   ,                   ,                   ,  
   30, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818 , 0.8611111044883728,  836, 0.8218778371810913, 0.3741355240345001 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   30,                   ,                   ,                    ,                   ,  836,                   ,                    ,       0.3364666700363159  , 0.40487948060035706,                   ,                   ,                   ,                   ,  
   31, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679,  863, 0.824348509311676 , 0.42781469225883484,                           ,                    ,                   ,                   ,                   ,                   ,  
   31,                   ,                   ,                    ,                   ,  863,                   ,                    ,       0.3463004529476166  , 0.3868430554866791 ,                   ,                   ,                   ,                   ,  
   32, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374,  890, 0.8337825536727905, 0.38319361209869385,                           ,                    ,                   ,                   ,                   ,                   ,  
   32,                   ,                   ,                    ,                   ,  890,                   ,                    ,       0.34752771258354187 , 0.38264891505241394,                   ,                   ,                   ,                   ,  
   33, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453,  917, 0.8149146437644958, 0.41094014048576355,                           ,                    ,                   ,                   ,                   ,                   ,  
   33,                   ,                   ,                    ,                   ,  917,                   ,                    ,       0.3576316833496094  , 0.3737904727458954 ,                   ,                   ,                   ,                   ,  
   34, 0.7857142686843872, 0.8105263113975525, 0.8301886916160583 , 0.7857142686843872,  944, 0.8079515099525452, 0.31462737917900085,                           ,                    ,                   ,                   ,                   ,                   ,  
   34,                   ,                   ,                    ,                   ,  944,                   ,                    ,       0.34250175952911377 , 0.38988935947418213,                   ,                   ,                   ,                   ,  
   35, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842,  971, 0.8124438524246216, 0.4664362967014313 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   35,                   ,                   ,                    ,                   ,  971,                   ,                    ,       0.35990050435066223 , 0.3822211027145386 ,                   ,                   ,                   ,                   ,  
   36, 0.7857142686843872, 0.8105263113975525, 0.8301886916160583 , 0.7857142686843872,  998, 0.8079515099525452, 0.43425580859184265,                           ,                    ,                   ,                   ,                   ,                   ,  
   36,                   ,                   ,                    ,                   ,  998,                   ,                    ,       0.3556120693683624  , 0.38493430614471436,                   ,                   ,                   ,                   ,  
   37, 0.7142857313156128, 0.7894737124443054, 0.849056601524353  , 0.7894737124443054, 1025, 0.7816711664199829, 0.4421134293079376 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   37,                   ,                   ,                    ,                   , 1025,                   ,                    ,       0.3595508337020874  , 0.3847653567790985 ,                   ,                   ,                   ,                   ,  
   38, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374, 1052, 0.8337825536727905, 0.43197253346443176,                           ,                    ,                   ,                   ,                   ,                   ,  
   38,                   ,                   ,                    ,                   , 1052,                   ,                    ,       0.3466847240924835  , 0.39061543345451355,                   ,                   ,                   ,                   ,  
   39, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477 , 0.824999988079071 , 1079, 0.8268193006515503, 0.3499021530151367 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   39,                   ,                   ,                    ,                   , 1079,                   ,                    ,       0.3368651270866394  , 0.35261428356170654,                   ,                   ,                   ,                   ,  
   40, 0.7142857313156128, 0.8105263113975525, 0.8867924809455872 , 0.8333333134651184, 1106, 0.8005390167236328, 0.4269656836986542 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   40,                   ,                   ,                    ,                   , 1106,                   ,                    ,       0.3823646306991577  , 0.36026328802108765,                   ,                   ,                   ,                   ,  
   41, 0.761904776096344 , 0.8526315689086914, 0.9245282411575317 , 0.8888888955116272, 1133, 0.8432164788246155, 0.38028571009635925,                           ,                    ,                   ,                   ,                   ,                   ,  
   41,                   ,                   ,                    ,                   , 1133,                   ,                    ,       0.392609566450119   , 0.39642444252967834,                   ,                   ,                   ,                   ,  
   42, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818 , 0.8611111044883728, 1160, 0.8218778371810913, 0.40967464447021484,                           ,                    ,                   ,                   ,                   ,                   ,  
   42,                   ,                   ,                    ,                   , 1160,                   ,                    ,       0.3624478280544281  , 0.36062419414520264,                   ,                   ,                   ,                   ,  
   43, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477 , 0.824999988079071 , 1187, 0.8268193006515503, 0.38908258080482483,                           ,                    ,                   ,                   ,                   ,                   ,  
   43,                   ,                   ,                    ,                   , 1187,                   ,                    ,       0.35554587841033936 , 0.35583749413490295,                   ,                   ,                   ,                   ,  
   44, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453, 1214, 0.8149146437644958, 0.3745480477809906 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   44,                   ,                   ,                    ,                   , 1214,                   ,                    ,       0.3539924621582031  , 0.3695470988750458 ,                   ,                   ,                   ,                   ,  
   45, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374, 1241, 0.8337825536727905, 0.3644634187221527 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   45,                   ,                   ,                    ,                   , 1241,                   ,                    ,       0.3508502244949341  , 0.34606897830963135,                   ,                   ,                   ,                   ,  
   46, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818 , 0.8611111044883728, 1268, 0.8218778371810913, 0.3883186876773834 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   46,                   ,                   ,                    ,                   , 1268,                   ,                    ,       0.3808971047401428  , 0.3868669271469116 ,                   ,                   ,                   ,                   ,  
   47, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374, 1295, 0.8337825536727905, 0.4034480154514313 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   47,                   ,                   ,                    ,                   , 1295,                   ,                    ,       0.38065335154533386 , 0.3588933050632477 ,                   ,                   ,                   ,                   ,  
   48, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679, 1322, 0.824348509311676 , 0.4146517813205719 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   48,                   ,                   ,                    ,                   , 1322,                   ,                    ,       0.3809080719947815  , 0.3471529483795166 ,                   ,                   ,                   ,                   ,  
   49, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818 , 0.8611111044883728, 1349, 0.8218778371810913, 0.41494765877723694,                           ,                    ,                   ,                   ,                   ,                   ,  
   49,                   ,                   ,                    ,                   , 1349,                   ,                    ,       0.37411946058273315 , 0.3678201735019684 ,                   ,                   ,                   ,                   ,  
   50, 0.6904761791229248, 0.8105263113975525, 0.9056603908538818 , 0.8529411554336548, 1376, 0.7980683445930481, 0.4319208562374115 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   50,                   ,                   ,                    ,                   , 1376,                   ,                    ,       0.3732917904853821  , 0.37572190165519714,                   ,                   ,                   ,                   ,  
   51, 0.7142857313156128, 0.821052610874176 , 0.9056603908538818 , 0.8571428656578064, 1403, 0.8099730610847473, 0.44523999094963074,                           ,                    ,                   ,                   ,                   ,                   ,  
   51,                   ,                   ,                    ,                   , 1403,                   ,                    ,       0.372993528842926   , 0.3656236529350281 ,                   ,                   ,                   ,                   ,  
   52, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453, 1430, 0.8149146437644958, 0.37557628750801086,                           ,                    ,                   ,                   ,                   ,                   ,  
   52,                   ,                   ,                    ,                   , 1430,                   ,                    ,       0.37787312269210815 , 0.33802297711372375,                   ,                   ,                   ,                   ,  
   53, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453, 1457, 0.8149146437644958, 0.3718394339084625 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   53,                   ,                   ,                    ,                   , 1457,                   ,                    ,       0.36861708760261536 , 0.34435251355171204,                   ,                   ,                   ,                   ,  
   54, 0.7857142686843872, 0.821052610874176 , 0.849056601524353  , 0.8048780560493469, 1484, 0.8173854351043701, 0.3909471333026886 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   54,                   ,                   ,                    ,                   , 1484,                   ,                    ,       0.38652586936950684 , 0.3713931143283844 ,                   ,                   ,                   ,                   ,  
   55, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477 , 0.824999988079071 , 1511, 0.8268193006515503, 0.3667562007904053 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   55,                   ,                   ,                    ,                   , 1511,                   ,                    ,       0.39393919706344604 , 0.34183597564697266,                   ,                   ,                   ,                   ,  
   56, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842, 1538, 0.8124438524246216, 0.4264635443687439 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   56,                   ,                   ,                    ,                   , 1538,                   ,                    ,       0.3800354301929474  , 0.3409235179424286 ,                   ,                   ,                   ,                   ,  
   57, 0.761904776096344 , 0.8105263113975525, 0.849056601524353  , 0.800000011920929 , 1565, 0.8054806590080261, 0.30447959899902344,                           ,                    ,                   ,                   ,                   ,                   ,  
   57,                   ,                   ,                    ,                   , 1565,                   ,                    ,       0.41679754853248596 , 0.35342368483543396,                   ,                   ,                   ,                   ,  
   58, 0.7857142686843872, 0.8421052694320679, 0.8867924809455872 , 0.8461537957191467, 1592, 0.83625328540802  , 0.43052658438682556,                           ,                    ,                   ,                   ,                   ,                   ,  
   58,                   ,                   ,                    ,                   , 1592,                   ,                    ,       0.39335930347442627 , 0.3395543396472931 ,                   ,                   ,                   ,                   ,  
   59, 0.7857142686843872, 0.8631578683853149, 0.9245282411575317 , 0.8918918967247009, 1619, 0.8551213145256042, 0.41383203864097595,                           ,                    ,                   ,                   ,                   ,                   ,  
   59,                   ,                   ,                    ,                   , 1619,                   ,                    ,       0.38897082209587097 , 0.3243105709552765 ,                   ,                   ,                   ,                   ,  
   60, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715, 1646, 0.8456873297691345, 0.40636926889419556,                           ,                    ,                   ,                   ,                   ,                   ,  
   60,                   ,                   ,                    ,                   , 1646,                   ,                    ,       0.4109955430030823  , 0.33721110224723816,                   ,                   ,                   ,                   ,  
   61, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374, 1673, 0.8337825536727905, 0.41731762886047363,                           ,                    ,                   ,                   ,                   ,                   ,  
   61,                   ,                   ,                    ,                   , 1673,                   ,                    ,       0.3934510350227356  , 0.3424554765224457 ,                   ,                   ,                   ,                   ,  
   62, 0.8095238208770752, 0.8421052694320679, 0.8679245114326477 , 0.8292682766914368, 1700, 0.8387241363525391, 0.4394039213657379 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   62,                   ,                   ,                    ,                   , 1700,                   ,                    ,       0.3852391242980957  , 0.3280031085014343 ,                   ,                   ,                   ,                   ,  
   63, 0.8095238208770752, 0.8526315689086914, 0.8867924809455872 , 0.8500000238418579, 1727, 0.8481580018997192, 0.45281511545181274,                           ,                    ,                   ,                   ,                   ,                   ,  
   63,                   ,                   ,                    ,                   , 1727,                   ,                    ,       0.4005085229873657  , 0.33898651599884033,                   ,                   ,                   ,                   ,  
   64, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679, 1754, 0.824348509311676 , 0.41225332021713257,                           ,                    ,                   ,                   ,                   ,                   ,  
   64,                   ,                   ,                    ,                   , 1754,                   ,                    ,       0.420019268989563   , 0.3344084322452545 ,                   ,                   ,                   ,                   ,  
   65, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715, 1781, 0.8456873297691345, 0.40346264839172363,                           ,                    ,                   ,                   ,                   ,                   ,  
   65,                   ,                   ,                    ,                   , 1781,                   ,                    ,       0.40041041374206543 , 0.32383158802986145,                   ,                   ,                   ,                   ,  
   66, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715, 1808, 0.8456873297691345, 0.37783995270729065,                           ,                    ,                   ,                   ,                   ,                   ,  
   66,                   ,                   ,                    ,                   , 1808,                   ,                    ,       0.4008864462375641  , 0.31919580698013306,                   ,                   ,                   ,                   ,  
   67, 0.8095238208770752, 0.8526315689086914, 0.8867924809455872 , 0.8500000238418579, 1835, 0.8481580018997192, 0.40452873706817627,                           ,                    ,                   ,                   ,                   ,                   ,  
   67,                   ,                   ,                    ,                   , 1835,                   ,                    ,       0.40924516320228577 , 0.3229207992553711 ,                   ,                   ,                   ,                   ,  
   68, 0.8095238208770752, 0.8526315689086914, 0.8867924809455872 , 0.8500000238418579, 1862, 0.8481580018997192, 0.42440667748451233,                           ,                    ,                   ,                   ,                   ,                   ,  
   68,                   ,                   ,                    ,                   , 1862,                   ,                    ,       0.40227872133255005 , 0.3135143518447876 ,                   ,                   ,                   ,                   ,  
   69, 0.7857142686843872, 0.8421052694320679, 0.8867924809455872 , 0.8461537957191467, 1889, 0.83625328540802  , 0.3976837694644928 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   69,                   ,                   ,                    ,                   , 1889,                   ,                    ,       0.41232001781463623 , 0.3239298462867737 ,                   ,                   ,                   ,                   ,  
   70, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679, 1916, 0.824348509311676 , 0.39915138483047485,                           ,                    ,                   ,                   ,                   ,                   ,  
   70,                   ,                   ,                    ,                   , 1916,                   ,                    ,       0.4176352322101593  , 0.347408264875412  ,                   ,                   ,                   ,                   ,  
   71, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715, 1943, 0.8456873297691345, 0.3960669934749603 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   71,                   ,                   ,                    ,                   , 1943,                   ,                    ,       0.4108579754829407  , 0.322245717048645  ,                   ,                   ,                   ,                   ,  
   72, 0.8095238208770752, 0.8421052694320679, 0.8679245114326477 , 0.8292682766914368, 1970, 0.8387241363525391, 0.4175344407558441 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   72,                   ,                   ,                    ,                   , 1970,                   ,                    ,       0.41298702359199524 , 0.32180026173591614,                   ,                   ,                   ,                   ,  
   73, 0.7857142686843872, 0.8526315689086914, 0.9056603908538818 , 0.8684210777282715, 1997, 0.8456873297691345, 0.40518486499786377,                           ,                    ,                   ,                   ,                   ,                   ,  
   73,                   ,                   ,                    ,                   , 1997,                   ,                    ,       0.4140862226486206  , 0.3302687704563141 ,                   ,                   ,                   ,                   ,  
   74, 0.761904776096344 , 0.8421052694320679, 0.9056603908538818 , 0.8648648858070374, 2024, 0.8337825536727905, 0.4179724156856537 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   74,                   ,                   ,                    ,                   , 2024,                   ,                    ,       0.3990062475204468  , 0.30383020639419556,                   ,                   ,                   ,                   ,  
   75, 0.7857142686843872, 0.8315789699554443, 0.8679245114326477 , 0.824999988079071 , 2051, 0.8268193006515503, 0.4543922543525696 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   75,                   ,                   ,                    ,                   , 2051,                   ,                    ,       0.4276115596294403  , 0.32614052295684814,                   ,                   ,                   ,                   ,  
   76, 0.761904776096344 , 0.821052610874176 , 0.8679245114326477 , 0.8205127716064453, 2078, 0.8149146437644958, 0.407731294631958  ,                           ,                    ,                   ,                   ,                   ,                   ,  
   76,                   ,                   ,                    ,                   , 2078,                   ,                    ,       0.4070010483264923  , 0.3139393627643585 ,                   ,                   ,                   ,                   ,  
   77, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679, 2105, 0.824348509311676 , 0.46405845880508423,                           ,                    ,                   ,                   ,                   ,                   ,  
   77,                   ,                   ,                    ,                   , 2105,                   ,                    ,       0.39518770575523376 , 0.3078885078430176 ,                   ,                   ,                   ,                   ,  
   78, 0.761904776096344 , 0.8315789699554443, 0.8867924809455872 , 0.8421052694320679, 2132, 0.824348509311676 , 0.4395046532154083 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   78,                   ,                   ,                    ,                   , 2132,                   ,                    ,       0.428806871175766   , 0.307655930519104  ,                   ,                   ,                   ,                   ,  
   79, 0.7857142686843872, 0.8421052694320679, 0.8867924809455872 , 0.8461537957191467, 2159, 0.83625328540802  , 0.39861854910850525,                           ,                    ,                   ,                   ,                   ,                   ,  
   79,                   ,                   ,                    ,                   , 2159,                   ,                    ,       0.42611804604530334 , 0.3235622048377991 ,                   ,                   ,                   ,                   ,  
   80, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842, 2186, 0.8124438524246216, 0.4696575105190277 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   80,                   ,                   ,                    ,                   , 2186,                   ,                    ,       0.4244305193424225  , 0.31926485896110535,                   ,                   ,                   ,                   ,  
   81, 0.738095223903656 , 0.821052610874176 , 0.8867924809455872 , 0.8378377556800842, 2213, 0.8124438524246216, 0.3927237391471863 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   81,                   ,                   ,                    ,                   , 2213,                   ,                    ,       0.44076472520828247 , 0.33682096004486084,                   ,                   ,                   ,                   ,  
   82, 0.7142857313156128, 0.821052610874176 , 0.9056603908538818 , 0.8571428656578064, 2240, 0.8099730610847473, 0.3479393422603607 ,                           ,                    ,                   ,                   ,                   ,                   ,  
   82,                   ,                   ,                    ,                   , 2240,                   ,                    ,       0.4294043779373169  , 0.3214055299758911 ,                   ,                   ,                   ,                   ,  
   83, 0.738095223903656 , 0.8315789699554443, 0.9056603908538818 , 0.8611111044883728, 2267, 0.8218778371810913, 0.4537186324596405 ,                           ,                    ,                   ,                   ,                   ,                   ,  
