epoch,val_sensitivity,val_auroc,val_loss,val_specificity,step,val_precision,val_accuracy,unlabeled_data_utilization,train_loss,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
0,1.0,0.5449999570846558,0.3570787012577057,0.09000000357627869,138,0.08080808073282242,0.15740740299224854,,,,,,,
0,,,,,138,,,0.004681174177676439,0.3606753647327423,,,,,
1,1.0,0.5449999570846558,0.3571944534778595,0.09000000357627869,277,0.08080808073282242,0.15740740299224854,,,,,,,
1,,,,,277,,,0.005719160661101341,0.34818828105926514,,,,,
2,1.0,0.5449999570846558,0.33767053484916687,0.09000000357627869,416,0.08080808073282242,0.15740740299224854,,,,,,,
2,,,,,416,,,0.008699748665094376,0.3393925130367279,,,,,
3,1.0,0.5649999976158142,0.3389175236225128,0.12999999523162842,555,0.08421052992343903,0.1944444477558136,,,,,,,
3,,,,,555,,,0.008444280363619328,0.3292350172996521,,,,,
4,1.0,0.5699999928474426,0.34307175874710083,0.14000000059604645,694,0.08510638028383255,0.20370370149612427,,,,,,,
4,,,,,694,,,0.007820166647434235,0.31640908122062683,,,,,
5,1.0,0.574999988079071,0.3335093855857849,0.15000000596046448,833,0.08602150529623032,0.21296297013759613,,,,,,,
5,,,,,833,,,0.009572628885507584,0.30645155906677246,,,,,
6,1.0,0.6050000190734863,0.33517420291900635,0.20999997854232788,972,0.09195402264595032,0.26851850748062134,,,,,,,
6,,,,,972,,,0.01791268028318882,0.3038875162601471,,,,,
7,1.0,0.6000000238418579,0.3270425796508789,0.20000000298023224,1111,0.09090909361839294,0.25925925374031067,,,,,,,
7,,,,,1111,,,0.016537081450223923,0.2954736351966858,,,,,
8,1.0,0.6150000095367432,0.323064923286438,0.23000000417232513,1250,0.0941176488995552,0.28703704476356506,,,,,,,
8,,,,,1250,,,0.01895586960017681,0.2895527780056,,,,,
9,1.0,0.6800000071525574,0.3232131600379944,0.36000001430511475,1389,0.1111111119389534,0.40740740299224854,,,,,,,
9,,,,,1389,,,0.024338098242878914,0.2874588072299957,,,,,
10,1.0,0.7050000429153442,0.3190617859363556,0.4099999964237213,1528,0.11940298229455948,0.45370370149612427,,,,,,,
10,,,,,1528,,,0.027068056166172028,0.2838676869869232,,,,,
11,1.0,0.6899999976158142,0.2990438640117645,0.3799999952316284,1667,0.11428571492433548,0.42592594027519226,,,,,,,
11,,,,,1667,,,0.03344792500138283,0.28586331009864807,,,,,
12,0.125,0.4325000047683716,0.31144729256629944,0.7400000095367432,1806,0.03703703731298447,0.6944444179534912,,,,,,,
12,,,,,1806,,,0.03258928656578064,0.2760567367076874,,,,,
13,0.625,0.6525000333786011,0.3821100890636444,0.6800000071525574,1945,0.13513512909412384,0.6759259104728699,,,,,,,
13,,,,,1945,,,0.03988776355981827,0.27483418583869934,,,,,
14,0.25,0.4800000488758087,0.3122711777687073,0.7099999785423279,2084,0.06451612710952759,0.6759259104728699,,,,,,,
14,,,,,2084,,,0.042441610246896744,0.27424493432044983,,,,,
15,0.125,0.48250001668930054,0.2928510308265686,0.8399999141693115,2223,0.05882352963089943,0.7870370149612427,,,,,,,
15,,,,,2223,,,0.04748722165822983,0.27656835317611694,,,,,
16,0.125,0.4675000011920929,0.30273550748825073,0.8100000023841858,2362,0.05000000074505806,0.7592592835426331,,,,,,,
16,,,,,2362,,,0.04612328112125397,0.2726343870162964,,,,,
17,0.0,0.44499996304512024,0.2816462814807892,0.8899999260902405,2501,0.0,0.8240740895271301,,,,,,,
17,,,,,2501,,,0.04534246399998665,0.26614388823509216,,,,,
18,0.0,0.4650000035762787,0.30512523651123047,0.9300000071525574,2640,0.0,0.8611111044883728,,,,,,,
18,,,,,2640,,,0.05627084895968437,0.27237778902053833,,,,,
19,0.0,0.4650000035762787,0.2966022193431854,0.9300000071525574,2779,0.0,0.8611111044883728,,,,,,,
19,,,,,2779,,,0.05965438857674599,0.27431750297546387,,,,,
20,,,,,2780,,,,,0.40773093700408936,0.3654618561267853,0.371747225522995,0.053892213851213455,0.44999998807907104
20,,,,,2780,,,,,0.42971885204315186,0.8594377040863037,0.7955390214920044,0.0,0.0
20,,,,,2780,,,,,0.44979918003082275,0.8995984196662903,0.8327137231826782,0.0,0.0
