epoch,val_precision,val_specificity,step,val_loss,val_sensitivity,val_auroc,val_accuracy,train_loss,unlabeled_data_utilization,test_precision,test_auroc,test_accuracy,test_specificity,test_sensitivity
0,0.0,1.0,26,0.30772051215171814,0.0,0.5,0.557894766330719,,,,,,,
0,,,26,,,,,0.3242029845714569,0.0,,,,,
1,0.699999988079071,0.9433962106704712,53,1.2587649822235107,0.1666666716337204,0.555031418800354,0.6000000238418579,,,,,,,
1,,,53,,,,,0.3154671788215637,0.0,,,,,
2,0.5769230723381042,0.792452871799469,80,2.316507339477539,0.3571428656578064,0.5747978687286377,0.6000000238418579,,,,,,,
2,,,80,,,,,0.3071136176586151,0.0,,,,,
3,0.5862069129943848,0.7735848426818848,107,0.5606744885444641,0.4047619104385376,0.5891733765602112,0.6105263233184814,,,,,,,
3,,,107,,,,,0.3138285279273987,0.0,,,,,
4,0.6896551847457886,0.8301886916160583,134,2.292153835296631,0.4761904776096344,0.6531895399093628,0.6736842393875122,,,,,,,
4,,,134,,,,,0.3053683042526245,0.0,,,,,
5,0.75,0.8867924809455872,161,1.5913492441177368,0.4285714328289032,0.6576818823814392,0.6842105388641357,,,,,,,
5,,,161,,,,,0.29277104139328003,0.0,,,,,
6,0.761904776096344,0.9056603908538818,188,0.4240432381629944,0.380952388048172,0.6433063745498657,0.6736842393875122,,,,,,,
6,,,188,,,,,0.2934465706348419,0.0,,,,,
7,0.7777778506278992,0.8867924809455872,215,0.44011765718460083,0.5,0.6933962106704712,0.7157894968986511,,,,,,,
7,,,215,,,,,0.28651073575019836,0.0,,,,,
8,0.7200000286102295,0.8679245114326477,242,0.280985027551651,0.4285714328289032,0.648248016834259,0.6736842393875122,,,,,,,
8,,,242,,,,,0.28950268030166626,0.0,,,,,
9,0.8636363744735718,0.9433962106704712,269,0.4367303252220154,0.4523809850215912,0.6978886127471924,0.7263157963752747,,,,,,,
9,,,269,,,,,0.28665366768836975,0.0,,,,,
10,0.7692307829856873,0.8867924809455872,296,0.34487438201904297,0.4761904776096344,0.6814914345741272,0.7052631378173828,,,,,,,
10,,,296,,,,,0.27313947677612305,0.0,,,,,
11,0.8260868787765503,0.9245282411575317,323,0.48086416721343994,0.4523809850215912,0.6884546279907227,0.7157894968986511,,,,,,,
11,,,323,,,,,0.27040690183639526,0.0,,,,,
12,0.800000011920929,0.9056603908538818,350,0.3545719087123871,0.4761904776096344,0.6909254193305969,0.7157894968986511,,,,,,,
12,,,350,,,,,0.27301254868507385,0.0,,,,,
13,0.9411764740943909,0.9811320900917053,377,0.4937964677810669,0.380952388048172,0.6810421347618103,0.7157894968986511,,,,,,,
13,,,377,,,,,0.27102920413017273,0.0,,,,,
14,0.9411764740943909,0.9811320900917053,404,1.7570563554763794,0.380952388048172,0.6810421347618103,0.7157894968986511,,,,,,,
14,,,404,,,,,0.27259132266044617,0.0,,,,,
15,0.8421052694320679,0.9433962106704712,431,0.8535835146903992,0.380952388048172,0.6621742844581604,0.6947368383407593,,,,,,,
15,,,431,,,,,0.26180562376976013,0.0,,,,,
16,0.800000011920929,0.9245282411575317,458,0.360597163438797,0.380952388048172,0.6527403593063354,0.6842105388641357,,,,,,,
16,,,458,,,,,0.263185054063797,0.0,,,,,
17,0.9047619700431824,0.9622642397880554,485,0.48921531438827515,0.4523809850215912,0.7073225378990173,0.7368420958518982,,,,,,,
17,,,485,,,,,0.2561482787132263,0.0,,,,,
18,0.875,0.9433962106704712,512,0.2567902207374573,0.5,0.7216981053352356,0.7473683953285217,,,,,,,
18,,,512,,,,,0.2536790072917938,0.0,,,,,
19,0.9130435585975647,0.9622642397880554,539,0.2682974636554718,0.5,0.7311322093009949,0.75789475440979,,,,,,,
19,,,539,,,,,0.24828685820102692,0.0,,,,,
20,1.0,1.0,566,0.3321684002876282,0.5,0.75,0.7789473533630371,,,,,,,
20,,,566,,,,,0.2505520284175873,0.0,,,,,
21,0.9166666865348816,0.9622642397880554,593,0.6315584778785706,0.523809552192688,0.7430369257926941,0.7684210538864136,,,,,,,
21,,,593,,,,,0.24884629249572754,0.0,,,,,
22,0.9583333134651184,0.9811320900917053,620,1.0452802181243896,0.5476190447807312,0.764375627040863,0.7894737124443054,,,,,,,
22,,,620,,,,,0.25113898515701294,0.0,,,,,
23,0.875,0.9433962106704712,647,0.862148106098175,0.5,0.7216981053352356,0.7473683953285217,,,,,,,
23,,,647,,,,,0.2558947801589966,0.0,,,,,
24,0.9230769276618958,0.9622642397880554,674,0.6348295211791992,0.5714285969734192,0.7668463587760925,0.7894737124443054,,,,,,,
24,,,674,,,,,0.2506433427333832,0.0,,,,,
