epoch,val_sensitivity,val_accuracy,val_specificity,val_precision,step,val_auroc,val_loss,unlabeled_data_utilization,train_loss,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
0,0.5,0.6000000238418579,0.6792452931404114,0.5526315569877625,26,0.5896226763725281,0.601073145866394,,,,,,,
0,,,,,26,,,0.003632509848102927,0.614152193069458,,,,,
1,0.523809552192688,0.75789475440979,0.9433962106704712,0.8799999952316284,53,0.7336028814315796,0.5100038647651672,,,,,,,
1,,,,,53,,,0.03376156464219093,0.5461065173149109,,,,,
2,0.4761904776096344,0.7368420958518982,0.9433962106704712,0.8695652484893799,80,0.7097933292388916,0.517259418964386,,,,,,,
2,,,,,80,,,0.18295396864414215,0.5353189706802368,,,,,
3,0.523809552192688,0.7263157963752747,0.8867924809455872,0.7857142686843872,107,0.7053009867668152,0.6048884391784668,,,,,,,
3,,,,,107,,,0.31388622522354126,0.562879204750061,,,,,
4,0.4285714328289032,0.7263157963752747,0.9622642397880554,0.8999999761581421,134,0.6954177618026733,0.5027891397476196,,,,,,,
4,,,,,134,,,0.388714462518692,0.5495824217796326,,,,,
5,0.523809552192688,0.7368420958518982,0.9056603908538818,0.8148148655891418,161,0.7147350311279297,0.5508921146392822,,,,,,,
5,,,,,161,,,0.4407657980918884,0.5331538319587708,,,,,
6,0.6428571343421936,0.7894737124443054,0.9056603908538818,0.84375,188,0.7742587327957153,0.5074443221092224,,,,,,,
6,,,,,188,,,0.4785846769809723,0.5140867233276367,,,,,
7,0.5952380895614624,0.800000011920929,0.9622642397880554,0.9259259104728699,215,0.7787511944770813,0.5616847276687622,,,,,,,
7,,,,,215,,,0.5241367220878601,0.5197811126708984,,,,,
8,0.5476190447807312,0.7684210538864136,0.9433962106704712,0.8846153616905212,242,0.7455076575279236,0.4847172498703003,,,,,,,
8,,,,,242,,,0.5574191212654114,0.5231730937957764,,,,,
9,0.523809552192688,0.7473683953285217,0.9245282411575317,0.8461537957191467,269,0.7241688966751099,0.46177589893341064,,,,,,,
9,,,,,269,,,0.5269705653190613,0.5025660991668701,,,,,
10,0.6190476417541504,0.800000011920929,0.9433962106704712,0.8965517282485962,296,0.781221866607666,0.47940725088119507,,,,,,,
10,,,,,296,,,0.5272952318191528,0.5140191912651062,,,,,
11,0.5476190447807312,0.7684210538864136,0.9433962106704712,0.8846153616905212,323,0.7455076575279236,0.48625659942626953,,,,,,,
11,,,,,323,,,0.5494697093963623,0.4732905924320221,,,,,
12,0.6190476417541504,0.800000011920929,0.9433962106704712,0.8965517282485962,350,0.781221866607666,0.5410685539245605,,,,,,,
12,,,,,350,,,0.580490231513977,0.48386162519454956,,,,,
13,0.5,0.75789475440979,0.9622642397880554,0.9130435585975647,377,0.7311322093009949,0.4561789929866791,,,,,,,
13,,,,,377,,,0.5763599276542664,0.47123852372169495,,,,,
14,0.6190476417541504,0.800000011920929,0.9433962106704712,0.8965517282485962,404,0.781221866607666,0.41171514987945557,,,,,,,
14,,,,,404,,,0.5993438363075256,0.4651155471801758,,,,,
15,0.6428571343421936,0.8105263113975525,0.9433962106704712,0.8999999761581421,431,0.79312664270401,0.5011369585990906,,,,,,,
15,,,,,431,,,0.5957260131835938,0.477505087852478,,,,,
16,0.6190476417541504,0.7894737124443054,0.9245282411575317,0.8666666746139526,458,0.7717880010604858,0.4783143401145935,,,,,,,
16,,,,,458,,,0.5980024933815002,0.44787660241127014,,,,,
17,0.5714285969734192,0.7789473533630371,0.9433962106704712,0.8888888955116272,485,0.7574123740196228,0.473476380109787,,,,,,,
17,,,,,485,,,0.6160856485366821,0.4622199833393097,,,,,
18,0.6190476417541504,0.800000011920929,0.9433962106704712,0.8965517282485962,512,0.781221866607666,0.5070622563362122,,,,,,,
18,,,,,512,,,0.6224833726882935,0.44410496950149536,,,,,
19,0.6666666865348816,0.8105263113975525,0.9245282411575317,0.875,539,0.795597493648529,0.4897055923938751,,,,,,,
19,,,,,539,,,0.6243393421173096,0.44743525981903076,,,,,
20,0.6428571343421936,0.821052610874176,0.9622642397880554,0.931034505367279,566,0.8025606870651245,0.4311125576496124,,,,,,,
20,,,,,566,,,0.6094771027565002,0.44049373269081116,,,,,
21,0.6428571343421936,0.8105263113975525,0.9433962106704712,0.8999999761581421,593,0.79312664270401,0.4141548275947571,,,,,,,
21,,,,,593,,,0.6339451670646667,0.4509303569793701,,,,,
22,0.6428571343421936,0.821052610874176,0.9622642397880554,0.931034505367279,620,0.8025606870651245,0.5193842649459839,,,,,,,
22,,,,,620,,,0.6117916107177734,0.4456089437007904,,,,,
23,0.6428571343421936,0.821052610874176,0.9622642397880554,0.931034505367279,647,0.8025606870651245,0.4494306743144989,,,,,,,
