epoch,val_sensitivity,val_auroc,val_loss,val_specificity,step,val_precision,val_accuracy,unlabeled_data_utilization,train_loss,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
0,0.125,0.4724999964237213,0.348101943731308,0.8199999928474426,138,0.05263158306479454,0.7685185074806213,,,,,,,
0,,,,,138,,,0.002334953984245658,0.3522002100944519,,,,,
1,0.0,0.42000001668930054,0.39281705021858215,0.8399999141693115,277,0.0,0.7777777910232544,,,,,,,
1,,,,,277,,,0.0029625382740050554,0.340287983417511,,,,,
2,0.0,0.42500001192092896,0.3256910741329193,0.8500000238418579,416,0.0,0.7870370149612427,,,,,,,
2,,,,,416,,,0.0018532719695940614,0.3264751732349396,,,,,
3,0.0,0.44999998807907104,0.3769657015800476,0.8999999761581421,555,0.0,0.8333333134651184,,,,,,,
3,,,,,555,,,0.00487789511680603,0.3159504234790802,,,,,
4,0.0,0.44999998807907104,0.30628564953804016,0.8999999761581421,694,0.0,0.8333333134651184,,,,,,,
4,,,,,694,,,0.006965361535549164,0.3129768967628479,,,,,
5,0.0,0.46000000834465027,0.30607110261917114,0.9200000166893005,833,0.0,0.8518518805503845,,,,,,,
5,,,,,833,,,0.008062499575316906,0.30492472648620605,,,,,
6,0.0,0.49000000953674316,0.34304454922676086,0.9800000190734863,972,0.0,0.9074074029922485,,,,,,,
6,,,,,972,,,0.00870292354375124,0.29714149236679077,,,,,
7,0.0,0.47999998927116394,0.3923540413379669,0.9599999785423279,1111,0.0,0.8888888955116272,,,,,,,
7,,,,,1111,,,0.012426180765032768,0.29431378841400146,,,,,
8,0.0,0.48500001430511475,0.27594897150993347,0.9700000286102295,1250,0.0,0.8981481194496155,,,,,,,
8,,,,,1250,,,0.012426180765032768,0.28662049770355225,,,,,
9,0.0,0.49000000953674316,0.4309270977973938,0.9800000190734863,1389,0.0,0.9074074029922485,,,,,,,
9,,,,,1389,,,0.014761154539883137,0.28022104501724243,,,,,
10,0.0,0.49000000953674316,0.29103463888168335,0.9800000190734863,1528,0.0,0.9074074029922485,,,,,,,
10,,,,,1528,,,0.020843245089054108,0.2769971787929535,,,,,
11,0.0,0.49000000953674316,0.3083980679512024,0.9800000190734863,1667,0.0,0.9074074029922485,,,,,,,
11,,,,,1667,,,0.022406788542866707,0.27445921301841736,,,,,
12,0.0,0.4950000047683716,0.28439298272132874,0.9900000095367432,1806,0.0,0.9166666865348816,,,,,,,
12,,,,,1806,,,0.02078433707356453,0.2681492269039154,,,,,
13,0.0,0.4950000047683716,0.32574859261512756,0.9900000095367432,1945,0.0,0.9166666865348816,,,,,,,
13,,,,,1945,,,0.029451021924614906,0.2735327482223511,,,,,
14,0.0,0.5,0.3498067259788513,1.0,2084,0.0,0.9259259104728699,,,,,,,
14,,,,,2084,,,0.02964596636593342,0.26951637864112854,,,,,
15,0.0,0.5,0.3010459542274475,1.0,2223,0.0,0.9259259104728699,,,,,,,
15,,,,,2223,,,0.028667354956269264,0.2625386416912079,,,,,
16,0.0,0.5,0.39647573232650757,1.0,2362,0.0,0.9259259104728699,,,,,,,
16,,,,,2362,,,0.03204401209950447,0.26118171215057373,,,,,
17,0.0,0.4950000047683716,0.276382178068161,0.9900000095367432,2501,0.0,0.9166666865348816,,,,,,,
17,,,,,2501,,,0.03511424735188484,0.2622097432613373,,,,,
18,0.0,0.5,0.2837258279323578,1.0,2640,0.0,0.9259259104728699,,,,,,,
18,,,,,2640,,,0.03731094300746918,0.2623380124568939,,,,,
19,0.0,0.5,0.27229970693588257,1.0,2779,0.0,0.9259259104728699,,,,,,,
19,,,,,2779,,,0.03747570514678955,0.25790268182754517,,,,,
20,,,,,2780,,,,,0.49799197912216187,0.9959839582443237,0.921933114528656,0.0,0.0
20,,,,,2780,,,,,0.5,1.0,0.9256505370140076,0.0,0.0
20,,,,,2780,,,,,0.5,1.0,0.9256505370140076,0.0,0.0
