val_sensitivity,step,val_precision,val_specificity,val_auroc,val_accuracy,epoch,val_loss,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_precision,test_sensitivity,test_accuracy
0.0,26,0.0,1.0,0.5,0.557894766330719,0,0.6192625761032104,,,,,,,
,26,,,,,0,,0.6434928774833679,0.0,,,,,
0.1428571492433548,53,0.5,0.8867924809455872,0.5148248076438904,0.557894766330719,1,2.0210328102111816,,,,,,,
,53,,,,,1,,0.6221498847007751,0.0,,,,,
0.190476194024086,80,0.6666666865348816,0.9245282411575317,0.557502269744873,0.6000000238418579,2,2.5706241130828857,,,,,,,
,80,,,,,2,,0.6126232147216797,0.0,,,,,
0.3095238208770752,107,0.7222221493721008,0.9056603908538818,0.6075921058654785,0.6421052813529968,3,3.536689281463623,,,,,,,
,107,,,,,3,,0.5978426337242126,0.0,,,,,
0.4047619104385376,134,0.8500000238418579,0.9433962106704712,0.6740791201591492,0.7052631378173828,4,2.659813165664673,,,,,,,
,134,,,,,4,,0.5812916159629822,0.0,,,,,
0.4285714328289032,161,0.8571428656578064,0.9433962106704712,0.6859838366508484,0.7157894968986511,5,0.6956555843353271,,,,,,,
,161,,,,,5,,0.5472260117530823,0.0,,,,,
0.5,188,0.8399999737739563,0.9245282411575317,0.7122641205787659,0.7368420958518982,6,1.3408006429672241,,,,,,,
,188,,,,,6,,0.5217704176902771,0.0,,,,,
0.4523809850215912,215,0.8636363744735718,0.9433962106704712,0.6978886127471924,0.7263157963752747,7,1.4336715936660767,,,,,,,
,215,,,,,7,,0.48357340693473816,0.0,,,,,
0.5,242,0.8399999737739563,0.9245282411575317,0.7122641205787659,0.7368420958518982,8,0.649573802947998,,,,,,,
,242,,,,,8,,0.4940947890281677,0.0,,,,,
0.5952380895614624,269,0.8333333134651184,0.9056603908538818,0.7504492402076721,0.7684210538864136,9,1.0255848169326782,,,,,,,
,269,,,,,9,,0.48911988735198975,0.0,,,,,
0.5714285969734192,296,0.800000011920929,0.8867924809455872,0.7291104793548584,0.7473683953285217,10,1.0585373640060425,,,,,,,
,296,,,,,10,,0.47613075375556946,0.0,,,,,
0.4523809850215912,323,0.8636363744735718,0.9433962106704712,0.6978886127471924,0.7263157963752747,11,0.6215712428092957,,,,,,,
,323,,,,,11,,0.4692153036594391,0.0,,,,,
0.5476190447807312,350,0.8846153616905212,0.9433962106704712,0.7455076575279236,0.7684210538864136,12,0.6456316113471985,,,,,,,
,350,,,,,12,,0.4587365686893463,0.0,,,,,
0.5,377,0.875,0.9433962106704712,0.7216981053352356,0.7473683953285217,13,0.846585750579834,,,,,,,
,377,,,,,13,,0.4822966158390045,0.0,,,,,
0.5476190447807312,404,0.8846153616905212,0.9433962106704712,0.7455076575279236,0.7684210538864136,14,1.1344382762908936,,,,,,,
,404,,,,,14,,0.4677034616470337,0.0,,,,,
0.523809552192688,431,0.8799999952316284,0.9433962106704712,0.7336028814315796,0.75789475440979,15,1.196223258972168,,,,,,,
,431,,,,,15,,0.4593144357204437,0.0,,,,,
0.5952380895614624,458,0.8928571343421936,0.9433962106704712,0.7693171501159668,0.7894737124443054,16,0.7592315077781677,,,,,,,
,458,,,,,16,,0.44724148511886597,0.0,,,,,
0.5952380895614624,485,0.8928571343421936,0.9433962106704712,0.7693171501159668,0.7894737124443054,17,0.9132160544395447,,,,,,,
,485,,,,,17,,0.4398297369480133,0.0,,,,,
0.5952380895614624,512,0.8620689511299133,0.9245282411575317,0.7598832249641418,0.7789473533630371,18,0.5664849877357483,,,,,,,
,512,,,,,18,,0.4398379921913147,0.0,,,,,
0.5952380895614624,539,0.8620689511299133,0.9245282411575317,0.7598832249641418,0.7789473533630371,19,0.9694979786872864,,,,,,,
,539,,,,,19,,0.44315025210380554,0.0,,,,,
0.5714285969734192,566,0.8275862336158752,0.9056603908538818,0.7385445237159729,0.75789475440979,20,1.77205228805542,,,,,,,
,566,,,,,20,,0.4349357783794403,0.0,,,,,
0.6428571343421936,593,0.8709677457809448,0.9245282411575317,0.7836927175521851,0.800000011920929,21,0.7403804659843445,,,,,,,
,593,,,,,21,,0.41780558228492737,0.0,,,,,
0.6428571343421936,620,0.8999999761581421,0.9433962106704712,0.79312664270401,0.8105263113975525,22,1.0098541975021362,,,,,,,
,620,,,,,22,,0.40009593963623047,0.0,,,,,
0.6666666865348816,647,0.9032257795333862,0.9433962106704712,0.8050314784049988,0.821052610874176,23,1.017348289489746,,,,,,,
,647,,,,,23,,0.40694984793663025,0.0,,,,,
0.5952380895614624,674,0.8333333134651184,0.9056603908538818,0.7504492402076721,0.7684210538864136,24,0.7450482249259949,,,,,,,
,674,,,,,24,,0.4133806526660919,0.0,,,,,
0.6190476417541504,701,0.8666666746139526,0.9245282411575317,0.7717880010604858,0.7894737124443054,25,1.073684811592102,,,,,,,
,701,,,,,25,,0.3911183476448059,0.0,,,,,
0.6428571343421936,728,0.8999999761581421,0.9433962106704712,0.79312664270401,0.8105263113975525,26,0.9225310683250427,,,,,,,
