val_specificity,val_loss,val_accuracy,epoch,val_sensitivity,val_precision,val_auroc,step,unlabeled_data_utilization,train_loss,test_auroc,test_precision,test_accuracy,test_sensitivity,test_specificity
1.0,0.6184583306312561,0.557894766330719,0,0.0,0.0,0.5,26,,,,,,,
,,,0,,,,26,0.0,0.6236456632614136,,,,,
1.0,1.3100247383117676,0.5789473652839661,1,0.0476190485060215,1.0,0.523809552192688,53,,,,,,,
,,,1,,,,53,0.0,0.6230093836784363,,,,,
0.9811320900917053,1.4350409507751465,0.5789473652839661,2,0.0714285746216774,0.75,0.5262802839279175,80,,,,,,,
,,,2,,,,80,0.0,0.6208450198173523,,,,,
1.0,2.1830596923828125,0.557894766330719,3,0.0,0.0,0.5,107,,,,,,,
,,,3,,,,107,0.0,0.6138650178909302,,,,,
1.0,1.2653592824935913,0.6421052813529968,4,0.190476194024086,1.0,0.5952380895614624,134,,,,,,,
,,,4,,,,134,0.0,0.6055968403816223,,,,,
0.9056603908538818,1.4423002004623413,0.6736842393875122,5,0.380952388048172,0.761904776096344,0.6433063745498657,161,,,,,,,
,,,5,,,,161,0.0,0.5824857950210571,,,,,
0.9433962106704712,1.1174392700195312,0.7368420958518982,6,0.4761904776096344,0.8695652484893799,0.7097933292388916,188,,,,,,,
,,,6,,,,188,0.0,0.5637999773025513,,,,,
0.9245282411575317,1.3735325336456299,0.7789473533630371,7,0.5952380895614624,0.8620689511299133,0.7598832249641418,215,,,,,,,
,,,7,,,,215,0.0,0.5456660985946655,,,,,
0.8867924809455872,2.03580641746521,0.75789475440979,8,0.5952380895614624,0.806451678276062,0.7410151958465576,242,,,,,,,
,,,8,,,,242,0.0,0.5498181581497192,,,,,
0.9433962106704712,1.1657888889312744,0.821052610874176,9,0.6666666865348816,0.9032257795333862,0.8050314784049988,269,,,,,,,
,,,9,,,,269,0.0,0.5231016874313354,,,,,
0.9056603908538818,0.6149955987930298,0.8105263113975525,10,0.6904761791229248,0.8529411554336548,0.7980683445930481,296,,,,,,,
,,,10,,,,296,0.0,0.5049526691436768,,,,,
0.9433962106704712,0.5282777547836304,0.821052610874176,11,0.6666666865348816,0.9032257795333862,0.8050314784049988,323,,,,,,,
,,,11,,,,323,0.0,0.5076813101768494,,,,,
