val_accuracy,val_auroc,val_precision,step,val_sensitivity,epoch,val_specificity,val_loss,train_loss,unlabeled_data_utilization,test_precision,test_accuracy,test_sensitivity,test_auroc,test_specificity
0.557894766330719,0.5,0.0,26,0.0,0,1.0,0.6201064586639404,,,,,,,
,,,26,,0,,,0.6408812999725342,0.0,,,,,
0.5052631497383118,0.4553009867668152,0.1428571492433548,53,0.02380952425301075,1,0.8867924809455872,1.265612006187439,,,,,,,
,,,53,,1,,,0.6203843951225281,0.0,,,,,
0.5684210658073425,0.5217879414558411,0.5555555820465088,80,0.1190476194024086,2,0.9245282411575317,0.9393671751022339,,,,,,,
,,,80,,2,,,0.6088171601295471,0.0,,,,,
0.6105263233184814,0.566936194896698,0.7272727489471436,107,0.190476194024086,3,0.9433962106704712,2.1589226722717285,,,,,,,
,,,107,,3,,,0.5912730693817139,0.0,,,,,
0.6631578803062439,0.636343240737915,0.7083333134651184,134,0.4047619104385376,4,0.8679245114326477,0.8848099708557129,,,,,,,
,,,134,,4,,,0.5707802176475525,0.0,,,,,
0.6842105388641357,0.6601526737213135,0.7307692170143127,161,0.4523809850215912,5,0.8679245114326477,0.8365518450737,,,,,,,
,,,161,,5,,,0.5465657114982605,0.0,,,,,
0.6842105388641357,0.6576818823814392,0.75,188,0.4285714328289032,6,0.8867924809455872,1.1079827547073364,,,,,,,
,,,188,,6,,,0.5281137824058533,0.0,,,,,
0.6526315808296204,0.6244384050369263,0.695652186870575,215,0.380952388048172,7,0.8679245114326477,1.2388203144073486,,,,,,,
,,,215,,7,,,0.5286861658096313,0.0,,,,,
0.6631578803062439,0.6388140320777893,0.692307710647583,242,0.4285714328289032,8,0.849056601524353,1.2535769939422607,,,,,,,
,,,242,,8,,,0.499417245388031,0.0,,,,,
0.7052631378173828,0.6839622855186462,0.75,269,0.5,9,0.8679245114326477,0.5971423983573914,,,,,,,
,,,269,,9,,,0.506105363368988,0.0,,,,,
0.6842105388641357,0.6650943160057068,0.699999988079071,296,0.5,10,0.8301886916160583,1.2275574207305908,,,,,,,
,,,296,,10,,,0.4826596975326538,0.0,,,,,
0.6526315808296204,0.6367924809455872,0.6363636255264282,323,0.5,11,0.7735848426818848,1.5209182500839233,,,,,,,
,,,323,,11,,,0.4916526973247528,0.0,,,,,
