val_precision,step,val_sensitivity,val_auroc,val_accuracy,val_specificity,epoch,val_loss,train_loss,unlabeled_data_utilization,test_specificity,test_auroc,test_sensitivity,test_precision,test_accuracy
0.4657534658908844,34,0.8095238208770752,0.5368373990058899,0.5052631497383118,0.2641509473323822,0,0.6930035352706909,,,,,,,
,34,,,,,0,,0.6349574327468872,0.016859641298651695,,,,,
0.1818181872367859,69,0.0476190485060215,0.43890389800071716,0.4842105209827423,0.8301886916160583,1,0.6193854212760925,,,,,,,
,69,,,,,1,,0.6321704983711243,0.01919732429087162,,,,,
0.6666666865348816,104,0.3333333432674408,0.6006289720535278,0.6315789222717285,0.8679245114326477,2,0.5817026495933533,,,,,,,
,104,,,,,2,,0.6236254572868347,0.017666570842266083,,,,,
0.6800000071525574,139,0.4047619104385376,0.6269092559814453,0.6526315808296204,0.849056601524353,3,0.5955819487571716,,,,,,,
,139,,,,,3,,0.5979107618331909,0.02999446727335453,,,,,
0.6666666865348816,174,0.4761904776096344,0.6437556147575378,0.6631578803062439,0.8113208413124084,4,0.5818445682525635,,,,,,,
,174,,,,,4,,0.5606180429458618,0.03537827730178833,,,,,
0.7435897588729858,209,0.6904761791229248,0.7508984804153442,0.75789475440979,0.8113208413124084,5,0.5259930491447449,,,,,,,
,209,,,,,5,,0.5327712893486023,0.05908142402768135,,,,,
0.7297297716140747,244,0.6428571343421936,0.7270889282226562,0.7368420958518982,0.8113208413124084,6,0.5124197006225586,,,,,,,
,244,,,,,6,,0.5262130498886108,0.0851786807179451,,,,,
0.7222221493721008,279,0.6190476417541504,0.7151841521263123,0.7263157963752747,0.8113208413124084,7,0.4933716952800751,,,,,,,
,279,,,,,7,,0.5217635631561279,0.12803472578525543,,,,,
0.7749999761581421,314,0.738095223903656,0.7841419577598572,0.7894737124443054,0.8301886916160583,8,0.48818665742874146,,,,,,,
,314,,,,,8,,0.5340308547019958,0.13760517537593842,,,,,
0.7894737124443054,349,0.7142857313156128,0.7816711664199829,0.7894737124443054,0.849056601524353,9,0.4560849368572235,,,,,,,
,349,,,,,9,,0.5063806772232056,0.15363317728042603,,,,,
0.7777778506278992,384,0.6666666865348816,0.7578616738319397,0.7684210538864136,0.849056601524353,10,0.482278436422348,,,,,,,
,384,,,,,10,,0.5087109208106995,0.1769336611032486,,,,,
0.7894737124443054,419,0.7142857313156128,0.7816711664199829,0.7894737124443054,0.849056601524353,11,0.465946227312088,,,,,,,
,419,,,,,11,,0.4809092879295349,0.18067479133605957,,,,,
0.8484848737716675,454,0.6666666865348816,0.7861635684967041,0.800000011920929,0.9056603908538818,12,0.44498562812805176,,,,,,,
,454,,,,,12,,0.49189096689224243,0.20037569105625153,,,,,
0.8857142925262451,489,0.738095223903656,0.831311821937561,0.8421052694320679,0.9245282411575317,13,0.4275912940502167,,,,,,,
,489,,,,,13,,0.48959362506866455,0.2412615269422531,,,,,
0.9090909361839294,524,0.7142857313156128,0.828840970993042,0.8421052694320679,0.9433962106704712,14,0.42458653450012207,,,,,,,
,524,,,,,14,,0.5099813342094421,0.3062842786312103,,,,,
0.8571428656578064,559,0.7142857313156128,0.8099730610847473,0.821052610874176,0.9056603908538818,15,0.43350750207901,,,,,,,
,559,,,,,15,,0.507368803024292,0.30008968710899353,,,,,
0.8205127716064453,594,0.761904776096344,0.8149146437644958,0.821052610874176,0.8679245114326477,16,0.44367098808288574,,,,,,,
,594,,,,,16,,0.4973384439945221,0.3396384119987488,,,,,
0.7692307829856873,629,0.7142857313156128,0.7722371816635132,0.7789473533630371,0.8301886916160583,17,0.3924373686313629,,,,,,,
,629,,,,,17,,0.5151249766349792,0.36822739243507385,,,,,
0.7560975551605225,664,0.738095223903656,0.7747079730033875,0.7789473533630371,0.8113208413124084,18,0.4087430536746979,,,,,,,
,664,,,,,18,,0.49961477518081665,0.3785032629966736,,,,,
0.7948718667030334,699,0.738095223903656,0.7935759425163269,0.800000011920929,0.849056601524353,19,0.39257001876831055,,,,,,,
,699,,,,,19,,0.47873738408088684,0.4023674428462982,,,,,
0.7948718667030334,734,0.738095223903656,0.7935759425163269,0.800000011920929,0.849056601524353,20,0.37503090500831604,,,,,,,
,734,,,,,20,,0.4923546612262726,0.42860662937164307,,,,,
0.8421052694320679,769,0.761904776096344,0.824348509311676,0.8315789699554443,0.8867924809455872,21,0.39632561802864075,,,,,,,
,769,,,,,21,,0.5025997757911682,0.44410440325737,,,,,
0.8205127716064453,804,0.761904776096344,0.8149146437644958,0.821052610874176,0.8679245114326477,22,0.3757249414920807,,,,,,,
,804,,,,,22,,0.49904394149780273,0.43392327427864075,,,,,
0.800000011920929,839,0.761904776096344,0.8054806590080261,0.8105263113975525,0.849056601524353,23,0.40667524933815,,,,,,,
,839,,,,,23,,0.49590393900871277,0.4530690312385559,,,,,
0.8157894611358643,874,0.738095223903656,0.8030098080635071,0.8105263113975525,0.8679245114326477,24,0.3936826288700104,,,,,,,
,874,,,,,24,,0.49537765979766846,0.4496244788169861,,,,,
,875,,,,,25,,,,0.9242424368858337,0.745775043964386,0.567307710647583,0.8550724387168884,0.7669491767883301
,875,,,,,25,,,,0.8636364340782166,0.7635489702224731,0.6634615659713745,0.7931034564971924,0.7754237055778503
,875,,,,,25,,,,0.8939393758773804,0.7787004709243774,0.6634615659713745,0.8313252925872803,0.7923728823661804
