val_loss,epoch,val_auroc,val_accuracy,val_precision,val_specificity,val_sensitivity,step,unlabeled_data_utilization,train_loss,test_precision,test_sensitivity,test_specificity,test_auroc,test_accuracy
0.6449452042579651,0,0.46069177985191345,0.49473685026168823,0.3499999940395355,0.7547169923782349,0.1666666716337204,33,,,,,,,
,0,,,,,,33,0.021855011582374573,0.6337650418281555,,,,,
0.8586602210998535,1,0.5029200315475464,0.5473684072494507,0.4545454680919647,0.8867924809455872,0.1190476194024086,67,,,,,,,
,1,,,,,,67,0.015701843425631523,0.6255543828010559,,,,,
0.6027802228927612,2,0.5386343002319336,0.5789473652839661,0.5714285969734192,0.8867924809455872,0.190476194024086,101,,,,,,,
,2,,,,,,101,0.014898591674864292,0.6084247827529907,,,,,
0.6192127466201782,3,0.7057502269744873,0.7157894968986511,0.7027027606964111,0.792452871799469,0.6190476417541504,135,,,,,,,
,3,,,,,,135,0.024554112926125526,0.6009251475334167,,,,,
0.7846198081970215,4,0.6531895399093628,0.6736842393875122,0.6896551847457886,0.8301886916160583,0.4761904776096344,169,,,,,,,
,4,,,,,,169,0.02575151063501835,0.5753511786460876,,,,,
0.9993591904640198,5,0.7270889282226562,0.7368420958518982,0.7297297716140747,0.8113208413124084,0.6428571343421936,203,,,,,,,
,5,,,,,,203,0.03721434995532036,0.5709262490272522,,,,,
0.5417086482048035,6,0.7221473455429077,0.7368420958518982,0.7575757503509521,0.849056601524353,0.5952380895614624,237,,,,,,,
,6,,,,,,237,0.041483763605356216,0.5411621928215027,,,,,
0.4839658737182617,7,0.7434860467910767,0.75789475440979,0.7878788113594055,0.8679245114326477,0.6190476417541504,271,,,,,,,
,7,,,,,,271,0.056735485792160034,0.549339771270752,,,,,
0.748107373714447,8,0.6839622855186462,0.7052631378173828,0.75,0.8679245114326477,0.5,305,,,,,,,
,8,,,,,,305,0.07958519458770752,0.5372053384780884,,,,,
0.5485339164733887,9,0.7484278082847595,0.75789475440979,0.7567567229270935,0.8301886916160583,0.6666666865348816,339,,,,,,,
,9,,,,,,339,0.1063220202922821,0.5387384295463562,,,,,
0.6177878379821777,10,0.7484278082847595,0.75789475440979,0.7567567229270935,0.8301886916160583,0.6666666865348816,373,,,,,,,
,10,,,,,,373,0.1500283032655716,0.5414232015609741,,,,,
0.5108538269996643,11,0.7792003154754639,0.7894737124443054,0.8055555820465088,0.8679245114326477,0.6904761791229248,407,,,,,,,
,11,,,,,,407,0.18691514432430267,0.5249043107032776,,,,,
0.5373097062110901,12,0.7980683445930481,0.8105263113975525,0.8529411554336548,0.9056603908538818,0.6904761791229248,441,,,,,,,
,12,,,,,,441,0.2271076887845993,0.5542950630187988,,,,,
0.48370635509490967,13,0.8005390167236328,0.8105263113975525,0.8333333134651184,0.8867924809455872,0.7142857313156128,475,,,,,,,
,13,,,,,,475,0.24199466407299042,0.5338832139968872,,,,,
0.47758352756500244,14,0.8337825536727905,0.8421052694320679,0.8648648858070374,0.9056603908538818,0.761904776096344,509,,,,,,,
,14,,,,,,509,0.2835918068885803,0.549740731716156,,,,,
0.473924845457077,15,0.7767295241355896,0.7894737124443054,0.8235294818878174,0.8867924809455872,0.6666666865348816,543,,,,,,,
,15,,,,,,543,0.2882782518863678,0.5214233994483948,,,,,
0.5663577318191528,16,0.824348509311676,0.8315789699554443,0.8421052694320679,0.8867924809455872,0.761904776096344,577,,,,,,,
,16,,,,,,577,0.31029441952705383,0.5395545363426208,,,,,
0.4891795814037323,17,0.8337825536727905,0.8421052694320679,0.8648648858070374,0.9056603908538818,0.761904776096344,611,,,,,,,
,17,,,,,,611,0.34772709012031555,0.5456172227859497,,,,,
0.41245561838150024,18,0.8099730610847473,0.821052610874176,0.8571428656578064,0.9056603908538818,0.7142857313156128,645,,,,,,,
,18,,,,,,645,0.3649381101131439,0.5060506463050842,,,,,
0.4564262330532074,19,0.8218778371810913,0.8315789699554443,0.8611111044883728,0.9056603908538818,0.738095223903656,679,,,,,,,
,19,,,,,,679,0.3988588750362396,0.5126280784606934,,,,,
0.402169406414032,20,0.8432164788246155,0.8526315689086914,0.8888888955116272,0.9245282411575317,0.761904776096344,713,,,,,,,
,20,,,,,,713,0.4433605670928955,0.5209395885467529,,,,,
0.423928439617157,21,0.831311821937561,0.8421052694320679,0.8857142925262451,0.9245282411575317,0.738095223903656,747,,,,,,,
,21,,,,,,747,0.4779943525791168,0.5076913833618164,,,,,
0.42519062757492065,22,0.8054806590080261,0.8105263113975525,0.800000011920929,0.849056601524353,0.761904776096344,781,,,,,,,
,22,,,,,,781,0.48187801241874695,0.5315971970558167,,,,,
0.39622148871421814,23,0.824348509311676,0.8315789699554443,0.8421052694320679,0.8867924809455872,0.761904776096344,815,,,,,,,
,23,,,,,,815,0.479843407869339,0.49730369448661804,,,,,
0.41417235136032104,24,0.828840970993042,0.8421052694320679,0.9090909361839294,0.9433962106704712,0.7142857313156128,849,,,,,,,
,24,,,,,,849,0.5289661288261414,0.5126926302909851,,,,,
0.4713526964187622,25,0.831311821937561,0.8421052694320679,0.8857142925262451,0.9245282411575317,0.738095223903656,883,,,,,,,
,25,,,,,,883,0.542423665523529,0.5177339315414429,,,,,
0.5464591979980469,26,0.8218778371810913,0.8315789699554443,0.8611111044883728,0.9056603908538818,0.738095223903656,917,,,,,,,
,26,,,,,,917,0.5418766736984253,0.5229102373123169,,,,,
0.4065805673599243,27,0.8124438524246216,0.821052610874176,0.8378377556800842,0.8867924809455872,0.738095223903656,951,,,,,,,
,27,,,,,,951,0.5512821078300476,0.5048210620880127,,,,,
0.3912386894226074,28,0.83625328540802,0.8421052694320679,0.8461537957191467,0.8867924809455872,0.7857142686843872,985,,,,,,,
,28,,,,,,985,0.553403377532959,0.5123668909072876,,,,,
0.5474976897239685,29,0.8456873297691345,0.8526315689086914,0.8684210777282715,0.9056603908538818,0.7857142686843872,1019,,,,,,,
,29,,,,,,1019,0.5596205592155457,0.5097043514251709,,,,,
0.38255202770233154,30,0.8337825536727905,0.8421052694320679,0.8648648858070374,0.9056603908538818,0.761904776096344,1053,,,,,,,
