val_accuracy,val_auroc,val_precision,step,val_sensitivity,epoch,val_specificity,val_loss,train_loss,unlabeled_data_utilization
0.557894766330719,0.5,0.0,26,0.0,0,1.0,0.6189735531806946,,
,,,26,,0,,,0.6282854676246643,0.0
0.5894736647605896,0.5406559109687805,0.7142857313156128,53,0.1190476194024086,1,0.9622642397880554,0.7835137844085693,,
,,,53,,1,,,0.6195869445800781,0.0
0.5368421077728271,0.4885444641113281,0.375,80,0.0714285746216774,2,0.9056603908538818,1.0939593315124512,,
,,,80,,2,,,0.6123953461647034,0.0
0.6526315808296204,0.6145552396774292,0.800000011920929,107,0.2857142984867096,3,0.9433962106704712,0.5844815373420715,,
,,,107,,3,,,0.6039708256721497,0.0
0.6736842393875122,0.6358940005302429,0.8666666746139526,134,0.3095238208770752,4,0.9622642397880554,1.0885380506515503,,
,,,134,,4,,,0.5753372311592102,0.0
0.7052631378173828,0.6740791201591492,0.8500000238418579,161,0.4047619104385376,5,0.9433962106704712,0.6426531672477722,,
,,,161,,5,,,0.5719800591468811,0.0
0.7052631378173828,0.6740791201591492,0.8500000238418579,188,0.4047619104385376,6,0.9433962106704712,0.6167435050010681,,
,,,188,,6,,,0.5577207207679749,0.0
0.7157894968986511,0.6835130453109741,0.8947368264198303,215,0.4047619104385376,7,0.9622642397880554,0.609158992767334,,
,,,215,,7,,,0.540269672870636,0.0
0.75789475440979,0.7360737323760986,0.8518518805503845,242,0.5476190447807312,8,0.9245282411575317,0.5760842561721802,,
,,,242,,8,,,0.5371353030204773,0.0
0.7157894968986511,0.6909254193305969,0.800000011920929,269,0.4761904776096344,9,0.9056603908538818,0.7722699046134949,,
,,,269,,9,,,0.5277687311172485,0.0
0.7368420958518982,0.7097933292388916,0.8695652484893799,296,0.4761904776096344,10,0.9433962106704712,0.5446509718894958,,
,,,296,,10,,,0.5299339294433594,0.0
0.7368420958518982,0.7122641205787659,0.8399999737739563,323,0.5,11,0.9245282411575317,0.6411533355712891,,
,,,323,,11,,,0.5309506058692932,0.0
0.7368420958518982,0.7122641205787659,0.8399999737739563,350,0.5,12,0.9245282411575317,0.527342677116394,,
,,,350,,12,,,0.518130362033844,0.0
0.7157894968986511,0.6859838366508484,0.8571428656578064,377,0.4285714328289032,13,0.9433962106704712,0.5387241244316101,,
,,,377,,13,,,0.4970203936100006,0.0
0.7263157963752747,0.6978886127471924,0.8636363744735718,404,0.4523809850215912,14,0.9433962106704712,0.6226620674133301,,
,,,404,,14,,,0.5006378293037415,0.0
0.7684210538864136,0.7430369257926941,0.9166666865348816,431,0.523809552192688,15,0.9622642397880554,0.5814132690429688,,
,,,431,,15,,,0.5273277759552002,0.0
0.7684210538864136,0.740566074848175,0.9545454382896423,458,0.5,16,0.9811320900917053,0.6323329210281372,,
,,,458,,16,,,0.4872564375400543,0.0
0.7684210538864136,0.740566074848175,0.9545454382896423,485,0.5,17,0.9811320900917053,0.5788416266441345,,
,,,485,,17,,,0.4840441346168518,0.0
0.7894737124443054,0.7668463587760925,0.9230769276618958,512,0.5714285969734192,18,0.9622642397880554,0.7252761125564575,,
,,,512,,18,,,0.48522502183914185,0.0
0.7684210538864136,0.7430369257926941,0.9166666865348816,539,0.523809552192688,19,0.9622642397880554,0.7538516521453857,,
,,,539,,19,,,0.4891227185726166,0.0
0.7894737124443054,0.764375627040863,0.9583333134651184,566,0.5476190447807312,20,0.9811320900917053,0.7110271453857422,,
,,,566,,20,,,0.466706246137619,0.0
0.800000011920929,0.781221866607666,0.8965517282485962,593,0.6190476417541504,21,0.9433962106704712,1.7002202272415161,,
,,,593,,21,,,0.46556103229522705,0.0
0.7789473533630371,0.7574123740196228,0.8888888955116272,620,0.5714285969734192,22,0.9433962106704712,0.5408462882041931,,
,,,620,,22,,,0.46317172050476074,0.0
0.7894737124443054,0.7693171501159668,0.8928571343421936,647,0.5952380895614624,23,0.9433962106704712,0.998647928237915,,
,,,647,,23,,,0.462086945772171,0.0
0.821052610874176,0.8000898957252502,0.9629629850387573,674,0.6190476417541504,24,0.9811320900917053,0.5754027962684631,,
,,,674,,24,,,0.43811264634132385,0.0
0.800000011920929,0.7762802839279175,0.9599999785423279,701,0.5714285969734192,25,0.9811320900917053,0.8950434923171997,,
,,,701,,25,,,0.4475261867046356,0.0
0.7894737124443054,0.7668463587760925,0.9230769276618958,728,0.5714285969734192,26,0.9622642397880554,0.8015731573104858,,
,,,728,,26,,,0.4423503875732422,0.0
0.821052610874176,0.8025606870651245,0.931034505367279,755,0.6428571343421936,27,0.9622642397880554,0.4366105794906616,,
,,,755,,27,,,0.4382331073284149,0.0
0.8315789699554443,0.8119946122169495,0.9642857313156128,782,0.6428571343421936,28,0.9811320900917053,0.669471025466919,,
,,,782,,28,,,0.42953211069107056,0.0
0.8631578683853149,0.8477089405059814,0.967741847038269,809,0.7142857313156128,29,0.9811320900917053,0.5991116166114807,,
,,,809,,29,,,0.4572714865207672,0.0
0.8421052694320679,0.8238993883132935,0.9655172228813171,836,0.6666666865348816,30,0.9811320900917053,0.9011105298995972,,
,,,836,,30,,,0.4533299207687378,0.0
0.8421052694320679,0.8238993883132935,0.9655172228813171,863,0.6666666865348816,31,0.9811320900917053,0.6656696796417236,,
,,,863,,31,,,0.4323098659515381,0.0
0.821052610874176,0.8025606870651245,0.931034505367279,890,0.6428571343421936,32,0.9622642397880554,0.4116317629814148,,
,,,890,,32,,,0.4053662419319153,0.0
0.800000011920929,0.7836927175521851,0.8709677457809448,917,0.6428571343421936,33,0.9245282411575317,0.6158153414726257,,
