epoch,val_precision,val_specificity,step,val_loss,val_sensitivity,val_auroc,val_accuracy,train_loss,unlabeled_data_utilization,test_precision,test_auroc,test_accuracy,test_specificity,test_sensitivity
0,0.0,1.0,26,0.306991308927536,0.0,0.5,0.557894766330719,,,,,,,
0,,,26,,,,,0.3309005796909332,0.0,,,,,
1,0.4285714328289032,0.849056601524353,53,1.4709779024124146,0.1428571492433548,0.4959568977355957,0.5368421077728271,,,,,,,
1,,,53,,,,,0.3180369436740875,0.0,,,,,
2,0.3333333432674408,0.9245282411575317,80,0.6692171692848206,0.0476190485060215,0.48607367277145386,0.5368421077728271,,,,,,,
2,,,80,,,,,0.32078540325164795,0.0,,,,,
3,0.6000000238418579,0.9245282411575317,107,0.7682323455810547,0.1428571492433548,0.5336927175521851,0.5789473652839661,,,,,,,
3,,,107,,,,,0.3121461868286133,0.0,,,,,
4,0.8333333134651184,0.9622642397880554,134,1.0420862436294556,0.2380952388048172,0.6001797318458557,0.6421052813529968,,,,,,,
4,,,134,,,,,0.31113845109939575,0.0,,,,,
5,0.75,0.8867924809455872,161,0.5380183458328247,0.4285714328289032,0.6576818823814392,0.6842105388641357,,,,,,,
5,,,161,,,,,0.29998716711997986,0.0,,,,,
6,0.8823529481887817,0.9622642397880554,188,0.820850670337677,0.3571428656578064,0.6597035527229309,0.6947368383407593,,,,,,,
6,,,188,,,,,0.2939457595348358,0.0,,,,,
7,0.9200000166893005,0.9622642397880554,215,0.5355324745178223,0.5476190447807312,0.7549417018890381,0.7789473533630371,,,,,,,
7,,,215,,,,,0.2910783886909485,0.0,,,,,
8,1.0,1.0,242,0.928489625453949,0.4285714328289032,0.7142857313156128,0.7473683953285217,,,,,,,
8,,,242,,,,,0.27980148792266846,0.0,,,,,
9,0.9259259104728699,0.9622642397880554,269,0.594316303730011,0.5952380895614624,0.7787511944770813,0.800000011920929,,,,,,,
9,,,269,,,,,0.27396711707115173,0.0,,,,,
10,0.8888888955116272,0.9433962106704712,296,0.665004312992096,0.5714285969734192,0.7574123740196228,0.7789473533630371,,,,,,,
10,,,296,,,,,0.2692735493183136,0.0,,,,,
11,0.8148148655891418,0.9056603908538818,323,0.393093079328537,0.523809552192688,0.7147350311279297,0.7368420958518982,,,,,,,
11,,,323,,,,,0.28254082798957825,0.0,,,,,
12,0.807692289352417,0.9056603908538818,350,0.6277177929878235,0.5,0.7028301954269409,0.7263157963752747,,,,,,,
12,,,350,,,,,0.2595217823982239,0.0,,,,,
13,0.8518518805503845,0.9245282411575317,377,0.4562768340110779,0.5476190447807312,0.7360737323760986,0.75789475440979,,,,,,,
13,,,377,,,,,0.2643539309501648,0.0,,,,,
14,0.8799999952316284,0.9433962106704712,404,0.4508577585220337,0.523809552192688,0.7336028814315796,0.75789475440979,,,,,,,
14,,,404,,,,,0.2647111713886261,0.0,,,,,
15,0.8333333134651184,0.9056603908538818,431,0.4396975338459015,0.5952380895614624,0.7504492402076721,0.7684210538864136,,,,,,,
15,,,431,,,,,0.2575879693031311,0.0,,,,,
16,1.0,1.0,458,0.794084906578064,0.5,0.75,0.7789473533630371,,,,,,,
16,,,458,,,,,0.2685564160346985,0.0,,,,,
17,0.8799999952316284,0.9433962106704712,485,0.3926713764667511,0.523809552192688,0.7336028814315796,0.75789475440979,,,,,,,
17,,,485,,,,,0.25693491101264954,0.0,,,,,
18,0.95652174949646,0.9811320900917053,512,0.27217182517051697,0.523809552192688,0.7524707913398743,0.7789473533630371,,,,,,,
18,,,512,,,,,0.2576790153980255,0.0,,,,,
19,0.8799999952316284,0.9433962106704712,539,0.5996156930923462,0.523809552192688,0.7336028814315796,0.75789475440979,,,,,,,
19,,,539,,,,,0.2489025592803955,0.0,,,,,
20,0.8928571343421936,0.9433962106704712,566,0.42529624700546265,0.5952380895614624,0.7693171501159668,0.7894737124443054,,,,,,,
20,,,566,,,,,0.2492658495903015,0.0,,,,,
21,0.9259259104728699,0.9622642397880554,593,0.41665413975715637,0.5952380895614624,0.7787511944770813,0.800000011920929,,,,,,,
21,,,593,,,,,0.24837785959243774,0.0,,,,,
