val_auroc,epoch,val_accuracy,val_specificity,val_loss,step,val_sensitivity,val_precision,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_precision,test_accuracy,test_sensitivity
0.5,0,0.4421052634716034,0.0,0.0775248259305954,26,1.0,0.4421052634716034,,,,,,,
,0,,,,26,,,0.19999998807907104,0.0,,,,,
0.4851751923561096,1,0.4421052634716034,0.11320754885673523,0.4947220981121063,53,0.8571428656578064,0.4337349236011505,,,,,,,
,1,,,,53,,,0.19999998807907104,0.0,,,,,
0.47079965472221375,2,0.43157893419265747,0.1320754736661911,0.7211733460426331,80,0.8095238208770752,0.42500001192092896,,,,,,,
,2,,,,80,,,0.19999998807907104,0.0,,,,,
0.48270440101623535,3,0.4421052634716034,0.1320754736661911,0.3839057981967926,107,0.8333333134651184,0.43209877610206604,,,,,,,
,3,,,,107,,,0.19999998807907104,0.0,,,,,
0.4851751923561096,4,0.4421052634716034,0.11320754885673523,0.4576530158519745,134,0.8571428656578064,0.4337349236011505,,,,,,,
,4,,,,134,,,0.19999998807907104,0.0,,,,,
0.4921382963657379,5,0.4526315927505493,0.15094339847564697,0.657782256603241,161,0.8333333134651184,0.4375,,,,,,,
,5,,,,161,,,0.19999998807907104,0.0,,,,,
0.5159478783607483,6,0.4736842215061188,0.15094339847564697,1.075131893157959,188,0.8809523582458496,0.45121949911117554,,,,,,,
,6,,,,188,,,0.19999998807907104,0.0,,,,,
0.5089846849441528,7,0.46315789222717285,0.11320754885673523,0.37855711579322815,215,0.9047619700431824,0.4470588266849518,,,,,,,
,7,,,,215,,,0.19999998807907104,0.0,,,,,
0.4638364613056183,8,0.42105263471603394,0.09433962404727936,0.6153884530067444,242,0.8333333134651184,0.4216867685317993,,,,,,,
,8,,,,242,,,0.19999998807907104,0.0,,,,,
0.5040431618690491,9,0.46315789222717285,0.15094339847564697,0.8194056749343872,269,0.8571428656578064,0.4444444477558136,,,,,,,
,9,,,,269,,,0.19999998807907104,0.0,,,,,
0.5208894610404968,10,0.4736842215061188,0.11320754885673523,0.3889997899532318,296,0.9285714626312256,0.4534883499145508,,,,,,,
,10,,,,296,,,0.19999998807907104,0.0,,,,,
0.4921382963657379,11,0.4526315927505493,0.15094339847564697,0.5846645832061768,323,0.8333333134651184,0.4375,,,,,,,
,11,,,,323,,,0.19999998807907104,0.0,,,,,
0.5159478783607483,12,0.4736842215061188,0.15094339847564697,0.6298019289970398,350,0.8809523582458496,0.45121949911117554,,,,,,,
,12,,,,350,,,0.19999998807907104,0.0,,,,,
0.4970799386501312,13,0.4526315927505493,0.11320754885673523,0.569697380065918,377,0.8809523582458496,0.4404761791229248,,,,,,,
,13,,,,377,,,0.19999998807907104,0.0,,,,,
0.4732704162597656,14,0.43157893419265747,0.11320754885673523,0.7067884206771851,404,0.8333333134651184,0.4268292784690857,,,,,,,
,14,,,,404,,,0.19999998807907104,0.0,,,,,
0.4802336096763611,15,0.4421052634716034,0.15094339847564697,0.7731530666351318,431,0.8095238208770752,0.4303797781467438,,,,,,,
,15,,,,431,,,0.19999998807907104,0.0,,,,,
0.4494608938694,16,0.410526305437088,0.11320754885673523,0.49167370796203613,458,0.7857142686843872,0.4124999940395355,,,,,,,
,16,,,,458,,,0.19999998807907104,0.0,,,,,
0.47079965472221375,17,0.43157893419265747,0.1320754736661911,0.9910333156585693,485,0.8095238208770752,0.42500001192092896,,,,,,,
,17,,,,485,,,0.19999998807907104,0.0,,,,,
0.49460917711257935,18,0.4526315927505493,0.1320754736661911,0.6290021538734436,512,0.8571428656578064,0.4390243887901306,,,,,,,
,18,,,,512,,,0.19999998807907104,0.0,,,,,
0.5089846849441528,19,0.46315789222717285,0.11320754885673523,1.4817906618118286,539,0.9047619700431824,0.4470588266849518,,,,,,,
,19,,,,539,,,0.19999998807907104,0.0,,,,,
0.5089846849441528,20,0.46315789222717285,0.11320754885673523,0.9034054279327393,566,0.9047619700431824,0.4470588266849518,,,,,,,
