val_specificity,val_loss,val_precision,val_sensitivity,step,val_accuracy,val_auroc,epoch,train_loss,unlabeled_data_utilization,test_auroc,test_specificity,test_sensitivity,test_precision,test_accuracy
1.0,0.7434779405593872,0.0,0.0,26,0.557894766330719,0.5,0,,,,,,,
,,,,26,,,0,0.7543498873710632,0.0,,,,,
0.9245282411575317,1.6450352668762207,0.6666666865348816,0.190476194024086,53,0.6000000238418579,0.557502269744873,1,,,,,,,
,,,,53,,,1,0.7423979043960571,0.0,,,,,
0.849056601524353,4.052820205688477,0.529411792755127,0.2142857164144516,80,0.5684210658073425,0.5316711664199829,2,,,,,,,
,,,,80,,,2,0.719806432723999,0.0,,,,,
0.9056603908538818,0.7480350732803345,0.75,0.3571428656578064,107,0.6631578803062439,0.6314016580581665,3,,,,,,,
,,,,107,,,3,0.6777849197387695,0.0,,,,,
0.9056603908538818,0.6819987297058105,0.8333333134651184,0.5952380895614624,134,0.7684210538864136,0.7504492402076721,4,,,,,,,
,,,,134,,,4,0.6459906101226807,0.0,,,,,
0.9433962106704712,1.3550045490264893,0.8799999952316284,0.523809552192688,161,0.75789475440979,0.7336028814315796,5,,,,,,,
,,,,161,,,5,0.6040346622467041,0.0,,,,,
0.8867924809455872,1.5333110094070435,0.7931034564971924,0.5476190447807312,188,0.7368420958518982,0.7172057032585144,6,,,,,,,
,,,,188,,,6,0.5961447954177856,0.0,,,,,
0.8113208413124084,0.8025528192520142,0.7368420958518982,0.6666666865348816,215,0.7473683953285217,0.738993763923645,7,,,,,,,
,,,,215,,,7,0.5873240828514099,0.0,,,,,
0.849056601524353,1.1034553050994873,0.7777778506278992,0.6666666865348816,242,0.7684210538864136,0.7578616738319397,8,,,,,,,
,,,,242,,,8,0.6018272638320923,0.0,,,,,
0.8301886916160583,0.8935141563415527,0.7352941632270813,0.5952380895614624,269,0.7263157963752747,0.712713360786438,9,,,,,,,
,,,,269,,,9,0.5831900835037231,0.0,,,,,
0.9622642397880554,0.8077279329299927,0.9166666865348816,0.523809552192688,296,0.7684210538864136,0.7430369257926941,10,,,,,,,
,,,,296,,,10,0.5600083470344543,0.0,,,,,
0.9056603908538818,1.589728593826294,0.8275862336158752,0.5714285969734192,323,0.75789475440979,0.7385445237159729,11,,,,,,,
,,,,323,,,11,0.5513420701026917,0.0,,,,,
0.9056603908538818,1.6226636171340942,0.8387095928192139,0.6190476417541504,350,0.7789473533630371,0.7623540163040161,12,,,,,,,
,,,,350,,,12,0.5562098622322083,0.0,,,,,
0.9056603908538818,0.6922620534896851,0.8529411554336548,0.6904761791229248,377,0.8105263113975525,0.7980683445930481,13,,,,,,,
,,,,377,,,13,0.532337486743927,0.0,,,,,
0.8867924809455872,0.8990504741668701,0.8285714387893677,0.6904761791229248,404,0.800000011920929,0.7886343002319336,14,,,,,,,
,,,,404,,,14,0.5108034610748291,0.0,,,,,
0.9622642397880554,0.9059861302375793,0.9230769276618958,0.5714285969734192,431,0.7894737124443054,0.7668463587760925,15,,,,,,,
,,,,431,,,15,0.5322192311286926,0.0,,,,,
0.9433962106704712,1.427525520324707,0.8965517282485962,0.6190476417541504,458,0.800000011920929,0.781221866607666,16,,,,,,,
,,,,458,,,16,0.5488219261169434,0.0,,,,,
0.9433962106704712,0.7966905236244202,0.9032257795333862,0.6666666865348816,485,0.821052610874176,0.8050314784049988,17,,,,,,,
,,,,485,,,17,0.5389075875282288,0.0,,,,,
0.9245282411575317,0.6400610208511353,0.875,0.6666666865348816,512,0.8105263113975525,0.795597493648529,18,,,,,,,
,,,,512,,,18,0.5457623600959778,0.0,,,,,
