val_accuracy,val_auroc,val_precision,step,val_sensitivity,epoch,val_specificity,val_loss,train_loss,unlabeled_data_utilization,test_precision,test_accuracy,test_sensitivity,test_auroc,test_specificity
0.557894766330719,0.5,0.0,26,0.0,0,1.0,0.6191434264183044,,,,,,,
,,,26,,0,,,0.637759804725647,0.0,,,,,
0.5789473652839661,0.5336927175521851,0.6000000238418579,53,0.1428571492433548,1,0.9245282411575317,1.4117227792739868,,,,,,,
,,,53,,1,,,0.6224733591079712,0.0,,,,,
0.5473684072494507,0.4930368661880493,0.3333333432674408,80,0.02380952425301075,2,0.9622642397880554,1.7604459524154663,,,,,,,
,,,80,,2,,,0.6099419593811035,0.0,,,,,
0.6105263233184814,0.569407045841217,0.692307710647583,107,0.2142857164144516,3,0.9245282411575317,1.5339821577072144,,,,,,,
,,,107,,3,,,0.5891159176826477,0.0,,,,,
0.6842105388641357,0.6601526737213135,0.7307692170143127,134,0.4523809850215912,4,0.8679245114326477,1.5258052349090576,,,,,,,
,,,134,,4,,,0.5671607255935669,0.0,,,,,
0.6736842393875122,0.6408355832099915,0.7894737124443054,161,0.3571428656578064,5,0.9245282411575317,1.776206374168396,,,,,,,
,,,161,,5,,,0.5451305508613586,0.0,,,,,
0.7157894968986511,0.6884546279907227,0.8260868787765503,188,0.4523809850215912,6,0.9245282411575317,1.2034459114074707,,,,,,,
,,,188,,6,,,0.5226207971572876,0.0,,,,,
0.6842105388641357,0.6552111506462097,0.7727272510528564,215,0.4047619104385376,7,0.9056603908538818,1.159425973892212,,,,,,,
,,,215,,7,,,0.5038501620292664,0.0,,,,,
0.7368420958518982,0.7073225378990173,0.9047619700431824,242,0.4523809850215912,8,0.9622642397880554,1.8112142086029053,,,,,,,
,,,242,,8,,,0.49520623683929443,0.0,,,,,
0.7157894968986511,0.6835130453109741,0.8947368264198303,269,0.4047619104385376,9,0.9622642397880554,0.8558142185211182,,,,,,,
,,,269,,9,,,0.5086548924446106,0.0,,,,,
0.7157894968986511,0.6810421347618103,0.9411764740943909,296,0.380952388048172,10,0.9811320900917053,0.8560841083526611,,,,,,,
,,,296,,10,,,0.4888877272605896,0.0,,,,,
0.7473683953285217,0.7192272543907166,0.9090909361839294,323,0.4761904776096344,11,0.9622642397880554,1.5411796569824219,,,,,,,
,,,323,,11,,,0.485261470079422,0.0,,,,,
0.7157894968986511,0.6859838366508484,0.8571428656578064,350,0.4285714328289032,12,0.9433962106704712,1.7549560070037842,,,,,,,
,,,350,,12,,,0.45040035247802734,0.0,,,,,
0.7473683953285217,0.7216981053352356,0.875,377,0.5,13,0.9433962106704712,0.744228184223175,,,,,,,
,,,377,,13,,,0.4818815588951111,0.0,,,,,
0.7368420958518982,0.7073225378990173,0.9047619700431824,404,0.4523809850215912,14,0.9622642397880554,1.7474440336227417,,,,,,,
,,,404,,14,,,0.45677879452705383,0.0,,,,,
0.7473683953285217,0.7216981053352356,0.875,431,0.5,15,0.9433962106704712,0.9808894395828247,,,,,,,
,,,431,,15,,,0.4598357081413269,0.0,,,,,
0.7157894968986511,0.6835130453109741,0.8947368264198303,458,0.4047619104385376,16,0.9622642397880554,0.9916831851005554,,,,,,,
,,,458,,16,,,0.44602522253990173,0.0,,,,,
0.7473683953285217,0.7192272543907166,0.9090909361839294,485,0.4761904776096344,17,0.9622642397880554,0.6898990273475647,,,,,,,
,,,485,,17,,,0.435343474149704,0.0,,,,,
0.7263157963752747,0.6978886127471924,0.8636363744735718,512,0.4523809850215912,18,0.9433962106704712,1.1659480333328247,,,,,,,
,,,512,,18,,,0.427835077047348,0.0,,,,,
0.7157894968986511,0.6859838366508484,0.8571428656578064,539,0.4285714328289032,19,0.9433962106704712,0.5582025051116943,,,,,,,
,,,539,,19,,,0.44912952184677124,0.0,,,,,
0.7368420958518982,0.7147350311279297,0.8148148655891418,566,0.523809552192688,20,0.9056603908538818,0.7931125164031982,,,,,,,
,,,566,,20,,,0.42922887206077576,0.0,,,,,
0.7368420958518982,0.7122641205787659,0.8399999737739563,593,0.5,21,0.9245282411575317,1.0978084802627563,,,,,,,
,,,593,,21,,,0.42592665553092957,0.0,,,,,
0.7473683953285217,0.7216981053352356,0.875,620,0.5,22,0.9433962106704712,0.8636295795440674,,,,,,,
,,,620,,22,,,0.43467164039611816,0.0,,,,,
0.7157894968986511,0.6909254193305969,0.800000011920929,647,0.4761904776096344,23,0.9056603908538818,1.1832393407821655,,,,,,,
,,,647,,23,,,0.43768492341041565,0.0,,,,,
0.7368420958518982,0.7147350311279297,0.8148148655891418,674,0.523809552192688,24,0.9056603908538818,0.8473659157752991,,,,,,,
