epoch,val_auroc,val_accuracy,val_sensitivity,step,val_loss,val_precision,val_specificity,train_loss,unlabeled_data_utilization,test_sensitivity,test_specificity,test_accuracy,test_precision,test_auroc
0,0.5,0.557894766330719,0.0,26,2.875187873840332,0.0,1.0,,,,,,,
0,,,,26,,,,2.891629219055176,0.0,,,,,
1,0.5287511348724365,0.5789473652839661,0.095238097012043,53,5.917535781860352,0.6666666865348816,0.9622642397880554,,,,,,,
1,,,,53,,,,2.6924426555633545,0.0,,,,,
2,0.6695866584777832,0.6947368383407593,0.4523809850215912,80,4.6652607917785645,0.7599999904632568,0.8867924809455872,,,,,,,
2,,,,80,,,,2.5183966159820557,0.0,,,,,
3,0.7479784488677979,0.7684210538864136,0.5714285969734192,107,3.543360948562622,0.8571428656578064,0.9245282411575317,,,,,,,
3,,,,107,,,,2.424921989440918,0.0,,,,,
4,0.7455076575279236,0.7684210538864136,0.5476190447807312,134,2.2119810581207275,0.8846153616905212,0.9433962106704712,,,,,,,
4,,,,134,,,,2.2687742710113525,0.0,,,,,
5,0.7861635684967041,0.800000011920929,0.6666666865348816,161,2.0430846214294434,0.8484848737716675,0.9056603908538818,,,,,,,
5,,,,161,,,,2.127373218536377,0.0,,,,,
6,0.7549417018890381,0.7789473533630371,0.5476190447807312,188,2.131354570388794,0.9200000166893005,0.9622642397880554,,,,,,,
6,,,,188,,,,2.129896640777588,0.0,,,,,
7,0.7886343002319336,0.800000011920929,0.6904761791229248,215,2.0455989837646484,0.8285714387893677,0.8867924809455872,,,,,,,
7,,,,215,,,,2.0003368854522705,0.0,,,,,
8,0.7886343002319336,0.800000011920929,0.6904761791229248,242,2.1430106163024902,0.8285714387893677,0.8867924809455872,,,,,,,
8,,,,242,,,,1.9007138013839722,0.0,,,,,
9,0.7097933292388916,0.7368420958518982,0.4761904776096344,269,1.9325577020645142,0.8695652484893799,0.9433962106704712,,,,,,,
9,,,,269,,,,1.9402997493743896,0.0,,,,,
10,0.7360737323760986,0.75789475440979,0.5476190447807312,296,2.0477612018585205,0.8518518805503845,0.9245282411575317,,,,,,,
10,,,,296,,,,1.8438153266906738,0.0,,,,,
11,0.79312664270401,0.8105263113975525,0.6428571343421936,323,2.0620369911193848,0.8999999761581421,0.9433962106704712,,,,,,,
11,,,,323,,,,1.8004016876220703,0.0,,,,,
12,0.8075022101402283,0.821052610874176,0.6904761791229248,350,3.44340443611145,0.8787878751754761,0.9245282411575317,,,,,,,
12,,,,350,,,,1.8212608098983765,0.0,,,,,
13,0.831311821937561,0.8421052694320679,0.738095223903656,377,3.13857102394104,0.8857142925262451,0.9245282411575317,,,,,,,
13,,,,377,,,,1.7575496435165405,0.0,,,,,
14,0.79312664270401,0.8105263113975525,0.6428571343421936,404,2.1691558361053467,0.8999999761581421,0.9433962106704712,,,,,,,
14,,,,404,,,,1.7440012693405151,0.0,,,,,
15,0.79312664270401,0.8105263113975525,0.6428571343421936,431,1.6731762886047363,0.8999999761581421,0.9433962106704712,,,,,,,
15,,,,431,,,,1.7876538038253784,0.0,,,,,
16,0.8050314784049988,0.821052610874176,0.6666666865348816,458,3.271195650100708,0.9032257795333862,0.9433962106704712,,,,,,,
16,,,,458,,,,1.696376919746399,0.0,,,,,
17,0.8263701796531677,0.8421052694320679,0.6904761791229248,485,1.579980731010437,0.9354839324951172,0.9622642397880554,,,,,,,
17,,,,485,,,,1.6693954467773438,0.0,,,,,
18,0.8263701796531677,0.8421052694320679,0.6904761791229248,512,1.4282398223876953,0.9354839324951172,0.9622642397880554,,,,,,,
18,,,,512,,,,1.550394058227539,0.0,,,,,
19,0.816936194896698,0.8315789699554443,0.6904761791229248,539,2.6645398139953613,0.90625,0.9433962106704712,,,,,,,
19,,,,539,,,,1.5515044927597046,0.0,,,,,
20,0.816936194896698,0.8315789699554443,0.6904761791229248,566,2.0766758918762207,0.90625,0.9433962106704712,,,,,,,
20,,,,566,,,,1.5959086418151855,0.0,,,,,
21,0.831311821937561,0.8421052694320679,0.738095223903656,593,1.7612911462783813,0.8857142925262451,0.9245282411575317,,,,,,,
21,,,,593,,,,1.5404714345932007,0.0,,,,,
22,0.7980683445930481,0.8105263113975525,0.6904761791229248,620,1.8615275621414185,0.8529411554336548,0.9056603908538818,,,,,,,
22,,,,620,,,,1.6356251239776611,0.0,,,,,
23,0.7693171501159668,0.7894737124443054,0.5952380895614624,647,2.285067558288574,0.8928571343421936,0.9433962106704712,,,,,,,
23,,,,647,,,,1.6186469793319702,0.0,,,,,
24,0.7861635684967041,0.800000011920929,0.6666666865348816,674,1.4822083711624146,0.8484848737716675,0.9056603908538818,,,,,,,
24,,,,674,,,,1.4819204807281494,0.0,,,,,
25,0.7717880010604858,0.7894737124443054,0.6190476417541504,701,1.7141540050506592,0.8666666746139526,0.9245282411575317,,,,,,,
25,,,,701,,,,1.4492827653884888,0.0,,,,,
26,0.8432164788246155,0.8526315689086914,0.761904776096344,728,1.956931233406067,0.8888888955116272,0.9245282411575317,,,,,,,
26,,,,728,,,,1.4642040729522705,0.0,,,,,
27,0.8432164788246155,0.8526315689086914,0.761904776096344,755,1.6816643476486206,0.8888888955116272,0.9245282411575317,,,,,,,
27,,,,755,,,,1.5739394426345825,0.0,,,,,
28,0.816936194896698,0.8315789699554443,0.6904761791229248,782,1.89545738697052,0.90625,0.9433962106704712,,,,,,,
28,,,,782,,,,1.4277384281158447,0.0,,,,,
29,0.8407456874847412,0.8526315689086914,0.738095223903656,809,1.6345669031143188,0.9117646813392639,0.9433962106704712,,,,,,,
29,,,,809,,,,1.4894380569458008,0.0,,,,,
30,0.8099730610847473,0.821052610874176,0.7142857313156128,836,1.6828312873840332,0.8571428656578064,0.9056603908538818,,,,,,,
30,,,,836,,,,1.467376947402954,0.0,,,,,
31,0.8075022101402283,0.821052610874176,0.6904761791229248,863,2.307067394256592,0.8787878751754761,0.9245282411575317,,,,,,,
31,,,,863,,,,1.3319876194000244,0.0,,,,,
32,0.8456873297691345,0.8526315689086914,0.7857142686843872,890,1.716741681098938,0.8684210777282715,0.9056603908538818,,,,,,,
32,,,,890,,,,1.3901313543319702,0.0,,,,,
33,0.831311821937561,0.8421052694320679,0.738095223903656,917,1.5927966833114624,0.8857142925262451,0.9245282411575317,,,,,,,
33,,,,917,,,,1.359428882598877,0.0,,,,,
34,0.8124438524246216,0.821052610874176,0.738095223903656,944,2.0890390872955322,0.8378377556800842,0.8867924809455872,,,,,,,
34,,,,944,,,,1.307811975479126,0.0,,,,,
35,0.7980683445930481,0.8105263113975525,0.6904761791229248,971,1.6648164987564087,0.8529411554336548,0.9056603908538818,,,,,,,
35,,,,971,,,,1.362028956413269,0.0,,,,,
36,0.8005390167236328,0.8105263113975525,0.7142857313156128,998,1.4804526567459106,0.8333333134651184,0.8867924809455872,,,,,,,
