val_accuracy,epoch,val_auroc,val_sensitivity,step,val_loss,val_precision,val_specificity,unlabeled_data_utilization,train_loss,test_precision,test_specificity,test_sensitivity,test_accuracy,test_auroc
0.621052622795105,0,0.6307277679443359,0.7142857313156128,33,0.5977426767349243,0.5555555820465088,0.5471698045730591,,,,,,,
,0,,,33,,,,0.07434141635894775,0.5217927694320679,,,,,
0.75789475440979,1,0.7459568381309509,0.6428571343421936,67,0.5408677458763123,0.7714285850524902,0.849056601524353,,,,,,,
,1,,,67,,,,0.46345311403274536,0.6015278100967407,,,,,
0.75789475440979,2,0.7410151958465576,0.5952380895614624,101,0.5145487785339355,0.806451678276062,0.8867924809455872,,,,,,,
,2,,,101,,,,0.4915545880794525,0.557762622833252,,,,,
0.7473683953285217,3,0.7315813302993774,0.5952380895614624,135,0.5243601202964783,0.78125,0.8679245114326477,,,,,,,
,3,,,135,,,,0.5015926361083984,0.5647692680358887,,,,,
0.7894737124443054,4,0.7792003154754639,0.6904761791229248,169,0.5011436343193054,0.8055555820465088,0.8679245114326477,,,,,,,
,4,,,169,,,,0.4882441461086273,0.5621813535690308,,,,,
0.7684210538864136,5,0.7479784488677979,0.5714285969734192,203,0.530495822429657,0.8571428656578064,0.9245282411575317,,,,,,,
,5,,,203,,,,0.47424477338790894,0.5569185614585876,,,,,
0.7789473533630371,6,0.7598832249641418,0.5952380895614624,237,0.46797361969947815,0.8620689511299133,0.9245282411575317,,,,,,,
,6,,,237,,,,0.4778159260749817,0.5204606056213379,,,,,
0.7684210538864136,7,0.7455076575279236,0.5476190447807312,271,0.5094980597496033,0.8846153616905212,0.9433962106704712,,,,,,,
,7,,,271,,,,0.501449465751648,0.5322727560997009,,,,,
0.7789473533630371,8,0.7598832249641418,0.5952380895614624,305,0.44844162464141846,0.8620689511299133,0.9245282411575317,,,,,,,
,8,,,305,,,,0.4842580258846283,0.5200492143630981,,,,,
0.7789473533630371,9,0.7574123740196228,0.5714285969734192,339,0.4972499907016754,0.8888888955116272,0.9433962106704712,,,,,,,
,9,,,339,,,,0.484762966632843,0.5054264664649963,,,,,
0.7789473533630371,10,0.7648246884346008,0.6428571343421936,373,0.5229995846748352,0.8181818127632141,0.8867924809455872,,,,,,,
,10,,,373,,,,0.5104942917823792,0.503615140914917,,,,,
0.800000011920929,11,0.7836927175521851,0.6428571343421936,407,0.4914587438106537,0.8709677457809448,0.9245282411575317,,,,,,,
,11,,,407,,,,0.505394458770752,0.518816351890564,,,,,
0.800000011920929,12,0.7861635684967041,0.6666666865348816,441,0.4813712537288666,0.8484848737716675,0.9056603908538818,,,,,,,
,12,,,441,,,,0.5174171328544617,0.49488577246665955,,,,,
0.7894737124443054,13,0.7668463587760925,0.5714285969734192,475,0.49658361077308655,0.9230769276618958,0.9622642397880554,,,,,,,
,13,,,475,,,,0.5245996713638306,0.5008094310760498,,,,,
0.8105263113975525,14,0.79312664270401,0.6428571343421936,509,0.542080819606781,0.8999999761581421,0.9433962106704712,,,,,,,
,14,,,509,,,,0.514223039150238,0.4875529408454895,,,,,
0.7894737124443054,15,0.7767295241355896,0.6666666865348816,543,0.5325943827629089,0.8235294818878174,0.8867924809455872,,,,,,,
,15,,,543,,,,0.5068988800048828,0.5104511380195618,,,,,
0.7789473533630371,16,0.7549417018890381,0.5476190447807312,577,0.48476389050483704,0.9200000166893005,0.9622642397880554,,,,,,,
,16,,,577,,,,0.5419353246688843,0.4957359731197357,,,,,
0.821052610874176,17,0.8075022101402283,0.6904761791229248,611,0.5067560076713562,0.8787878751754761,0.9245282411575317,,,,,,,
,17,,,611,,,,0.5121766328811646,0.4940858483314514,,,,,
0.8105263113975525,18,0.7906559109687805,0.6190476417541504,645,0.47168469429016113,0.9285714626312256,0.9622642397880554,,,,,,,
,18,,,645,,,,0.5129773616790771,0.49307286739349365,,,,,
0.8315789699554443,19,0.8144654631614685,0.6666666865348816,679,0.5029473900794983,0.9333332777023315,0.9622642397880554,,,,,,,
,19,,,679,,,,0.5395457148551941,0.49417388439178467,,,,,
0.8105263113975525,20,0.7906559109687805,0.6190476417541504,713,0.5102320313453674,0.9285714626312256,0.9622642397880554,,,,,,,
,20,,,713,,,,0.5159154534339905,0.49754494428634644,,,,,
0.8421052694320679,21,0.8263701796531677,0.6904761791229248,747,0.443040132522583,0.9354839324951172,0.9622642397880554,,,,,,,
,21,,,747,,,,0.533492386341095,0.4790312349796295,,,,,
0.821052610874176,22,0.8050314784049988,0.6666666865348816,781,0.46297186613082886,0.9032257795333862,0.9433962106704712,,,,,,,
,22,,,781,,,,0.5567531585693359,0.49254539608955383,,,,,
0.821052610874176,23,0.8075022101402283,0.6904761791229248,815,0.5088228583335876,0.8787878751754761,0.9245282411575317,,,,,,,
,23,,,815,,,,0.5254967212677002,0.4929715692996979,,,,,
0.8105263113975525,24,0.795597493648529,0.6666666865348816,849,0.41752585768699646,0.875,0.9245282411575317,,,,,,,
