epoch,val_sensitivity,val_auroc,val_loss,val_specificity,step,val_precision,val_accuracy,unlabeled_data_utilization,train_loss,test_auroc,test_specificity,test_accuracy,test_precision,test_sensitivity
0,0.625,0.512499988079071,0.4095741808414459,0.4000000059604645,138,0.07692307978868484,0.4166666567325592,,,,,,,
0,,,,,138,,,0.0017022097017616034,0.4152875542640686,,,,,
1,0.5,0.45499998331069946,0.4408104717731476,0.4099999964237213,277,0.0634920671582222,0.4166666567325592,,,,,,,
1,,,,,277,,,0.001126416027545929,0.3941127061843872,,,,,
2,0.625,0.5724999904632568,0.36561331152915955,0.5199999809265137,416,0.09433962404727936,0.5277777910232544,,,,,,,
2,,,,,416,,,0.001126416027545929,0.3778143525123596,,,,,
3,0.5,0.5300000309944153,0.35751575231552124,0.5600000023841858,555,0.0833333358168602,0.5555555820465088,,,,,,,
3,,,,,555,,,9.654994937591255e-05,0.36617374420166016,,,,,
4,0.25,0.4749999940395355,0.3661428391933441,0.699999988079071,694,0.0625,0.6666666865348816,,,,,,,
4,,,,,694,,,0.001188335008919239,0.357532799243927,,,,,
5,0.0,0.38999998569488525,0.3514411449432373,0.7799999713897705,833,0.0,0.7222222089767456,,,,,,,
5,,,,,833,,,0.0002561475266702473,0.3419743478298187,,,,,
6,0.0,0.38499999046325684,0.35189947485923767,0.7699999809265137,972,0.0,0.7129629850387573,,,,,,,
6,,,,,972,,,0.0017325462540611625,0.3329549729824066,,,,,
7,0.0,0.38999998569488525,0.33469390869140625,0.7799999713897705,1111,0.0,0.7222222089767456,,,,,,,
7,,,,,1111,,,0.003954081796109676,0.3262985944747925,,,,,
8,0.0,0.44499996304512024,0.34050452709198,0.8899999260902405,1250,0.0,0.8240740895271301,,,,,,,
8,,,,,1250,,,0.0038109757006168365,0.31788986921310425,,,,,
9,0.0,0.4650000035762787,0.3510435223579407,0.9300000071525574,1389,0.0,0.8611111044883728,,,,,,,
9,,,,,1389,,,0.0021683673840016127,0.30835244059562683,,,,,
10,0.0,0.46000000834465027,0.3389572501182556,0.9200000166893005,1528,0.0,0.8518518805503845,,,,,,,
10,,,,,1528,,,0.0032545500434935093,0.30249395966529846,,,,,
11,0.0,0.4699999988079071,0.32799220085144043,0.9399999976158142,1667,0.0,0.8703703880310059,,,,,,,
11,,,,,1667,,,0.004292929079383612,0.29972556233406067,,,,,
12,0.0,0.4699999988079071,0.3315960466861725,0.9399999976158142,1806,0.0,0.8703703880310059,,,,,,,
12,,,,,1806,,,0.011122881434857845,0.2919628918170929,,,,,
13,0.0,0.47999998927116394,0.3229964077472687,0.9599999785423279,1945,0.0,0.8888888955116272,,,,,,,
13,,,,,1945,,,0.005098849069327116,0.288469523191452,,,,,
14,0.0,0.4749999940395355,0.3112597167491913,0.949999988079071,2084,0.0,0.8796296119689941,,,,,,,
14,,,,,2084,,,0.0075150299817323685,0.283028781414032,,,,,
15,0.0,0.48500001430511475,0.32557564973831177,0.9700000286102295,2223,0.0,0.8981481194496155,,,,,,,
15,,,,,2223,,,0.010107566602528095,0.28142058849334717,,,,,
16,0.0,0.49000000953674316,0.3197847306728363,0.9800000190734863,2362,0.0,0.9074074029922485,,,,,,,
16,,,,,2362,,,0.01037524826824665,0.2785559296607971,,,,,
17,0.0,0.48500001430511475,0.3163560628890991,0.9700000286102295,2501,0.0,0.8981481194496155,,,,,,,
17,,,,,2501,,,0.01198587752878666,0.278360515832901,,,,,
18,0.0,0.4950000047683716,0.3065199553966522,0.9900000095367432,2640,0.0,0.9166666865348816,,,,,,,
18,,,,,2640,,,0.010642892681062222,0.2763911783695221,,,,,
19,0.0,0.49000000953674316,0.3195219337940216,0.9800000190734863,2779,0.0,0.9074074029922485,,,,,,,
19,,,,,2779,,,0.013762315735220909,0.2713449001312256,,,,,
20,,,,,2780,,,,,0.45391565561294556,0.45783132314682007,0.45724907517433167,0.0625,0.44999998807907104
20,,,,,2780,,,,,0.4919678568840027,0.9839357137680054,0.910780668258667,0.0,0.0
20,,,,,2780,,,,,0.4979919493198395,0.995983898639679,0.921933114528656,0.0,0.0
