val_specificity,val_auroc,val_accuracy,step,val_precision,val_sensitivity,epoch,val_loss,unlabeled_data_utilization,train_loss,test_precision,test_auroc,test_sensitivity,test_specificity,test_accuracy
1.0,0.5,0.557894766330719,26,0.0,0.0,0,0.6177005767822266,,,,,,,
,,,26,,,0,,0.003256833180785179,0.635982096195221,,,,,
0.9245282411575317,0.5336927175521851,0.5789473652839661,53,0.6000000238418579,0.1428571492433548,1,1.78057062625885,,,,,,,
,,,53,,,1,,0.006162904668599367,0.6249961853027344,,,,,
0.9811320900917053,0.5738993287086487,0.621052622795105,80,0.875,0.1666666716337204,2,2.6826906204223633,,,,,,,
,,,80,,,2,,0.008010461926460266,0.6152958273887634,,,,,
0.9622642397880554,0.5763701796531677,0.621052622795105,107,0.800000011920929,0.190476194024086,3,1.342829942703247,,,,,,,
,,,107,,,3,,0.005547258071601391,0.6048008799552917,,,,,
0.9245282411575317,0.6170260310173035,0.6526315808296204,134,0.7647058367729187,0.3095238208770752,4,1.2286896705627441,,,,,,,
,,,134,,,4,,0.006866319105029106,0.5727438926696777,,,,,
0.9433962106704712,0.6502695679664612,0.6842105388641357,161,0.8333333134651184,0.3571428656578064,5,2.1672141551971436,,,,,,,
,,,161,,,5,,0.0063574002124369144,0.5739613771438599,,,,,
0.9811320900917053,0.6215183734893799,0.6631578803062439,188,0.9166666865348816,0.261904776096344,6,1.1253015995025635,,,,,,,
,,,188,,,6,,0.006628469564020634,0.5355852246284485,,,,,
0.9433962106704712,0.6978886127471924,0.7263157963752747,215,0.8636363744735718,0.4523809850215912,7,2.00468111038208,,,,,,,
,,,215,,,7,,0.01381178293377161,0.5359805226325989,,,,,
0.9245282411575317,0.6765499114990234,0.7052631378173828,242,0.8181818127632141,0.4285714328289032,8,1.8274468183517456,,,,,,,
,,,242,,,8,,0.028902102261781693,0.5325249433517456,,,,,
0.9056603908538818,0.6909254193305969,0.7157894968986511,269,0.800000011920929,0.4761904776096344,9,1.0482773780822754,,,,,,,
,,,269,,,9,,0.029677458107471466,0.5233748555183411,,,,,
0.9433962106704712,0.7097933292388916,0.7368420958518982,296,0.8695652484893799,0.4761904776096344,10,1.1874849796295166,,,,,,,
,,,296,,,10,,0.05565424636006355,0.48611676692962646,,,,,
0.9245282411575317,0.7122641205787659,0.7368420958518982,323,0.8399999737739563,0.5,11,0.6046782732009888,,,,,,,
,,,323,,,11,,0.0755840390920639,0.49437692761421204,,,,,
0.9622642397880554,0.7430369257926941,0.7684210538864136,350,0.9166666865348816,0.523809552192688,12,1.0379136800765991,,,,,,,
,,,350,,,12,,0.09496093541383743,0.5136165618896484,,,,,
0.9433962106704712,0.7336028814315796,0.75789475440979,377,0.8799999952316284,0.523809552192688,13,0.7311245799064636,,,,,,,
,,,377,,,13,,0.08496105670928955,0.516765296459198,,,,,
0.9622642397880554,0.7073225378990173,0.7368420958518982,404,0.9047619700431824,0.4523809850215912,14,1.2126526832580566,,,,,,,
,,,404,,,14,,0.07946815341711044,0.4915875196456909,,,,,
0.9433962106704712,0.7336028814315796,0.75789475440979,431,0.8799999952316284,0.523809552192688,15,1.0100696086883545,,,,,,,
,,,431,,,15,,0.11029060184955597,0.5203531980514526,,,,,
0.9433962106704712,0.7455076575279236,0.7684210538864136,458,0.8846153616905212,0.5476190447807312,16,1.2114896774291992,,,,,,,
,,,458,,,16,,0.09512129426002502,0.47694653272628784,,,,,
0.9433962106704712,0.6978886127471924,0.7263157963752747,485,0.8636363744735718,0.4523809850215912,17,0.8225042819976807,,,,,,,
,,,485,,,17,,0.12324586510658264,0.4699127972126007,,,,,
0.9622642397880554,0.7430369257926941,0.7684210538864136,512,0.9166666865348816,0.523809552192688,18,1.2166547775268555,,,,,,,
,,,512,,,18,,0.1266503781080246,0.4861188232898712,,,,,
0.9622642397880554,0.7549417018890381,0.7789473533630371,539,0.9200000166893005,0.5476190447807312,19,1.5642116069793701,,,,,,,
,,,539,,,19,,0.133924201130867,0.4905248284339905,,,,,
