val_specificity,val_precision,val_accuracy,val_auroc,epoch,val_loss,step,val_sensitivity,unlabeled_data_utilization,train_loss,test_sensitivity,test_specificity,test_precision,test_accuracy,test_auroc
0.03773584961891174,0.4395604729652405,0.4421052634716034,0.4950583875179291,0,0.6277151107788086,34,0.9523809552192688,,,,,,,
,,,,0,,34,,0.005491071380674839,0.6380763649940491,,,,,
0.056603774428367615,0.43820226192474365,0.4421052634716034,0.4925875961780548,1,0.6946475505828857,69,0.9285714626312256,,,,,,,
,,,,1,,69,,0.008608791045844555,0.6334521174430847,,,,,
0.07547169923782349,0.4555555582046509,0.4736842215061188,0.5258311033248901,2,0.6793599724769592,104,0.976190447807312,,,,,,,
,,,,2,,104,,0.009499045088887215,0.6213562488555908,,,,,
0.09433962404727936,0.4482758641242981,0.46315789222717285,0.5114555358886719,3,0.6154444813728333,139,0.9285714626312256,,,,,,,
,,,,3,,139,,0.010886107571423054,0.6337700486183167,,,,,
0.07547169923782349,0.4494381844997406,0.46315789222717285,0.5139263272285461,4,0.6739741563796997,174,0.9523809552192688,,,,,,,
,,,,4,,174,,0.009203878231346607,0.6191362142562866,,,,,
0.07547169923782349,0.4431818127632141,0.4526315927505493,0.5020215511322021,5,0.6257945895195007,209,0.9285714626312256,,,,,,,
,,,,5,,209,,0.013032471761107445,0.623910665512085,,,,,
0.03773584961891174,0.4269663095474243,0.42105263471603394,0.4712488651275635,6,0.6201722025871277,244,0.9047619700431824,,,,,,,
,,,,6,,244,,0.01392058189958334,0.6196607947349548,,,,,
0.03773584961891174,0.4395604729652405,0.4421052634716034,0.4950583875179291,7,0.7042592167854309,279,0.9523809552192688,,,,,,,
,,,,7,,279,,0.01131367590278387,0.6072732210159302,,,,,
0.056603774428367615,0.4444444477558136,0.4526315927505493,0.5044924020767212,8,0.6981212496757507,314,0.9523809552192688,,,,,,,
,,,,8,,314,,0.01563357561826706,0.6218143701553345,,,,,
0.03773584961891174,0.44565215706825256,0.4526315927505493,0.5069631338119507,9,0.7127971649169922,349,0.976190447807312,,,,,,,
,,,,9,,349,,0.014304658398032188,0.6096023917198181,,,,,
0.07547169923782349,0.4431818127632141,0.4526315927505493,0.5020215511322021,10,0.6343761682510376,384,0.9285714626312256,,,,,,,
,,,,10,,384,,0.0173046737909317,0.6061969995498657,,,,,
0.056603774428367615,0.4444444477558136,0.4526315927505493,0.5044924020767212,11,0.6685251593589783,419,0.9523809552192688,,,,,,,
,,,,11,,419,,0.023420877754688263,0.613882839679718,,,,,
0.056603774428367615,0.4318181872367859,0.43157893419265747,0.4806828498840332,12,0.7258606553077698,454,0.9047619700431824,,,,,,,
,,,,12,,454,,0.01926060952246189,0.6137433052062988,,,,,
0.09433962404727936,0.43529415130615234,0.4421052634716034,0.4876460134983063,13,0.6436077952384949,489,0.8809523582458496,,,,,,,
,,,,13,,489,,0.017690569162368774,0.6248458623886108,,,,,
0.1320754736661911,0.4523809850215912,0.4736842215061188,0.5184186697006226,14,0.6583471894264221,524,0.9047619700431824,,,,,,,
,,,,14,,524,,0.014902407303452492,0.6123955845832825,,,,,
0.16981132328510284,0.46987950801849365,0.5052631497383118,0.5491913557052612,15,0.6377620100975037,559,0.9285714626312256,,,,,,,
,,,,15,,559,,0.019773203879594803,0.6236454844474792,,,,,
0.16981132328510284,0.46341463923454285,0.49473685026168823,0.537286639213562,16,0.6350701451301575,594,0.9047619700431824,,,,,,,
,,,,16,,594,,0.013469233177602291,0.6158601641654968,,,,,
0.11320754885673523,0.4534883499145508,0.4736842215061188,0.5208894610404968,17,0.6364299654960632,629,0.9285714626312256,,,,,,,
,,,,17,,629,,0.01411035843193531,0.6033275723457336,,,,,
0.2641509473323822,0.4868420958518982,0.5368421077728271,0.5725516080856323,18,0.6943835020065308,664,0.8809523582458496,,,,,,,
,,,,18,,664,,0.010782113298773766,0.6118594408035278,,,,,
0.2830188572406769,0.4722222089767456,0.5157894492149353,0.5462713241577148,19,0.6403456926345825,699,0.8095238208770752,,,,,,,
,,,,19,,699,,0.014104296453297138,0.6164214015007019,,,,,
0.2641509473323822,0.47999998927116394,0.5263158082962036,0.5606468915939331,20,0.6095945835113525,734,0.8571428656578064,,,,,,,
,,,,20,,734,,0.010247446596622467,0.6119281649589539,,,,,
0.3962264358997345,0.5223880410194397,0.5894736647605896,0.6147798299789429,21,0.6150599122047424,769,0.8333333134651184,,,,,,,
,,,,21,,769,,0.012445241212844849,0.6193714141845703,,,,,
0.37735849618911743,0.4923076927661896,0.5473684072494507,0.5696316361427307,22,0.6131554841995239,804,0.761904776096344,,,,,,,
,,,,22,,804,,0.015475139021873474,0.6139233112335205,,,,,
0.2830188572406769,0.4647887349128723,0.5052631497383118,0.5343666076660156,23,0.6567765474319458,839,0.7857142686843872,,,,,,,
,,,,23,,839,,0.012816209346055984,0.619026780128479,,,,,
0.43396225571632385,0.523809552192688,0.5894736647605896,0.6098382472991943,24,0.6122056245803833,874,0.7857142686843872,,,,,,,
,,,,24,,874,,0.010039671324193478,0.6162393093109131,,,,,
,,,,25,,875,,,,0.7115384340286255,0.4166666567325592,0.4900662302970886,0.5466101765632629,0.5641025900840759
,,,,25,,875,,,,0.7692307829856873,0.280303031206131,0.4571428596973419,0.4957627058029175,0.5247669219970703
,,,,25,,875,,,,0.6730769276618958,0.469696968793869,0.5,0.5593220591545105,0.5713869333267212
