step,val_loss,epoch,val_specificity,val_accuracy,val_precision,val_auroc,val_sensitivity,unlabeled_data_utilization,train_loss,test_sensitivity,test_auroc,test_accuracy,test_precision,test_specificity
138,0.42024245858192444,0,0.4399999976158142,0.43518519401550293,0.050847455859184265,0.4075000286102295,0.375,,,,,,,
138,,0,,,,,,0.0017022097017616034,0.4148626923561096,,,,,
277,0.3936750590801239,1,0.4699999988079071,0.46296295523643494,0.0535714291036129,0.42250001430511475,0.375,,,,,,,
277,,1,,,,,,0.0,0.3939048945903778,,,,,
416,0.3746813237667084,2,0.6299999952316284,0.6018518805503845,0.05128205195069313,0.4399999976158142,0.25,,,,,,,
416,,2,,,,,,0.0010953608434647322,0.37962496280670166,,,,,
555,0.3618343472480774,3,0.6200000047683716,0.5925925970077515,0.05000000074505806,0.4350000023841858,0.25,,,,,,,
555,,3,,,,,,0.0005482456181198359,0.3691681921482086,,,,,
694,0.36669498682022095,4,0.6800000071525574,0.6296296119689941,0.0,0.3400000035762787,0.0,,,,,,,
694,,4,,,,,,6.443299207603559e-05,0.35332173109054565,,,,,
833,0.35563504695892334,5,0.7900000214576721,0.7407407164573669,0.04545454680919647,0.45750001072883606,0.125,,,,,,,
833,,5,,,,,,0.00022435896971728653,0.341223806142807,,,,,
972,0.3462620973587036,6,0.800000011920929,0.7407407164573669,0.0,0.4000000059604645,0.0,,,,,,,
972,,6,,,,,,0.0012191991554573178,0.3338041603565216,,,,,
1111,0.33203044533729553,7,0.8700000047683716,0.8055555820465088,0.0,0.4350000023841858,0.0,,,,,,,
1111,,7,,,,,,0.0018532719695940614,0.3264681398868561,,,,,
1250,0.3372849225997925,8,0.8999999761581421,0.8333333134651184,0.0,0.44999998807907104,0.0,,,,,,,
1250,,8,,,,,,0.0028176228515803814,0.3177657127380371,,,,,
1389,0.3430834114551544,9,0.9200000166893005,0.8518518805503845,0.0,0.46000000834465027,0.0,,,,,,,
1389,,9,,,,,,0.003698979504406452,0.31037619709968567,,,,,
1528,0.33782050013542175,10,0.9100000858306885,0.8425925970077515,0.0,0.45499998331069946,0.0,,,,,,,
1528,,10,,,,,,0.0018532719695940614,0.2999817132949829,,,,,
1667,0.3336610198020935,11,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
1667,,11,,,,,,0.003843246027827263,0.296878844499588,,,,,
1806,0.32718929648399353,12,0.9399999976158142,0.8703703880310059,0.0,0.4699999988079071,0.0,,,,,,,
1806,,12,,,,,,0.007288538385182619,0.29445192217826843,,,,,
1945,0.32905495166778564,13,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
1945,,13,,,,,,0.0066003501415252686,0.29254287481307983,,,,,
2084,0.31990551948547363,14,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
2084,,14,,,,,,0.006150099914520979,0.28216540813446045,,,,,
2223,0.3222019672393799,15,0.9800000190734863,0.9074074029922485,0.0,0.49000000953674316,0.0,,,,,,,
2223,,15,,,,,,0.006549401208758354,0.2809259295463562,,,,,
2362,0.31387564539909363,16,0.9900000095367432,0.9166666865348816,0.0,0.4950000047683716,0.0,,,,,,,
2362,,16,,,,,,0.009730539284646511,0.2797163724899292,,,,,
2501,0.32068660855293274,17,0.949999988079071,0.8796296119689941,0.0,0.4749999940395355,0.0,,,,,,,
2501,,17,,,,,,0.009106785990297794,0.28064489364624023,,,,,
2640,0.3024887442588806,18,0.9800000190734863,0.9074074029922485,0.0,0.49000000953674316,0.0,,,,,,,
2640,,18,,,,,,0.011467606760561466,0.2792738378047943,,,,,
2779,0.31191572546958923,19,0.9900000095367432,0.9166666865348816,0.0,0.4950000047683716,0.0,,,,,,,
2779,,19,,,,,,0.009840819053351879,0.2722296714782715,,,,,
2780,,20,,,,,,,,0.0,0.49598392844200134,0.9182156324386597,0.0,0.9919678568840027
2780,,20,,,,,,,,0.0,0.49598392844200134,0.9182156324386597,0.0,0.9919678568840027
2780,,20,,,,,,,,0.0,0.49598392844200134,0.9182156324386597,0.0,0.9919678568840027
